ward,precinct,total,CONSTANCE A. HOWARD,CONSTANCE A. HOWARD Percent
0602,6,2,192,192,100.0
0609,6,9,184,184,100.0
0613,6,13,153,153,100.0
0617,6,17,226,226,100.0
0621,6,21,165,165,100.0
0622,6,22,146,146,100.0
0623,6,23,117,117,100.0
0624,6,24,149,149,100.0
0625,6,25,142,142,100.0
0626,6,26,155,155,100.0
0627,6,27,200,200,100.0
0628,6,28,192,192,100.0
0650,6,50,188,188,100.0
0662,6,62,157,157,100.0
0664,6,64,187,187,100.0
0701,7,1,219,219,100.0
0712,7,12,125,125,100.0
0724,7,24,194,194,100.0
0725,7,25,141,141,100.0
0730,7,30,237,237,100.0
0731,7,31,188,188,100.0
0733,7,33,148,148,100.0
0736,7,36,239,239,100.0
0737,7,37,173,173,100.0
0738,7,38,164,164,100.0
0741,7,41,191,191,100.0
0743,7,43,162,162,100.0
0801,8,1,185,185,100.0
0803,8,3,222,222,100.0
0805,8,5,212,212,100.0
0808,8,8,201,201,100.0
0809,8,9,202,202,100.0
0812,8,12,135,135,100.0
0819,8,19,212,212,100.0
0827,8,27,164,164,100.0
0831,8,31,137,137,100.0
0832,8,32,226,226,100.0
0833,8,33,87,87,100.0
0834,8,34,160,160,100.0
0835,8,35,218,218,100.0
0837,8,37,105,105,100.0
0838,8,38,137,137,100.0
0839,8,39,149,149,100.0
0844,8,44,168,168,100.0
0847,8,47,139,139,100.0
0858,8,58,163,163,100.0
0859,8,59,117,117,100.0
0862,8,62,212,212,100.0
0864,8,64,85,85,100.0
0866,8,66,193,193,100.0
0902,9,2,151,151,100.0
0910,9,10,139,139,100.0
0912,9,12,116,116,100.0
0913,9,13,190,190,100.0
0914,9,14,205,205,100.0
0917,9,17,123,123,100.0
0920,9,20,151,151,100.0
0935,9,35,163,163,100.0
0949,9,49,49,49,100.0
0952,9,52,152,152,100.0
1002,10,2,75,75,100.0
1003,10,3,142,142,100.0
1005,10,5,86,86,100.0
1006,10,6,151,151,100.0
1007,10,7,39,39,100.0
1008,10,8,121,121,100.0
1009,10,9,113,113,100.0
1010,10,10,132,132,100.0
1013,10,13,133,133,100.0
1015,10,15,55,55,100.0
1016,10,16,102,102,100.0
1017,10,17,107,107,100.0
1019,10,19,164,164,100.0
1021,10,21,79,79,100.0
1022,10,22,35,35,100.0
1024,10,24,106,106,100.0
1028,10,28,127,127,100.0
1029,10,29,140,140,100.0
1030,10,30,129,129,100.0
1036,10,36,150,150,100.0
1040,10,40,89,89,100.0
1041,10,41,140,140,100.0
1042,10,42,110,110,100.0
1045,10,45,145,145,100.0
1046,10,46,97,97,100.0
2123,21,23,104,104,100.0
2126,21,26,104,104,100.0
2132,21,32,68,68,100.0
2143,21,43,102,102,100.0
2146,21,46,108,108,100.0
2148,21,48,96,96,100.0
2155,21,55,144,144,100.0
