ward,precinct,total,MARK ERTLER,MARK ERTLER Percent
2301,23,1,99,99,100.0
2303,23,3,106,106,100.0
2311,23,11,120,120,100.0
2312,23,12,68,68,100.0
2313,23,13,133,133,100.0
2315,23,15,109,109,100.0
2316,23,16,95,95,100.0
2317,23,17,124,124,100.0
2318,23,18,76,76,100.0
2326,23,26,116,116,100.0
2327,23,27,76,76,100.0
2336,23,36,101,101,100.0
2340,23,40,100,100,100.0
2342,23,42,4,4,100.0
2343,23,43,116,116,100.0
2346,23,46,94,94,100.0
2347,23,47,176,176,100.0
2352,23,52,132,132,100.0
2358,23,58,150,150,100.0
2360,23,60,115,115,100.0
