ward,precinct,total,MARTIN A. SANDOVAL,MARTIN A. SANDOVAL Percent,QUINN M. AVILA,QUINN M. AVILA Percent,LYNN T. CARMODY,LYNN T. CARMODY Percent
0101,1,1,80,49,61.25,11,13.75,20,25.0
0102,1,2,124,75,60.48,19,15.32,30,24.19
0103,1,3,70,38,54.29,11,15.71,21,30.0
0104,1,4,104,63,60.58,17,16.35,24,23.08
0105,1,5,90,55,61.11,17,18.89,18,20.0
0106,1,6,82,54,65.85,8,9.76,20,24.39
0107,1,7,133,86,64.66,19,14.29,28,21.05
0108,1,8,68,35,51.47,17,25.0,16,23.53
0109,1,9,151,71,47.02,46,30.46,34,22.52
0110,1,10,126,71,56.35,18,14.29,37,29.37
0111,1,11,68,45,66.18,12,17.65,11,16.18
0112,1,12,186,97,52.15,49,26.34,40,21.51
0113,1,13,94,61,64.89,26,27.66,7,7.45
0114,1,14,104,60,57.69,29,27.88,15,14.42
0115,1,15,140,101,72.14,26,18.57,13,9.29
0116,1,16,111,65,58.56,33,29.73,13,11.71
0117,1,17,109,64,58.72,32,29.36,13,11.93
0118,1,18,143,84,58.74,46,32.17,13,9.09
0119,1,19,121,82,67.77,26,21.49,13,10.74
0120,1,20,89,55,61.8,23,25.84,11,12.36
0121,1,21,156,87,55.77,26,16.67,43,27.56
0122,1,22,69,41,59.42,20,28.99,8,11.59
0123,1,23,198,112,56.57,36,18.18,50,25.25
0124,1,24,117,82,70.09,14,11.97,21,17.95
0125,1,25,162,113,69.75,26,16.05,23,14.2
0126,1,26,248,173,69.76,33,13.31,42,16.94
0127,1,27,99,59,59.6,34,34.34,6,6.06
0128,1,28,24,14,58.33,8,33.33,2,8.33
0129,1,29,196,121,61.73,43,21.94,32,16.33
0130,1,30,117,84,71.79,23,19.66,10,8.55
0131,1,31,30,12,40.0,9,30.0,9,30.0
0132,1,32,115,72,62.61,27,23.48,16,13.91
0133,1,33,187,119,63.64,47,25.13,21,11.23
0134,1,34,16,11,68.75,2,12.5,3,18.75
0135,1,35,31,21,67.74,4,12.9,6,19.35
0136,1,36,112,57,50.89,24,21.43,31,27.68
0201,2,1,88,37,42.05,13,14.77,38,43.18
0202,2,2,201,71,35.32,66,32.84,64,31.84
