ward,precinct,total,RICHARD A. DEVINE,RICHARD A. DEVINE Percent
0101,1,1,89,89,100.0
0102,1,2,129,129,100.0
0103,1,3,77,77,100.0
0104,1,4,101,101,100.0
0105,1,5,87,87,100.0
0106,1,6,73,73,100.0
0107,1,7,137,137,100.0
0108,1,8,73,73,100.0
0109,1,9,147,147,100.0
0110,1,10,119,119,100.0
0111,1,11,74,74,100.0
0112,1,12,182,182,100.0
0113,1,13,92,92,100.0
0114,1,14,105,105,100.0
0115,1,15,139,139,100.0
0116,1,16,82,82,100.0
0117,1,17,103,103,100.0
0118,1,18,136,136,100.0
0119,1,19,113,113,100.0
0120,1,20,105,105,100.0
0121,1,21,155,155,100.0
0122,1,22,80,80,100.0
0123,1,23,206,206,100.0
0124,1,24,115,115,100.0
0125,1,25,156,156,100.0
0126,1,26,214,214,100.0
0127,1,27,89,89,100.0
0128,1,28,26,26,100.0
0129,1,29,181,181,100.0
0130,1,30,113,113,100.0
0131,1,31,32,32,100.0
0132,1,32,124,124,100.0
0133,1,33,166,166,100.0
0134,1,34,16,16,100.0
0135,1,35,36,36,100.0
0136,1,36,114,114,100.0
0201,2,1,91,91,100.0
0202,2,2,213,213,100.0
0203,2,3,77,77,100.0
0204,2,4,19,19,100.0
0205,2,5,52,52,100.0
0206,2,6,56,56,100.0
0207,2,7,163,163,100.0
0208,2,8,139,139,100.0
0209,2,9,51,51,100.0
0210,2,10,60,60,100.0
0211,2,11,213,213,100.0
0212,2,12,141,141,100.0
0213,2,13,197,197,100.0
0214,2,14,118,118,100.0
0215,2,15,39,39,100.0
0216,2,16,58,58,100.0
0217,2,17,75,75,100.0
0218,2,18,190,190,100.0
0219,2,19,45,45,100.0
0220,2,20,137,137,100.0
0221,2,21,128,128,100.0
0222,2,22,187,187,100.0
0223,2,23,71,71,100.0
0224,2,24,68,68,100.0
0225,2,25,35,35,100.0
0226,2,26,69,69,100.0
0227,2,27,15,15,100.0
0228,2,28,121,121,100.0
0229,2,29,53,53,100.0
0230,2,30,71,71,100.0
0231,2,31,153,153,100.0
0232,2,32,64,64,100.0
0233,2,33,186,186,100.0
0234,2,34,78,78,100.0
0235,2,35,25,25,100.0
0236,2,36,62,62,100.0
0237,2,37,80,80,100.0
0238,2,38,97,97,100.0
0239,2,39,85,85,100.0
0240,2,40,110,110,100.0
0241,2,41,38,38,100.0
0242,2,42,35,35,100.0
0243,2,43,167,167,100.0
0244,2,44,136,136,100.0
0245,2,45,51,51,100.0
0246,2,46,218,218,100.0
0247,2,47,80,80,100.0
0248,2,48,144,144,100.0
0249,2,49,44,44,100.0
0250,2,50,49,49,100.0
0251,2,51,87,87,100.0
0252,2,52,89,89,100.0
0253,2,53,47,47,100.0
0254,2,54,137,137,100.0
0301,3,1,131,131,100.0
0302,3,2,153,153,100.0
0303,3,3,26,26,100.0
0304,3,4,52,52,100.0
0305,3,5,38,38,100.0
0306,3,6,26,26,100.0
0307,3,7,15,15,100.0
0308,3,8,54,54,100.0
0309,3,9,74,74,100.0
0310,3,10,108,108,100.0
0311,3,11,58,58,100.0
0312,3,12,81,81,100.0
0313,3,13,21,21,100.0
0314,3,14,46,46,100.0
0315,3,15,83,83,100.0
0316,3,16,145,145,100.0
0317,3,17,73,73,100.0
0318,3,18,73,73,100.0
0319,3,19,40,40,100.0
0320,3,20,28,28,100.0
0321,3,21,54,54,100.0
0322,3,22,83,83,100.0
0323,3,23,21,21,100.0
0324,3,24,113,113,100.0
0325,3,25,14,14,100.0
0326,3,26,59,59,100.0
0327,3,27,16,16,100.0
0328,3,28,100,100,100.0
0329,3,29,11,11,100.0
0330,3,30,96,96,100.0
0331,3,31,96,96,100.0
0332,3,32,107,107,100.0
0333,3,33,87,87,100.0
0334,3,34,25,25,100.0
0335,3,35,87,87,100.0
0336,3,36,33,33,100.0
0337,3,37,82,82,100.0
0338,3,38,143,143,100.0
0339,3,39,161,161,100.0
0340,3,40,84,84,100.0
0341,3,41,56,56,100.0
0342,3,42,35,35,100.0
0343,3,43,20,20,100.0
0344,3,44,69,69,100.0
0345,3,45,30,30,100.0
0346,3,46,13,13,100.0
0347,3,47,69,69,100.0
0348,3,48,63,63,100.0
0349,3,49,52,52,100.0
0350,3,50,91,91,100.0
0351,3,51,52,52,100.0
0352,3,52,92,92,100.0
0401,4,1,113,113,100.0
0402,4,2,25,25,100.0
0403,4,3,154,154,100.0
0404,4,4,134,134,100.0
0405,4,5,138,138,100.0
0406,4,6,3,3,100.0
0407,4,7,85,85,100.0
0408,4,8,160,160,100.0
0409,4,9,258,258,100.0
0410,4,10,163,163,100.0
0411,4,11,104,104,100.0
0412,4,12,85,85,100.0
0413,4,13,153,153,100.0
0414,4,14,85,85,100.0
0415,4,15,84,84,100.0
0416,4,16,131,131,100.0
0417,4,17,177,177,100.0
0418,4,18,100,100,100.0
0419,4,19,28,28,100.0
0420,4,20,50,50,100.0
0421,4,21,143,143,100.0
0422,4,22,194,194,100.0
0423,4,23,111,111,100.0
0424,4,24,136,136,100.0
0425,4,25,87,87,100.0
0426,4,26,97,97,100.0
0427,4,27,190,190,100.0
0428,4,28,139,139,100.0
0429,4,29,136,136,100.0
0430,4,30,25,25,100.0
0431,4,31,40,40,100.0
0432,4,32,155,155,100.0
0433,4,33,46,46,100.0
0434,4,34,85,85,100.0
0435,4,35,77,77,100.0
0436,4,36,148,148,100.0
0437,4,37,73,73,100.0
0438,4,38,182,182,100.0
0439,4,39,53,53,100.0
0440,4,40,123,123,100.0
0441,4,41,102,102,100.0
0442,4,42,80,80,100.0
0443,4,43,113,113,100.0
0444,4,44,101,101,100.0
0445,4,45,250,250,100.0
0446,4,46,118,118,100.0
0447,4,47,178,178,100.0
0448,4,48,187,187,100.0
0449,4,49,39,39,100.0
0450,4,50,109,109,100.0
0451,4,51,166,166,100.0
0452,4,52,37,37,100.0
0453,4,53,32,32,100.0
0454,4,54,77,77,100.0
0455,4,55,107,107,100.0
0501,5,1,125,125,100.0
0502,5,2,105,105,100.0
0503,5,3,141,141,100.0
0504,5,4,175,175,100.0
0505,5,5,101,101,100.0
0506,5,6,153,153,100.0
0507,5,7,128,128,100.0
0508,5,8,156,156,100.0
0509,5,9,122,122,100.0
0510,5,10,76,76,100.0
0511,5,11,49,49,100.0
0512,5,12,129,129,100.0
0513,5,13,132,132,100.0
0514,5,14,129,129,100.0
0515,5,15,75,75,100.0
0516,5,16,76,76,100.0
0517,5,17,74,74,100.0
0518,5,18,83,83,100.0
0519,5,19,92,92,100.0
0520,5,20,89,89,100.0
0521,5,21,174,174,100.0
0522,5,22,128,128,100.0
0523,5,23,96,96,100.0
0524,5,24,138,138,100.0
0525,5,25,102,102,100.0
0526,5,26,81,81,100.0
0527,5,27,40,40,100.0
0528,5,28,161,161,100.0
0529,5,29,86,86,100.0
0530,5,30,125,125,100.0
0531,5,31,84,84,100.0
0532,5,32,178,178,100.0
0533,5,33,122,122,100.0
0534,5,34,80,80,100.0
0535,5,35,78,78,100.0
0536,5,36,119,119,100.0
0537,5,37,94,94,100.0
0538,5,38,170,170,100.0
0539,5,39,126,126,100.0
0540,5,40,96,96,100.0
0541,5,41,91,91,100.0
0542,5,42,134,134,100.0
0543,5,43,144,144,100.0
0544,5,44,121,121,100.0
0545,5,45,84,84,100.0
0546,5,46,131,131,100.0
0547,5,47,87,87,100.0
0548,5,48,127,127,100.0
0549,5,49,130,130,100.0
0550,5,50,77,77,100.0
0551,5,51,97,97,100.0
0552,5,52,77,77,100.0
0553,5,53,93,93,100.0
0554,5,54,63,63,100.0
0555,5,55,124,124,100.0
0556,5,56,68,68,100.0
0557,5,57,121,121,100.0
0558,5,58,72,72,100.0
0559,5,59,77,77,100.0
0601,6,1,186,186,100.0
0602,6,2,182,182,100.0
0603,6,3,146,146,100.0
0604,6,4,101,101,100.0
0605,6,5,79,79,100.0
0606,6,6,164,164,100.0
0607,6,7,105,105,100.0
0608,6,8,167,167,100.0
0609,6,9,165,165,100.0
0610,6,10,208,208,100.0
0611,6,11,137,137,100.0
0612,6,12,98,98,100.0
0613,6,13,145,145,100.0
0614,6,14,148,148,100.0
0615,6,15,76,76,100.0
0616,6,16,162,162,100.0
0617,6,17,207,207,100.0
0618,6,18,51,51,100.0
0619,6,19,133,133,100.0
0620,6,20,50,50,100.0
0621,6,21,157,157,100.0
0622,6,22,143,143,100.0
0623,6,23,97,97,100.0
0624,6,24,126,126,100.0
0625,6,25,138,138,100.0
0626,6,26,145,145,100.0
0627,6,27,200,200,100.0
0628,6,28,188,188,100.0
0629,6,29,192,192,100.0
0630,6,30,112,112,100.0
0631,6,31,212,212,100.0
