ward,precinct,total,"WILLIAM COUSINS, JR.","WILLIAM COUSINS, JR. Percent",THOMAS R. FITZGERALD,THOMAS R. FITZGERALD Percent,MORTON ZWICK,MORTON ZWICK Percent,CHRISTINE PATRICIA CURRAN,CHRISTINE PATRICIA CURRAN Percent
0101,1,1,92,10,10.87,59,64.13,12,13.04,11,11.96
0102,1,2,130,31,23.85,58,44.62,19,14.62,22,16.92
0103,1,3,78,19,24.36,35,44.87,12,15.38,12,15.38
0104,1,4,121,26,21.49,49,40.5,11,9.09,35,28.93
0105,1,5,110,25,22.73,49,44.55,14,12.73,22,20.0
0106,1,6,90,11,12.22,45,50.0,18,20.0,16,17.78
0107,1,7,146,16,10.96,70,47.95,22,15.07,38,26.03
0108,1,8,82,31,37.8,29,35.37,9,10.98,13,15.85
0109,1,9,173,34,19.65,80,46.24,39,22.54,20,11.56
0110,1,10,142,21,14.79,68,47.89,16,11.27,37,26.06
0111,1,11,74,17,22.97,36,48.65,10,13.51,11,14.86
0112,1,12,206,37,17.96,94,45.63,27,13.11,48,23.3
0113,1,13,148,20,13.51,94,63.51,12,8.11,22,14.86
0114,1,14,101,26,25.74,42,41.58,11,10.89,22,21.78
0115,1,15,136,26,19.12,72,52.94,10,7.35,28,20.59
0116,1,16,107,45,42.06,39,36.45,8,7.48,15,14.02
0117,1,17,119,39,32.77,63,52.94,3,2.52,14,11.76
0118,1,18,148,38,25.68,62,41.89,26,17.57,22,14.86
0119,1,19,107,36,33.64,44,41.12,8,7.48,19,17.76
0120,1,20,98,30,30.61,38,38.78,14,14.29,16,16.33
0121,1,21,160,31,19.38,69,43.13,26,16.25,34,21.25
0122,1,22,69,20,28.99,28,40.58,8,11.59,13,18.84
0123,1,23,231,30,12.99,130,56.28,32,13.85,39,16.88
0124,1,24,122,29,23.77,53,43.44,17,13.93,23,18.85
0125,1,25,170,33,19.41,85,50.0,24,14.12,28,16.47
0126,1,26,231,47,20.35,115,49.78,30,12.99,39,16.88
0127,1,27,102,30,29.41,45,44.12,7,6.86,20,19.61
0128,1,28,27,7,25.93,9,33.33,2,7.41,9,33.33
0129,1,29,202,40,19.8,101,50.0,21,10.4,40,19.8
0130,1,30,117,26,22.22,55,47.01,12,10.26,24,20.51
0131,1,31,36,22,61.11,7,19.44,1,2.78,6,16.67
0132,1,32,152,64,42.11,51,33.55,12,7.89,25,16.45
