ward,precinct,registered,ballots,turnout
0101,1,1,590,7,1.19
0102,1,2,938,7,0.75
0103,1,3,583,10,1.72
0104,1,4,546,12,2.2
0105,1,5,747,9,1.2
0106,1,6,432,12,2.78
0107,1,7,801,36,4.49
0108,1,8,457,5,1.09
0109,1,9,722,15,2.08
0110,1,10,714,17,2.38
0111,1,11,577,9,1.56
0112,1,12,907,10,1.1
0113,1,13,622,7,1.13
0114,1,14,720,7,0.97
0115,1,15,695,2,0.29
0116,1,16,597,4,0.67
0117,1,17,551,6,1.09
0118,1,18,934,5,0.54
0119,1,19,764,12,1.57
0120,1,20,657,3,0.46
0121,1,21,906,10,1.1
0122,1,22,727,2,0.28
0123,1,23,881,22,2.5
0124,1,24,676,11,1.63
0125,1,25,985,11,1.12
0126,1,26,1106,20,1.81
0127,1,27,780,6,0.77
0128,1,28,197,1,0.51
0129,1,29,905,15,1.66
0130,1,30,759,6,0.79
0131,1,31,238,3,1.26
0132,1,32,605,5,0.83
0133,1,33,773,9,1.16
0134,1,34,113,4,3.54
0135,1,35,128,11,8.59
0136,1,36,611,11,1.8
0201,2,1,591,33,5.58
0202,2,2,506,4,0.79
0203,2,3,640,2,0.31
0204,2,4,145,3,2.07
0205,2,5,577,2,0.35
0206,2,6,382,6,1.57
0207,2,7,547,3,0.55
0208,2,8,499,28,5.61
0209,2,9,487,1,0.21
0210,2,10,680,0,0.0
0211,2,11,774,23,2.97
0212,2,12,604,9,1.49
0213,2,13,556,6,1.08
0214,2,14,308,2,0.65
0215,2,15,347,2,0.58
0216,2,16,445,6,1.35
0217,2,17,474,0,0.0
0218,2,18,669,13,1.94
0219,2,19,400,0,0.0
0220,2,20,426,2,0.47
0221,2,21,470,4,0.85
0222,2,22,783,27,3.45
0223,2,23,500,1,0.2
0224,2,24,556,6,1.08
0225,2,25,290,6,2.07
0226,2,26,455,4,0.88
0227,2,27,74,1,1.35
0228,2,28,592,3,0.51
0229,2,29,487,3,0.62
0230,2,30,633,4,0.63
0231,2,31,493,4,0.81
0232,2,32,431,5,1.16
0233,2,33,459,6,1.31
0234,2,34,571,5,0.88
