ward,precinct,total,GEORGE W. BUSH,GEORGE W. BUSH Percent,GARY BAUER,GARY BAUER Percent,ALAN L. KEYES,ALAN L. KEYES Percent,STEVE FORBES,STEVE FORBES Percent,JOHN MCCAIN,JOHN MCCAIN Percent
0101,1,1,7,5,71.43,0,0.0,1,14.29,0,0.0,1,14.29
0102,1,2,6,5,83.33,0,0.0,0,0.0,0,0.0,1,16.67
0103,1,3,9,6,66.67,0,0.0,0,0.0,0,0.0,3,33.33
0104,1,4,12,9,75.0,1,8.33,0,0.0,0,0.0,2,16.67
0105,1,5,9,5,55.56,0,0.0,1,11.11,0,0.0,3,33.33
0106,1,6,10,8,80.0,0,0.0,0,0.0,0,0.0,2,20.0
0107,1,7,31,25,80.65,0,0.0,1,3.23,0,0.0,5,16.13
0108,1,8,4,4,100.0,0,0.0,0,0.0,0,0.0,0,0.0
0109,1,9,13,12,92.31,0,0.0,0,0.0,0,0.0,1,7.69
0110,1,10,15,9,60.0,0,0.0,1,6.67,1,6.67,4,26.67
0111,1,11,9,5,55.56,0,0.0,2,22.22,0,0.0,2,22.22
0112,1,12,9,5,55.56,0,0.0,1,11.11,0,0.0,3,33.33
0113,1,13,4,3,75.0,0,0.0,1,25.0,0,0.0,0,0.0
0114,1,14,6,3,50.0,0,0.0,0,0.0,0,0.0,3,50.0
0115,1,15,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0
0116,1,16,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0
0117,1,17,6,3,50.0,0,0.0,1,16.67,0,0.0,2,33.33
0118,1,18,5,2,40.0,0,0.0,1,20.0,1,20.0,1,20.0
0119,1,19,12,9,75.0,0,0.0,0,0.0,1,8.33,2,16.67
0120,1,20,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
0121,1,21,10,7,70.0,0,0.0,0,0.0,0,0.0,3,30.0
0122,1,22,2,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0
0123,1,23,17,14,82.35,1,5.88,2,11.76,0,0.0,0,0.0
0124,1,24,7,4,57.14,0,0.0,2,28.57,0,0.0,1,14.29
0125,1,25,10,6,60.0,1,10.0,1,10.0,0,0.0,2,20.0
0126,1,26,20,14,70.0,2,10.0,0,0.0,0,0.0,4,20.0
0127,1,27,6,5,83.33,0,0.0,0,0.0,0,0.0,1,16.67
0128,1,28,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
0129,1,29,12,8,66.67,0,0.0,1,8.33,2,16.67,1,8.33
0130,1,30,5,4,80.0,0,0.0,0,0.0,1,20.0,0,0.0
0131,1,31,3,1,33.33,0,0.0,0,0.0,0,0.0,2,66.67
