ward,precinct,total,ROBERT DALLAS,ROBERT DALLAS Percent,STEVE DENARI,STEVE DENARI Percent
0106,1,6,8,3,37.5,5,62.5
0128,1,28,1,1,100.0,0,0.0
0134,1,34,3,0,0.0,3,100.0
0135,1,35,3,2,66.67,1,33.33
0201,2,1,24,10,41.67,14,58.33
0203,2,3,1,0,0.0,1,100.0
0204,2,4,1,1,100.0,0,0.0
0205,2,5,2,0,0.0,2,100.0
0207,2,7,2,2,100.0,0,0.0
0208,2,8,20,11,55.0,9,45.0
0209,2,9,1,0,0.0,1,100.0
0210,2,10,0,0,0.0,0,0.0
0211,2,11,12,7,58.33,5,41.67
0215,2,15,2,1,50.0,1,50.0
0217,2,17,0,0,0.0,0,0.0
0219,2,19,0,0,0.0,0,0.0
0222,2,22,18,9,50.0,9,50.0
0223,2,23,0,0,0.0,0,0.0
0225,2,25,4,1,25.0,3,75.0
0226,2,26,2,1,50.0,1,50.0
0227,2,27,1,1,100.0,0,0.0
0228,2,28,3,2,66.67,1,33.33
0230,2,30,3,2,66.67,1,33.33
0232,2,32,4,3,75.0,1,25.0
0234,2,34,2,0,0.0,2,100.0
0235,2,35,4,3,75.0,1,25.0
0236,2,36,1,0,0.0,1,100.0
0237,2,37,14,8,57.14,6,42.86
0238,2,38,3,1,33.33,2,66.67
0239,2,39,4,3,75.0,1,25.0
0240,2,40,3,3,100.0,0,0.0
0241,2,41,1,1,100.0,0,0.0
0242,2,42,1,1,100.0,0,0.0
0243,2,43,25,10,40.0,15,60.0
0249,2,49,7,3,42.86,4,57.14
0251,2,51,2,0,0.0,2,100.0
0252,2,52,6,3,50.0,3,50.0
0253,2,53,0,0,0.0,0,0.0
0254,2,54,21,11,52.38,10,47.62
0301,3,1,3,3,100.0,0,0.0
0304,3,4,0,0,0.0,0,0.0
0305,3,5,1,0,0.0,1,100.0
0307,3,7,0,0,0.0,0,0.0
0308,3,8,1,1,100.0,0,0.0
0310,3,10,1,0,0.0,1,100.0
0311,3,11,2,1,50.0,1,50.0
0312,3,12,2,1,50.0,1,50.0
0313,3,13,0,0,0.0,0,0.0
0314,3,14,0,0,0.0,0,0.0
0315,3,15,0,0,0.0,0,0.0
0316,3,16,1,1,100.0,0,0.0
0317,3,17,1,1,100.0,0,0.0
0318,3,18,1,1,100.0,0,0.0
0319,3,19,0,0,0.0,0,0.0
0320,3,20,1,0,0.0,1,100.0
0321,3,21,1,0,0.0,1,100.0
0322,3,22,0,0,0.0,0,0.0
0326,3,26,1,1,100.0,0,0.0
0329,3,29,0,0,0.0,0,0.0
0330,3,30,1,1,100.0,0,0.0
0331,3,31,0,0,0.0,0,0.0
0332,3,32,3,1,33.33,2,66.67
0335,3,35,0,0,0.0,0,0.0
0337,3,37,1,1,100.0,0,0.0
0340,3,40,3,3,100.0,0,0.0
0343,3,43,0,0,0.0,0,0.0
0346,3,46,0,0,0.0,0,0.0
0347,3,47,3,2,66.67,1,33.33
0348,3,48,1,0,0.0,1,100.0
0349,3,49,2,1,50.0,1,50.0
0350,3,50,1,1,100.0,0,0.0
0352,3,52,2,1,50.0,1,50.0
0408,4,8,0,0,0.0,0,0.0
1112,11,12,0,0,0.0,0,0.0
1113,11,13,4,3,75.0,1,25.0
1134,11,34,5,2,40.0,3,60.0
1135,11,35,1,1,100.0,0,0.0
1137,11,37,2,2,100.0,0,0.0
1138,11,38,4,2,50.0,2,50.0
1139,11,39,6,4,66.67,2,33.33
1140,11,40,3,2,66.67,1,33.33
1141,11,41,2,0,0.0,2,100.0
1142,11,42,0,0,0.0,0,0.0
1143,11,43,6,2,33.33,4,66.67
1145,11,45,4,3,75.0,1,25.0
1146,11,46,1,1,100.0,0,0.0
1147,11,47,5,3,60.0,2,40.0
1148,11,48,1,1,100.0,0,0.0
1149,11,49,7,4,57.14,3,42.86
1150,11,50,1,1,100.0,0,0.0
1152,11,52,4,1,25.0,3,75.0
1153,11,53,4,3,75.0,1,25.0
1154,11,54,0,0,0.0,0,0.0
1219,12,19,1,0,0.0,1,100.0
1616,16,16,1,1,100.0,0,0.0
1617,16,17,0,0,0.0,0,0.0
1618,16,18,0,0,0.0,0,0.0
2004,20,4,1,0,0.0,1,100.0
2008,20,8,0,0,0.0,0,0.0
2015,20,15,1,0,0.0,1,100.0
2021,20,21,1,1,100.0,0,0.0
2027,20,27,1,1,100.0,0,0.0
2031,20,31,2,0,0.0,2,100.0
2048,20,48,3,2,66.67,1,33.33
2207,22,7,2,1,50.0,1,50.0
2208,22,8,3,1,33.33,2,66.67
2212,22,12,1,0,0.0,1,100.0
2220,22,20,1,1,100.0,0,0.0
2221,22,21,1,0,0.0,1,100.0
2228,22,28,2,2,100.0,0,0.0
2401,24,1,0,0,0.0,0,0.0
2402,24,2,2,1,50.0,1,50.0
2403,24,3,1,1,100.0,0,0.0
2404,24,4,0,0,0.0,0,0.0
2405,24,5,0,0,0.0,0,0.0
2406,24,6,1,1,100.0,0,0.0
2407,24,7,0,0,0.0,0,0.0
2408,24,8,0,0,0.0,0,0.0
2409,24,9,7,3,42.86,4,57.14
2410,24,10,0,0,0.0,0,0.0
2411,24,11,4,4,100.0,0,0.0
2412,24,12,2,2,100.0,0,0.0
2413,24,13,1,1,100.0,0,0.0
2414,24,14,0,0,0.0,0,0.0
2415,24,15,0,0,0.0,0,0.0
2416,24,16,0,0,0.0,0,0.0
2417,24,17,0,0,0.0,0,0.0
2418,24,18,0,0,0.0,0,0.0
2419,24,19,1,1,100.0,0,0.0
2420,24,20,1,1,100.0,0,0.0
2421,24,21,1,0,0.0,1,100.0
2422,24,22,0,0,0.0,0,0.0
2423,24,23,0,0,0.0,0,0.0
2424,24,24,1,0,0.0,1,100.0
2425,24,25,2,1,50.0,1,50.0
2426,24,26,0,0,0.0,0,0.0
2427,24,27,0,0,0.0,0,0.0
2428,24,28,0,0,0.0,0,0.0
2429,24,29,1,1,100.0,0,0.0
2430,24,30,0,0,0.0,0,0.0
2431,24,31,1,1,100.0,0,0.0
2432,24,32,3,2,66.67,1,33.33
2433,24,33,0,0,0.0,0,0.0
2434,24,34,4,3,75.0,1,25.0
2435,24,35,0,0,0.0,0,0.0
2436,24,36,0,0,0.0,0,0.0
2437,24,37,1,0,0.0,1,100.0
2438,24,38,1,0,0.0,1,100.0
2439,24,39,0,0,0.0,0,0.0
2440,24,40,2,1,50.0,1,50.0
2441,24,41,1,1,100.0,0,0.0
2442,24,42,1,1,100.0,0,0.0
2443,24,43,1,1,100.0,0,0.0
2444,24,44,0,0,0.0,0,0.0
2445,24,45,1,1,100.0,0,0.0
2446,24,46,3,1,33.33,2,66.67
2447,24,47,2,2,100.0,0,0.0
2448,24,48,1,1,100.0,0,0.0
2449,24,49,1,1,100.0,0,0.0
2450,24,50,2,0,0.0,2,100.0
2451,24,51,8,6,75.0,2,25.0
2452,24,52,0,0,0.0,0,0.0
2453,24,53,2,0,0.0,2,100.0
2503,25,3,11,3,27.27,8,72.73
2504,25,4,7,1,14.29,6,85.71
2506,25,6,0,0,0.0,0,0.0
2510,25,10,0,0,0.0,0,0.0
2514,25,14,14,5,35.71,9,64.29
2516,25,16,11,8,72.73,3,27.27
2518,25,18,11,4,36.36,7,63.64
2521,25,21,21,7,33.33,14,66.67
2701,27,1,34,17,50.0,17,50.0
2702,27,2,2,1,50.0,1,50.0
2703,27,3,0,0,0.0,0,0.0
2704,27,4,0,0,0.0,0,0.0
2705,27,5,14,8,57.14,6,42.86
2706,27,6,1,1,100.0,0,0.0
2707,27,7,2,2,100.0,0,0.0
2708,27,8,1,0,0.0,1,100.0
2709,27,9,1,0,0.0,1,100.0
2711,27,11,3,3,100.0,0,0.0
2712,27,12,2,1,50.0,1,50.0
2713,27,13,37,22,59.46,15,40.54
2714,27,14,1,1,100.0,0,0.0
2715,27,15,2,2,100.0,0,0.0
2716,27,16,13,8,61.54,5,38.46
2717,27,17,11,3,27.27,8,72.73
2718,27,18,3,1,33.33,2,66.67
2719,27,19,1,1,100.0,0,0.0
2720,27,20,3,2,66.67,1,33.33
2721,27,21,0,0,0.0,0,0.0
2722,27,22,1,0,0.0,1,100.0
2723,27,23,1,1,100.0,0,0.0
2724,27,24,2,2,100.0,0,0.0
2725,27,25,1,1,100.0,0,0.0
2726,27,26,0,0,0.0,0,0.0
2727,27,27,1,1,100.0,0,0.0
2728,27,28,12,6,50.0,6,50.0
2729,27,29,0,0,0.0,0,0.0
2730,27,30,13,5,38.46,8,61.54
2731,27,31,0,0,0.0,0,0.0
2733,27,33,5,3,60.0,2,40.0
2734,27,34,0,0,0.0,0,0.0
2735,27,35,0,0,0.0,0,0.0
2736,27,36,1,1,100.0,0,0.0
2737,27,37,11,3,27.27,8,72.73
2738,27,38,28,14,50.0,14,50.0
2739,27,39,1,1,100.0,0,0.0
2740,27,40,0,0,0.0,0,0.0
2741,27,41,80,26,32.5,54,67.5
2742,27,42,10,7,70.0,3,30.0
2743,27,43,0,0,0.0,0,0.0
2744,27,44,0,0,0.0,0,0.0
2745,27,45,0,0,0.0,0,0.0
2746,27,46,0,0,0.0,0,0.0
2747,27,47,1,1,100.0,0,0.0
2748,27,48,3,1,33.33,2,66.67
2749,27,49,1,1,100.0,0,0.0
2750,27,50,10,4,40.0,6,60.0
2751,27,51,1,1,100.0,0,0.0
2752,27,52,0,0,0.0,0,0.0
2753,27,53,41,20,48.78,21,51.22
2754,27,54,2,1,50.0,1,50.0
2755,27,55,0,0,0.0,0,0.0
2801,28,1,2,2,100.0,0,0.0
2802,28,2,1,1,100.0,0,0.0
2803,28,3,1,1,100.0,0,0.0
2804,28,4,1,1,100.0,0,0.0
2805,28,5,1,0,0.0,1,100.0
2806,28,6,1,1,100.0,0,0.0
2807,28,7,0,0,0.0,0,0.0
2808,28,8,0,0,0.0,0,0.0
2809,28,9,0,0,0.0,0,0.0
2810,28,10,2,2,100.0,0,0.0
2811,28,11,0,0,0.0,0,0.0
2812,28,12,1,0,0.0,1,100.0
2813,28,13,0,0,0.0,0,0.0
2815,28,15,0,0,0.0,0,0.0
2816,28,16,1,1,100.0,0,0.0
2817,28,17,1,0,0.0,1,100.0
2818,28,18,2,1,50.0,1,50.0
2819,28,19,0,0,0.0,0,0.0
2820,28,20,2,1,50.0,1,50.0
2821,28,21,1,1,100.0,0,0.0
2822,28,22,1,0,0.0,1,100.0
2823,28,23,1,0,0.0,1,100.0
2824,28,24,1,1,100.0,0,0.0
2825,28,25,1,1,100.0,0,0.0
2826,28,26,1,1,100.0,0,0.0
2827,28,27,0,0,0.0,0,0.0
2828,28,28,0,0,0.0,0,0.0
2829,28,29,4,2,50.0,2,50.0
2830,28,30,3,3,100.0,0,0.0
2831,28,31,0,0,0.0,0,0.0
2832,28,32,2,2,100.0,0,0.0
2833,28,33,0,0,0.0,0,0.0
2834,28,34,1,1,100.0,0,0.0
2835,28,35,0,0,0.0,0,0.0
2836,28,36,2,2,100.0,0,0.0
2837,28,37,0,0,0.0,0,0.0
2838,28,38,0,0,0.0,0,0.0
2839,28,39,1,1,100.0,0,0.0
2840,28,40,1,1,100.0,0,0.0
2841,28,41,0,0,0.0,0,0.0
2842,28,42,0,0,0.0,0,0.0
2843,28,43,0,0,0.0,0,0.0
2844,28,44,1,1,100.0,0,0.0
2845,28,45,0,0,0.0,0,0.0
2846,28,46,0,0,0.0,0,0.0
2847,28,47,1,0,0.0,1,100.0
2848,28,48,0,0,0.0,0,0.0
2849,28,49,1,1,100.0,0,0.0
2850,28,50,0,0,0.0,0,0.0
2851,28,51,1,1,100.0,0,0.0
2852,28,52,0,0,0.0,0,0.0
2853,28,53,0,0,0.0,0,0.0
2854,28,54,0,0,0.0,0,0.0
2855,28,55,1,1,100.0,0,0.0
2856,28,56,3,2,66.67,1,33.33
2857,28,57,0,0,0.0,0,0.0
2858,28,58,1,1,100.0,0,0.0
2859,28,59,2,0,0.0,2,100.0
2860,28,60,0,0,0.0,0,0.0
2861,28,61,0,0,0.0,0,0.0
2901,29,1,1,1,100.0,0,0.0
2903,29,3,0,0,0.0,0,0.0
2904,29,4,0,0,0.0,0,0.0
2905,29,5,2,2,100.0,0,0.0
2907,29,7,0,0,0.0,0,0.0
2908,29,8,2,2,100.0,0,0.0
2909,29,9,6,3,50.0,3,50.0
2910,29,10,0,0,0.0,0,0.0
2911,29,11,1,1,100.0,0,0.0
2912,29,12,4,2,50.0,2,50.0
2913,29,13,2,1,50.0,1,50.0
2914,29,14,3,3,100.0,0,0.0
2915,29,15,0,0,0.0,0,0.0
2916,29,16,0,0,0.0,0,0.0
2918,29,18,0,0,0.0,0,0.0
2919,29,19,0,0,0.0,0,0.0
2920,29,20,0,0,0.0,0,0.0
2921,29,21,2,2,100.0,0,0.0
2923,29,23,0,0,0.0,0,0.0
2924,29,24,0,0,0.0,0,0.0
2925,29,25,0,0,0.0,0,0.0
2926,29,26,0,0,0.0,0,0.0
2927,29,27,3,2,66.67,1,33.33
2928,29,28,2,1,50.0,1,50.0
2929,29,29,5,4,80.0,1,20.0
2930,29,30,3,1,33.33,2,66.67
2931,29,31,2,1,50.0,1,50.0
2932,29,32,1,1,100.0,0,0.0
2933,29,33,1,1,100.0,0,0.0
2935,29,35,0,0,0.0,0,0.0
2936,29,36,0,0,0.0,0,0.0
2937,29,37,3,3,100.0,0,0.0
2938,29,38,2,2,100.0,0,0.0
2939,29,39,0,0,0.0,0,0.0
2940,29,40,1,1,100.0,0,0.0
2941,29,41,0,0,0.0,0,0.0
2942,29,42,0,0,0.0,0,0.0
2943,29,43,1,0,0.0,1,100.0
2944,29,44,3,2,66.67,1,33.33
2945,29,45,1,0,0.0,1,100.0
2946,29,46,0,0,0.0,0,0.0
2947,29,47,6,2,33.33,4,66.67
2949,29,49,0,0,0.0,0,0.0
2950,29,50,2,2,100.0,0,0.0
2951,29,51,4,1,25.0,3,75.0
2952,29,52,0,0,0.0,0,0.0
2956,29,56,0,0,0.0,0,0.0
3119,31,19,0,0,0.0,0,0.0
3201,32,1,12,6,50.0,6,50.0
3206,32,6,5,3,60.0,2,40.0
3212,32,12,0,0,0.0,0,0.0
3226,32,26,11,4,36.36,7,63.64
3246,32,46,2,0,0.0,2,100.0
3604,36,4,1,0,0.0,1,100.0
3616,36,16,4,2,50.0,2,50.0
3623,36,23,2,1,50.0,1,50.0
3624,36,24,7,5,71.43,2,28.57
3626,36,26,4,2,50.0,2,50.0
3633,36,33,10,5,50.0,5,50.0
3643,36,43,1,1,100.0,0,0.0
3644,36,44,6,2,33.33,4,66.67
3654,36,54,5,2,40.0,3,60.0
3655,36,55,11,5,45.45,6,54.55
3701,37,1,1,0,0.0,1,100.0
3702,37,2,0,0,0.0,0,0.0
3703,37,3,3,1,33.33,2,66.67
3704,37,4,1,1,100.0,0,0.0
3705,37,5,0,0,0.0,0,0.0
3706,37,6,1,1,100.0,0,0.0
3707,37,7,1,0,0.0,1,100.0
3708,37,8,2,1,50.0,1,50.0
