ward,precinct,total,ROBERT HUNTINGTON,ROBERT HUNTINGTON Percent
3207,32,7,5,5,100.0
3208,32,8,19,19,100.0
3218,32,18,8,8,100.0
3223,32,23,12,12,100.0
3232,32,32,14,14,100.0
3239,32,39,11,11,100.0
3248,32,48,14,14,100.0
4302,43,2,8,8,100.0
4306,43,6,10,10,100.0
4322,43,22,7,7,100.0
4339,43,39,12,12,100.0
4345,43,45,9,9,100.0
4348,43,48,9,9,100.0
4350,43,50,11,11,100.0
4354,43,54,5,5,100.0
4360,43,60,17,17,100.0
4401,44,1,23,23,100.0
4402,44,2,16,16,100.0
4403,44,3,15,15,100.0
4404,44,4,23,23,100.0
4405,44,5,11,11,100.0
4406,44,6,8,8,100.0
4407,44,7,27,27,100.0
4408,44,8,20,20,100.0
4409,44,9,18,18,100.0
4410,44,10,22,22,100.0
4411,44,11,11,11,100.0
4412,44,12,14,14,100.0
4414,44,14,17,17,100.0
4415,44,15,17,17,100.0
4417,44,17,10,10,100.0
4419,44,19,14,14,100.0
4420,44,20,9,9,100.0
4421,44,21,11,11,100.0
4422,44,22,15,15,100.0
4423,44,23,8,8,100.0
4424,44,24,22,22,100.0
4426,44,26,15,15,100.0
4427,44,27,17,17,100.0
4428,44,28,10,10,100.0
4429,44,29,17,17,100.0
4430,44,30,14,14,100.0
4431,44,31,14,14,100.0
4432,44,32,7,7,100.0
4433,44,33,7,7,100.0
4434,44,34,15,15,100.0
4435,44,35,22,22,100.0
4436,44,36,10,10,100.0
4437,44,37,14,14,100.0
4438,44,38,12,12,100.0
4439,44,39,13,13,100.0
4440,44,40,16,16,100.0
4441,44,41,19,19,100.0
4442,44,42,5,5,100.0
4444,44,44,18,18,100.0
4445,44,45,15,15,100.0
4446,44,46,4,4,100.0
4448,44,48,14,14,100.0
4449,44,49,14,14,100.0
4601,46,1,33,33,100.0
4603,46,3,9,9,100.0
4605,46,5,15,15,100.0
4607,46,7,16,16,100.0
4609,46,9,10,10,100.0
4610,46,10,11,11,100.0
4611,46,11,8,8,100.0
4613,46,13,18,18,100.0
4615,46,15,12,12,100.0
4617,46,17,13,13,100.0
4618,46,18,20,20,100.0
4620,46,20,6,6,100.0
4623,46,23,5,5,100.0
4624,46,24,15,15,100.0
4625,46,25,6,6,100.0
4626,46,26,5,5,100.0
4628,46,28,37,37,100.0
4629,46,29,11,11,100.0
4630,46,30,12,12,100.0
4631,46,31,14,14,100.0
4633,46,33,20,20,100.0
4634,46,34,6,6,100.0
4636,46,36,34,34,100.0
4637,46,37,12,12,100.0
4639,46,39,17,17,100.0
