ward,precinct,total,ROBERT M. RAICA,ROBERT M. RAICA Percent,"EMILIO ""EMO"" CUNDARI","EMILIO ""EMO"" CUNDARI Percent",JOSEPH A. BATTAGLIA,JOSEPH A. BATTAGLIA Percent
2301,23,1,16,3,18.75,0,0.0,13,81.25
2302,23,2,6,2,33.33,1,16.67,3,50.0
2303,23,3,20,7,35.0,1,5.0,12,60.0
2304,23,4,12,9,75.0,0,0.0,3,25.0
2305,23,5,9,1,11.11,2,22.22,6,66.67
2306,23,6,19,10,52.63,4,21.05,5,26.32
2307,23,7,14,5,35.71,2,14.29,7,50.0
2308,23,8,12,4,33.33,2,16.67,6,50.0
2309,23,9,10,2,20.0,2,20.0,6,60.0
2310,23,10,12,2,16.67,4,33.33,6,50.0
2311,23,11,17,8,47.06,1,5.88,8,47.06
2312,23,12,11,4,36.36,2,18.18,5,45.45
2313,23,13,11,6,54.55,2,18.18,3,27.27
2314,23,14,9,0,0.0,3,33.33,6,66.67
2315,23,15,21,12,57.14,3,14.29,6,28.57
2316,23,16,15,8,53.33,1,6.67,6,40.0
2317,23,17,11,4,36.36,2,18.18,5,45.45
2318,23,18,15,4,26.67,4,26.67,7,46.67
2319,23,19,13,8,61.54,3,23.08,2,15.38
2320,23,20,12,3,25.0,4,33.33,5,41.67
2321,23,21,21,5,23.81,1,4.76,15,71.43
2322,23,22,13,8,61.54,3,23.08,2,15.38
2323,23,23,16,8,50.0,2,12.5,6,37.5
2324,23,24,10,6,60.0,1,10.0,3,30.0
2325,23,25,4,3,75.0,0,0.0,1,25.0
2326,23,26,14,4,28.57,1,7.14,9,64.29
2327,23,27,21,10,47.62,1,4.76,10,47.62
2328,23,28,18,3,16.67,8,44.44,7,38.89
2329,23,29,6,3,50.0,0,0.0,3,50.0
2330,23,30,11,5,45.45,3,27.27,3,27.27
2331,23,31,14,6,42.86,6,42.86,2,14.29
2332,23,32,10,4,40.0,0,0.0,6,60.0
2333,23,33,17,10,58.82,1,5.88,6,35.29
2334,23,34,15,1,6.67,1,6.67,13,86.67
2335,23,35,0,0,0.0,0,0.0,0,0.0
2336,23,36,18,4,22.22,3,16.67,11,61.11
2337,23,37,4,1,25.0,1,25.0,2,50.0
2338,23,38,2,2,100.0,0,0.0,0,0.0
2339,23,39,12,1,8.33,5,41.67,6,50.0
2340,23,40,22,7,31.82,2,9.09,13,59.09
2341,23,41,10,4,40.0,2,20.0,4,40.0
2342,23,42,4,1,25.0,0,0.0,3,75.0
2343,23,43,10,3,30.0,1,10.0,6,60.0
2344,23,44,20,5,25.0,1,5.0,14,70.0
2345,23,45,17,8,47.06,1,5.88,8,47.06
2346,23,46,13,4,30.77,1,7.69,8,61.54
2347,23,47,20,7,35.0,3,15.0,10,50.0
2348,23,48,11,2,18.18,2,18.18,7,63.64
2349,23,49,13,5,38.46,0,0.0,8,61.54
2350,23,50,9,3,33.33,0,0.0,6,66.67
2351,23,51,9,3,33.33,2,22.22,4,44.44
2352,23,52,12,5,41.67,2,16.67,5,41.67
2353,23,53,8,2,25.0,2,25.0,4,50.0
2354,23,54,9,7,77.78,1,11.11,1,11.11
2355,23,55,13,4,30.77,0,0.0,9,69.23
2356,23,56,13,4,30.77,1,7.69,8,61.54
2357,23,57,23,3,13.04,2,8.7,18,78.26
2358,23,58,14,3,21.43,1,7.14,10,71.43
2359,23,59,9,4,44.44,0,0.0,5,55.56
2360,23,60,6,4,66.67,0,0.0,2,33.33
2361,23,61,19,4,21.05,8,42.11,7,36.84
2362,23,62,13,2,15.38,8,61.54,3,23.08
