ward,precinct,total,MICHAEL P. MCAULIFFE,MICHAEL P. MCAULIFFE Percent
4101,41,1,20,20,100.0
4102,41,2,32,32,100.0
4103,41,3,15,15,100.0
4104,41,4,27,27,100.0
4105,41,5,21,21,100.0
4106,41,6,28,28,100.0
4107,41,7,37,37,100.0
4108,41,8,22,22,100.0
4109,41,9,15,15,100.0
4110,41,10,10,10,100.0
4111,41,11,33,33,100.0
4112,41,12,16,16,100.0
4113,41,13,9,9,100.0
4114,41,14,22,22,100.0
4115,41,15,24,24,100.0
4116,41,16,18,18,100.0
4117,41,17,32,32,100.0
4118,41,18,21,21,100.0
4119,41,19,45,45,100.0
4120,41,20,54,54,100.0
4121,41,21,20,20,100.0
4122,41,22,20,20,100.0
4123,41,23,22,22,100.0
4124,41,24,32,32,100.0
4125,41,25,16,16,100.0
4126,41,26,18,18,100.0
4127,41,27,10,10,100.0
4128,41,28,16,16,100.0
4129,41,29,15,15,100.0
4130,41,30,28,28,100.0
4131,41,31,35,35,100.0
4132,41,32,22,22,100.0
4133,41,33,38,38,100.0
4134,41,34,34,34,100.0
4135,41,35,26,26,100.0
4136,41,36,21,21,100.0
4137,41,37,70,70,100.0
4138,41,38,16,16,100.0
4139,41,39,34,34,100.0
4140,41,40,22,22,100.0
4141,41,41,27,27,100.0
4142,41,42,20,20,100.0
4143,41,43,5,5,100.0
4144,41,44,26,26,100.0
4145,41,45,19,19,100.0
4146,41,46,27,27,100.0
4147,41,47,30,30,100.0
4148,41,48,18,18,100.0
4149,41,49,25,25,100.0
4150,41,50,21,21,100.0
4151,41,51,17,17,100.0
4152,41,52,28,28,100.0
4153,41,53,55,55,100.0
4154,41,54,17,17,100.0
4155,41,55,38,38,100.0
4156,41,56,43,43,100.0
4157,41,57,36,36,100.0
4158,41,58,19,19,100.0
4159,41,59,31,31,100.0
4160,41,60,12,12,100.0
4161,41,61,25,25,100.0
4162,41,62,21,21,100.0
4163,41,63,26,26,100.0
4164,41,64,38,38,100.0
4165,41,65,23,23,100.0
4166,41,66,23,23,100.0
