ward,precinct,total,TIMOTHY JAMES COFFEY,TIMOTHY JAMES COFFEY Percent
4601,46,1,34,34,100.0
4602,46,2,7,7,100.0
4603,46,3,11,11,100.0
4604,46,4,10,10,100.0
4605,46,5,12,12,100.0
4606,46,6,8,8,100.0
4607,46,7,16,16,100.0
4608,46,8,3,3,100.0
4609,46,9,7,7,100.0
4610,46,10,11,11,100.0
4611,46,11,7,7,100.0
4612,46,12,15,15,100.0
4613,46,13,18,18,100.0
4614,46,14,2,2,100.0
4615,46,15,17,17,100.0
4616,46,16,18,18,100.0
4617,46,17,14,14,100.0
4618,46,18,17,17,100.0
4619,46,19,20,20,100.0
4620,46,20,9,9,100.0
4621,46,21,3,3,100.0
4622,46,22,17,17,100.0
4623,46,23,6,6,100.0
4624,46,24,12,12,100.0
4625,46,25,4,4,100.0
4626,46,26,4,4,100.0
4627,46,27,14,14,100.0
4628,46,28,34,34,100.0
4629,46,29,15,15,100.0
4630,46,30,14,14,100.0
4631,46,31,17,17,100.0
4632,46,32,6,6,100.0
4633,46,33,18,18,100.0
4634,46,34,6,6,100.0
4635,46,35,9,9,100.0
4636,46,36,25,25,100.0
4637,46,37,12,12,100.0
4638,46,38,7,7,100.0
4639,46,39,18,18,100.0
