ward,precinct,total,WILLIAM F. HURLEY,WILLIAM F. HURLEY Percent,EDWIN A. BURKE,EDWIN A. BURKE Percent
4701,47,1,6,4,66.67,2,33.33
4702,47,2,13,9,69.23,4,30.77
4703,47,3,9,1,11.11,8,88.89
4704,47,4,8,5,62.5,3,37.5
4705,47,5,10,4,40.0,6,60.0
4706,47,6,9,3,33.33,6,66.67
4707,47,7,14,6,42.86,8,57.14
4708,47,8,9,6,66.67,3,33.33
4709,47,9,14,5,35.71,9,64.29
4710,47,10,9,2,22.22,7,77.78
4711,47,11,11,6,54.55,5,45.45
4712,47,12,12,8,66.67,4,33.33
4713,47,13,14,4,28.57,10,71.43
4714,47,14,4,2,50.0,2,50.0
4715,47,15,7,3,42.86,4,57.14
4716,47,16,2,0,0.0,2,100.0
4717,47,17,10,7,70.0,3,30.0
4718,47,18,7,4,57.14,3,42.86
4719,47,19,9,5,55.56,4,44.44
4720,47,20,16,9,56.25,7,43.75
4721,47,21,3,0,0.0,3,100.0
4722,47,22,3,2,66.67,1,33.33
4723,47,23,3,1,33.33,2,66.67
4724,47,24,7,2,28.57,5,71.43
4725,47,25,5,2,40.0,3,60.0
4726,47,26,20,9,45.0,11,55.0
4727,47,27,15,7,46.67,8,53.33
4728,47,28,7,6,85.71,1,14.29
4729,47,29,16,10,62.5,6,37.5
4730,47,30,9,3,33.33,6,66.67
4731,47,31,6,3,50.0,3,50.0
4732,47,32,13,7,53.85,6,46.15
4733,47,33,6,4,66.67,2,33.33
4734,47,34,13,7,53.85,6,46.15
4735,47,35,13,7,53.85,6,46.15
4736,47,36,7,4,57.14,3,42.86
4737,47,37,11,7,63.64,4,36.36
4738,47,38,13,5,38.46,8,61.54
4739,47,39,11,2,18.18,9,81.82
4740,47,40,8,3,37.5,5,62.5
4741,47,41,9,3,33.33,6,66.67
4742,47,42,13,9,69.23,4,30.77
4743,47,43,17,4,23.53,13,76.47
4744,47,44,11,7,63.64,4,36.36
4745,47,45,17,10,58.82,7,41.18
