ward,precinct,total,Jacob ''Coby'' Hakalir,Jacob ''Coby'' Hakalir Percent
0202,2,2,32,32,100.0
0210,2,10,47,47,100.0
0211,2,11,39,39,100.0
0213,2,13,42,42,100.0
0218,2,18,40,40,100.0
0219,2,19,43,43,100.0
0223,2,23,38,38,100.0
0227,2,27,32,32,100.0
0229,2,29,32,32,100.0
0234,2,34,53,53,100.0
0242,2,42,10,10,100.0
0302,3,2,0,0,0.0
0304,3,4,2,2,100.0
0311,3,11,0,0,0.0
0312,3,12,0,0,0.0
0319,3,19,26,26,100.0
0321,3,21,6,6,100.0
0327,3,27,14,14,100.0
0330,3,30,2,2,100.0
0331,3,31,0,0,0.0
0403,4,3,2,2,100.0
0404,4,4,3,3,100.0
0406,4,6,4,4,100.0
0407,4,7,5,5,100.0
0408,4,8,2,2,100.0
0411,4,11,3,3,100.0
0412,4,12,2,2,100.0
0415,4,15,0,0,0.0
0418,4,18,5,5,100.0
0419,4,19,1,1,100.0
0423,4,23,0,0,0.0
0424,4,24,13,13,100.0
0426,4,26,1,1,100.0
0428,4,28,9,9,100.0
0429,4,29,1,1,100.0
0430,4,30,2,2,100.0
0432,4,32,1,1,100.0
0433,4,33,6,6,100.0
0434,4,34,0,0,0.0
0435,4,35,4,4,100.0
0436,4,36,0,0,0.0
0438,4,38,1,1,100.0
0504,5,4,3,3,100.0
0505,5,5,3,3,100.0
0506,5,6,1,1,100.0
0510,5,10,1,1,100.0
0513,5,13,0,0,0.0
0514,5,14,0,0,0.0
0515,5,15,9,9,100.0
0516,5,16,2,2,100.0
0517,5,17,0,0,0.0
0521,5,21,3,3,100.0
0528,5,28,1,1,100.0
0530,5,30,0,0,0.0
0536,5,36,5,5,100.0
0701,7,1,0,0,0.0
0702,7,2,3,3,100.0
0703,7,3,4,4,100.0
0704,7,4,1,1,100.0
0710,7,10,3,3,100.0
0711,7,11,0,0,0.0
0715,7,15,1,1,100.0
0716,7,16,1,1,100.0
0717,7,17,1,1,100.0
0719,7,19,1,1,100.0
0720,7,20,1,1,100.0
0721,7,21,3,3,100.0
0723,7,23,0,0,0.0
0724,7,24,3,3,100.0
0725,7,25,0,0,0.0
0728,7,28,0,0,0.0
0730,7,30,1,1,100.0
0731,7,31,0,0,0.0
0733,7,33,0,0,0.0
0801,8,1,0,0,0.0
0802,8,2,1,1,100.0
0821,8,21,0,0,0.0
0842,8,42,1,1,100.0
1018,10,18,1,1,100.0
1027,10,27,5,5,100.0
1034,10,34,4,4,100.0
1036,10,36,0,0,0.0
2003,20,3,0,0,0.0
2005,20,5,1,1,100.0
2009,20,9,4,4,100.0
2016,20,16,3,3,100.0
2022,20,22,1,1,100.0
2024,20,24,1,1,100.0
4201,42,1,54,54,100.0
4202,42,2,17,17,100.0
4204,42,4,43,43,100.0
4206,42,6,53,53,100.0
4207,42,7,34,34,100.0
4208,42,8,48,48,100.0
4211,42,11,50,50,100.0
4213,42,13,59,59,100.0
4219,42,19,30,30,100.0
4224,42,24,35,35,100.0
4226,42,26,37,37,100.0
4228,42,28,47,47,100.0
4229,42,29,33,33,100.0
4230,42,30,61,61,100.0
4231,42,31,44,44,100.0
4234,42,34,63,63,100.0
4235,42,35,36,36,100.0
4240,42,40,17,17,100.0
4335,43,35,70,70,100.0
