ward,precinct,total,Carl Segvich,Carl Segvich Percent
0329,3,29,0,0,0.0
1101,11,1,20,20,100.0
1104,11,4,17,17,100.0
1105,11,5,7,7,100.0
1108,11,8,16,16,100.0
1109,11,9,15,15,100.0
1110,11,10,19,19,100.0
1111,11,11,21,21,100.0
1112,11,12,28,28,100.0
1113,11,13,15,15,100.0
1114,11,14,8,8,100.0
1115,11,15,7,7,100.0
1116,11,16,15,15,100.0
1117,11,17,13,13,100.0
1118,11,18,13,13,100.0
1119,11,19,28,28,100.0
1120,11,20,9,9,100.0
1121,11,21,18,18,100.0
1122,11,22,23,23,100.0
1123,11,23,11,11,100.0
1124,11,24,17,17,100.0
1125,11,25,18,18,100.0
1126,11,26,24,24,100.0
1127,11,27,2,2,100.0
1128,11,28,9,9,100.0
1129,11,29,21,21,100.0
1130,11,30,8,8,100.0
1131,11,31,27,27,100.0
1132,11,32,12,12,100.0
1134,11,34,9,9,100.0
1135,11,35,6,6,100.0
1136,11,36,6,6,100.0
1219,12,19,8,8,100.0
1223,12,23,15,15,100.0
1301,13,1,11,11,100.0
1302,13,2,20,20,100.0
1304,13,4,16,16,100.0
1305,13,5,8,8,100.0
1306,13,6,17,17,100.0
1307,13,7,4,4,100.0
1308,13,8,16,16,100.0
1309,13,9,11,11,100.0
1310,13,10,26,26,100.0
1311,13,11,22,22,100.0
1312,13,12,11,11,100.0
1313,13,13,6,6,100.0
1314,13,14,17,17,100.0
1316,13,16,5,5,100.0
1317,13,17,20,20,100.0
1318,13,18,12,12,100.0
1319,13,19,10,10,100.0
1320,13,20,17,17,100.0
1321,13,21,34,34,100.0
1322,13,22,36,36,100.0
1323,13,23,7,7,100.0
1324,13,24,15,15,100.0
1325,13,25,14,14,100.0
1326,13,26,12,12,100.0
1327,13,27,13,13,100.0
1329,13,29,6,6,100.0
1330,13,30,0,0,0.0
1331,13,31,26,26,100.0
1332,13,32,16,16,100.0
1333,13,33,30,30,100.0
1335,13,35,4,4,100.0
1336,13,36,6,6,100.0
1337,13,37,10,10,100.0
1338,13,38,15,15,100.0
1339,13,39,6,6,100.0
1340,13,40,8,8,100.0
1341,13,41,4,4,100.0
1342,13,42,29,29,100.0
1343,13,43,17,17,100.0
1344,13,44,1,1,100.0
1345,13,45,13,13,100.0
1346,13,46,15,15,100.0
1347,13,47,12,12,100.0
1348,13,48,16,16,100.0
1401,14,1,36,36,100.0
1404,14,4,23,23,100.0
1409,14,9,25,25,100.0
1422,14,22,0,0,0.0
1423,14,23,16,16,100.0
1424,14,24,27,27,100.0
1503,15,3,0,0,0.0
1516,15,16,0,0,0.0
1519,15,19,0,0,0.0
1602,16,2,3,3,100.0
1607,16,7,4,4,100.0
1608,16,8,2,2,100.0
1610,16,10,0,0,0.0
1611,16,11,2,2,100.0
1612,16,12,1,1,100.0
1613,16,13,2,2,100.0
1617,16,17,0,0,0.0
1618,16,18,5,5,100.0
1619,16,19,6,6,100.0
1621,16,21,0,0,0.0
1622,16,22,0,0,0.0
1623,16,23,0,0,0.0
1701,17,1,5,5,100.0
1707,17,7,5,5,100.0
1712,17,12,0,0,0.0
1716,17,16,3,3,100.0
1730,17,30,4,4,100.0
1802,18,2,15,15,100.0
1803,18,3,23,23,100.0
1806,18,6,31,31,100.0
1811,18,11,7,7,100.0
1815,18,15,9,9,100.0
1817,18,17,1,1,100.0
1824,18,24,9,9,100.0
1825,18,25,24,24,100.0
1828,18,28,18,18,100.0
1829,18,29,17,17,100.0
1830,18,30,27,27,100.0
1836,18,36,13,13,100.0
1840,18,40,11,11,100.0
1843,18,43,11,11,100.0
1844,18,44,33,33,100.0
1845,18,45,5,5,100.0
1846,18,46,20,20,100.0
1901,19,1,27,27,100.0
1902,19,2,15,15,100.0
1903,19,3,54,54,100.0
1904,19,4,56,56,100.0
1905,19,5,31,31,100.0
1906,19,6,44,44,100.0
1907,19,7,50,50,100.0
1908,19,8,55,55,100.0
1909,19,9,24,24,100.0
1910,19,10,30,30,100.0
1911,19,11,39,39,100.0
1912,19,12,28,28,100.0
1913,19,13,5,5,100.0
1914,19,14,12,12,100.0
1915,19,15,67,67,100.0
1916,19,16,62,62,100.0
1917,19,17,33,33,100.0
1918,19,18,17,17,100.0
1919,19,19,38,38,100.0
1920,19,20,13,13,100.0
1921,19,21,56,56,100.0
1922,19,22,40,40,100.0
1923,19,23,42,42,100.0
1924,19,24,36,36,100.0
1925,19,25,37,37,100.0
1926,19,26,42,42,100.0
1927,19,27,12,12,100.0
1928,19,28,14,14,100.0
1929,19,29,47,47,100.0
1930,19,30,35,35,100.0
1931,19,31,38,38,100.0
1932,19,32,26,26,100.0
1933,19,33,56,56,100.0
1934,19,34,34,34,100.0
1935,19,35,27,27,100.0
1936,19,36,11,11,100.0
1937,19,37,16,16,100.0
1938,19,38,14,14,100.0
1939,19,39,3,3,100.0
1940,19,40,40,40,100.0
1941,19,41,28,28,100.0
1942,19,42,20,20,100.0
1943,19,43,6,6,100.0
1944,19,44,40,40,100.0
1945,19,45,46,46,100.0
1946,19,46,48,48,100.0
1947,19,47,27,27,100.0
1948,19,48,2,2,100.0
1949,19,49,18,18,100.0
1950,19,50,16,16,100.0
1951,19,51,31,31,100.0
1952,19,52,63,63,100.0
1953,19,53,33,33,100.0
1954,19,54,34,34,100.0
1955,19,55,46,46,100.0
1956,19,56,33,33,100.0
1957,19,57,34,34,100.0
2004,20,4,1,1,100.0
2017,20,17,0,0,0.0
2021,20,21,0,0,0.0
2025,20,25,0,0,0.0
2301,23,1,21,21,100.0
2302,23,2,31,31,100.0
2303,23,3,41,41,100.0
2304,23,4,21,21,100.0
2306,23,6,8,8,100.0
2308,23,8,14,14,100.0
2310,23,10,6,6,100.0
2312,23,12,33,33,100.0
2314,23,14,26,26,100.0
2316,23,16,23,23,100.0
2318,23,18,17,17,100.0
2321,23,21,33,33,100.0
2322,23,22,27,27,100.0
2323,23,23,26,26,100.0
2325,23,25,12,12,100.0
2326,23,26,2,2,100.0
2327,23,27,24,24,100.0
2328,23,28,34,34,100.0
2329,23,29,22,22,100.0
