ward,precinct,total,Maggie Trevor,Maggie Trevor Percent,Matt Podgorski,Matt Podgorski Percent
3801,38,1,896,265,29.58,631,70.42
3802,38,2,459,167,36.38,292,63.62
3803,38,3,619,247,39.9,372,60.1
3804,38,4,463,176,38.01,287,61.99
3805,38,5,708,272,38.42,436,61.58
3806,38,6,490,225,45.92,265,54.08
3807,38,7,551,265,48.09,286,51.91
3808,38,8,499,216,43.29,283,56.71
3809,38,9,472,264,55.93,208,44.07
3810,38,10,287,122,42.51,165,57.49
3811,38,11,568,307,54.05,261,45.95
3812,38,12,733,370,50.48,363,49.52
3813,38,13,328,176,53.66,152,46.34
3814,38,14,492,239,48.58,253,51.42
4101,41,1,309,116,37.54,193,62.46
4102,41,2,92,39,42.39,53,57.61
4115,41,15,1077,462,42.9,615,57.1
4116,41,16,379,170,44.85,209,55.15
4117,41,17,264,115,43.56,149,56.44
4118,41,18,795,370,46.54,425,53.46
4119,41,19,404,191,47.28,213,52.72
4120,41,20,457,206,45.08,251,54.92
4123,41,23,478,194,40.59,284,59.41
4125,41,25,655,243,37.1,412,62.9
4126,41,26,860,407,47.33,453,52.67
4127,41,27,631,262,41.52,369,58.48
4128,41,28,1018,470,46.17,548,53.83
4129,41,29,1069,428,40.04,641,59.96
4130,41,30,839,276,32.9,563,67.1
4131,41,31,756,243,32.14,513,67.86
4506,45,6,41,20,48.78,21,51.22
