ward,precinct,total,Kerrie Maloney Laytin,Kerrie Maloney Laytin Percent
0101,1,1,645,645,100.0
0102,1,2,663,663,100.0
0103,1,3,740,740,100.0
0104,1,4,674,674,100.0
0105,1,5,689,689,100.0
0106,1,6,580,580,100.0
0107,1,7,720,720,100.0
0108,1,8,625,625,100.0
0109,1,9,323,323,100.0
0110,1,10,848,848,100.0
0111,1,11,667,667,100.0
0112,1,12,291,291,100.0
0113,1,13,459,459,100.0
0114,1,14,413,413,100.0
0115,1,15,701,701,100.0
0116,1,16,667,667,100.0
0117,1,17,438,438,100.0
0118,1,18,642,642,100.0
0119,1,19,581,581,100.0
0120,1,20,584,584,100.0
0121,1,21,581,581,100.0
0122,1,22,774,774,100.0
0123,1,23,387,387,100.0
0124,1,24,802,802,100.0
0125,1,25,711,711,100.0
0126,1,26,609,609,100.0
2601,26,1,174,174,100.0
2602,26,2,232,232,100.0
2603,26,3,409,409,100.0
2604,26,4,237,237,100.0
2605,26,5,312,312,100.0
2606,26,6,191,191,100.0
2607,26,7,303,303,100.0
2608,26,8,213,213,100.0
2609,26,9,203,203,100.0
2611,26,11,237,237,100.0
2612,26,12,92,92,100.0
2613,26,13,195,195,100.0
2614,26,14,146,146,100.0
2615,26,15,157,157,100.0
2616,26,16,373,373,100.0
2617,26,17,349,349,100.0
2618,26,18,158,158,100.0
2619,26,19,396,396,100.0
2620,26,20,418,418,100.0
2621,26,21,169,169,100.0
2622,26,22,151,151,100.0
2623,26,23,325,325,100.0
2624,26,24,152,152,100.0
2625,26,25,357,357,100.0
2626,26,26,379,379,100.0
2627,26,27,412,412,100.0
2628,26,28,390,390,100.0
2629,26,29,358,358,100.0
2630,26,30,209,209,100.0
2631,26,31,223,223,100.0
2632,26,32,323,323,100.0
2701,27,1,400,400,100.0
2707,27,7,667,667,100.0
2711,27,11,403,403,100.0
2713,27,13,390,390,100.0
2724,27,24,1,1,100.0
2725,27,25,0,0,0.0
2727,27,27,89,89,100.0
2729,27,29,345,345,100.0
3005,30,5,60,60,100.0
3101,31,1,258,258,100.0
3104,31,4,22,22,100.0
3105,31,5,253,253,100.0
3106,31,6,213,213,100.0
3107,31,7,250,250,100.0
3108,31,8,342,342,100.0
3109,31,9,174,174,100.0
3110,31,10,363,363,100.0
3114,31,14,288,288,100.0
3116,31,16,181,181,100.0
3117,31,17,155,155,100.0
3118,31,18,204,204,100.0
3120,31,20,243,243,100.0
3121,31,21,240,240,100.0
3122,31,22,127,127,100.0
3123,31,23,134,134,100.0
3202,32,2,316,316,100.0
3203,32,3,517,517,100.0
3208,32,8,375,375,100.0
3209,32,9,366,366,100.0
3210,32,10,700,700,100.0
3211,32,11,431,431,100.0
3212,32,12,255,255,100.0
3217,32,17,712,712,100.0
3218,32,18,285,285,100.0
3219,32,19,331,331,100.0
3221,32,21,734,734,100.0
3222,32,22,706,706,100.0
3223,32,23,474,474,100.0
3224,32,24,240,240,100.0
3225,32,25,516,516,100.0
3226,32,26,689,689,100.0
3227,32,27,725,725,100.0
3228,32,28,195,195,100.0
3229,32,29,551,551,100.0
3230,32,30,710,710,100.0
3301,33,1,731,731,100.0
3302,33,2,814,814,100.0
3303,33,3,537,537,100.0
3304,33,4,747,747,100.0
3305,33,5,607,607,100.0
3306,33,6,654,654,100.0
3307,33,7,639,639,100.0
3312,33,12,580,580,100.0
3314,33,14,688,688,100.0
3316,33,16,642,642,100.0
3317,33,17,596,596,100.0
3501,35,1,156,156,100.0
3502,35,2,386,386,100.0
3503,35,3,308,308,100.0
3504,35,4,474,474,100.0
3505,35,5,631,631,100.0
3506,35,6,910,910,100.0
3507,35,7,623,623,100.0
3508,35,8,404,404,100.0
3509,35,9,760,760,100.0
3510,35,10,462,462,100.0
3511,35,11,611,611,100.0
3512,35,12,790,790,100.0
3514,35,14,436,436,100.0
3515,35,15,586,586,100.0
3516,35,16,792,792,100.0
3517,35,17,514,514,100.0
3518,35,18,341,341,100.0
3519,35,19,490,490,100.0
3520,35,20,289,289,100.0
3521,35,21,457,457,100.0
3522,35,22,590,590,100.0
3611,36,11,181,181,100.0
3612,36,12,146,146,100.0
3613,36,13,77,77,100.0
3614,36,14,243,243,100.0
3615,36,15,121,121,100.0
3616,36,16,22,22,100.0
3617,36,17,368,368,100.0
3618,36,18,413,413,100.0
3619,36,19,551,551,100.0
3620,36,20,601,601,100.0
3622,36,22,522,522,100.0
3623,36,23,462,462,100.0
3624,36,24,486,486,100.0
3625,36,25,550,550,100.0
3626,36,26,506,506,100.0
3627,36,27,586,586,100.0
3702,37,2,295,295,100.0
3710,37,10,140,140,100.0
3716,37,16,20,20,100.0
3722,37,22,290,290,100.0
4022,40,22,381,381,100.0
4023,40,23,852,852,100.0
4707,47,7,436,436,100.0
4708,47,8,14,14,100.0
4728,47,28,37,37,100.0
