ward,precinct,total,Kwame Raoul,Kwame Raoul Percent,Thomas G. DeVore,Thomas G. DeVore Percent,Daniel K. Robin,Daniel K. Robin Percent
0101,1,1,877,781,89.05,75,8.55,21,2.39
0102,1,2,884,796,90.05,67,7.58,21,2.38
0103,1,3,955,832,87.12,109,11.41,14,1.47
0104,1,4,843,782,92.76,41,4.86,20,2.37
0105,1,5,898,820,91.31,62,6.9,16,1.78
0106,1,6,768,677,88.15,80,10.42,11,1.43
0107,1,7,919,834,90.75,67,7.29,18,1.96
0108,1,8,811,723,89.15,68,8.38,20,2.47
0109,1,9,452,380,84.07,53,11.73,19,4.2
0110,1,10,1092,967,88.55,104,9.52,21,1.92
0111,1,11,832,740,88.94,75,9.01,17,2.04
0112,1,12,403,350,86.85,43,10.67,10,2.48
0113,1,13,601,537,89.35,59,9.82,5,0.83
0114,1,14,559,475,84.97,66,11.81,18,3.22
0115,1,15,909,811,89.22,88,9.68,10,1.1
0116,1,16,927,817,88.13,99,10.68,11,1.19
0117,1,17,581,521,89.67,48,8.26,12,2.07
0118,1,18,816,732,89.71,72,8.82,12,1.47
0119,1,19,761,633,83.18,109,14.32,19,2.5
0120,1,20,742,652,87.87,75,10.11,15,2.02
0121,1,21,740,630,85.14,89,12.03,21,2.84
0122,1,22,1018,874,85.85,124,12.18,20,1.96
0123,1,23,495,423,85.45,58,11.72,14,2.83
0124,1,24,1059,908,85.74,140,13.22,11,1.04
0125,1,25,962,827,85.97,117,12.16,18,1.87
0126,1,26,917,752,82.01,143,15.59,22,2.4
0201,2,1,847,619,73.08,213,25.15,15,1.77
0202,2,2,1059,830,78.38,214,20.21,15,1.42
0203,2,3,653,511,78.25,127,19.45,15,2.3
0204,2,4,706,558,79.04,137,19.41,11,1.56
0205,2,5,716,530,74.02,171,23.88,15,2.09
0206,2,6,1019,780,76.55,227,22.28,12,1.18
0207,2,7,926,662,71.49,250,27.0,14,1.51
0208,2,8,724,528,72.93,187,25.83,9,1.24
0209,2,9,990,726,73.33,250,25.25,14,1.41
0210,2,10,495,339,68.48,144,29.09,12,2.42
0211,2,11,764,591,77.36,159,20.81,14,1.83
0212,2,12,673,511,75.93,148,21.99,14,2.08
0213,2,13,959,671,69.97,264,27.53,24,2.5
0214,2,14,574,448,78.05,115,20.03,11,1.92
0215,2,15,787,567,72.05,207,26.3,13,1.65
0216,2,16,873,648,74.23,212,24.28,13,1.49
0217,2,17,1243,949,76.35,271,21.8,23,1.85
0218,2,18,762,562,73.75,189,24.8,11,1.44
0219,2,19,408,309,75.74,91,22.3,8,1.96
0220,2,20,533,381,71.48,141,26.45,11,2.06
0221,2,21,171,115,67.25,51,29.82,5,2.92
0222,2,22,634,498,78.55,124,19.56,12,1.89
0223,2,23,687,546,79.48,129,18.78,12,1.75
0224,2,24,544,407,74.82,130,23.9,7,1.29
0225,2,25,842,631,74.94,184,21.85,27,3.21
0301,3,1,700,671,95.86,19,2.71,10,1.43
0302,3,2,711,687,96.62,9,1.27,15,2.11
0303,3,3,512,459,89.65,47,9.18,6,1.17
0304,3,4,531,512,96.42,13,2.45,6,1.13
0305,3,5,130,119,91.54,6,4.62,5,3.85
0306,3,6,742,654,88.14,74,9.97,14,1.89
0307,3,7,376,351,93.35,22,5.85,3,0.8
0308,3,8,551,527,95.64,17,3.09,7,1.27
0309,3,9,441,390,88.44,45,10.2,6,1.36
0310,3,10,499,404,80.96,83,16.63,12,2.4
0311,3,11,759,717,94.47,28,3.69,14,1.84
0312,3,12,705,679,96.31,18,2.55,8,1.13
0313,3,13,931,763,81.95,149,16.0,19,2.04
0314,3,14,969,790,81.53,164,16.92,15,1.55
0315,3,15,578,546,94.46,19,3.29,13,2.25
0316,3,16,386,351,90.93,25,6.48,10,2.59
0317,3,17,208,196,94.23,8,3.85,4,1.92
0318,3,18,247,229,92.71,11,4.45,7,2.83
0319,3,19,1029,810,78.72,201,19.53,18,1.75
0320,3,20,653,623,95.41,18,2.76,12,1.84
0321,3,21,635,552,86.93,70,11.02,13,2.05
