ward,precinct,total,Omar Aquino,Omar Aquino Percent
0108,1,8,727,727,100.0
0110,1,10,994,994,100.0
0111,1,11,757,757,100.0
0112,1,12,363,363,100.0
0113,1,13,540,540,100.0
0114,1,14,481,481,100.0
0115,1,15,809,809,100.0
0116,1,16,803,803,100.0
0117,1,17,523,523,100.0
0120,1,20,668,668,100.0
0122,1,22,907,907,100.0
0124,1,24,934,934,100.0
2601,26,1,213,213,100.0
2602,26,2,263,263,100.0
2603,26,3,229,229,100.0
2604,26,4,256,256,100.0
2605,26,5,363,363,100.0
2606,26,6,218,218,100.0
2607,26,7,361,361,100.0
2608,26,8,261,261,100.0
2609,26,9,220,220,100.0
2610,26,10,278,278,100.0
2611,26,11,271,271,100.0
2612,26,12,105,105,100.0
2613,26,13,213,213,100.0
2614,26,14,169,169,100.0
2615,26,15,189,189,100.0
2616,26,16,436,436,100.0
2617,26,17,405,405,100.0
2618,26,18,165,165,100.0
2619,26,19,465,465,100.0
2620,26,20,491,491,100.0
2621,26,21,182,182,100.0
2622,26,22,179,179,100.0
2623,26,23,377,377,100.0
2624,26,24,181,181,100.0
2625,26,25,409,409,100.0
2626,26,26,461,461,100.0
2627,26,27,481,481,100.0
2628,26,28,452,452,100.0
2629,26,29,429,429,100.0
2630,26,30,242,242,100.0
2631,26,31,263,263,100.0
2632,26,32,380,380,100.0
2705,27,5,207,207,100.0
2719,27,19,161,161,100.0
2724,27,24,168,168,100.0
2725,27,25,0,0,0.0
2727,27,27,26,26,100.0
2902,29,2,342,342,100.0
2903,29,3,223,223,100.0
2906,29,6,69,69,100.0
3001,30,1,425,425,100.0
3002,30,2,256,256,100.0
3004,30,4,327,327,100.0
3005,30,5,355,355,100.0
3011,30,11,295,295,100.0
3012,30,12,294,294,100.0
3013,30,13,329,329,100.0
3016,30,16,280,280,100.0
3021,30,21,453,453,100.0
3103,31,3,39,39,100.0
3116,31,16,28,28,100.0
3120,31,20,144,144,100.0
3122,31,22,139,139,100.0
3123,31,23,160,160,100.0
3230,32,30,808,808,100.0
3501,35,1,181,181,100.0
3502,35,2,466,466,100.0
3503,35,3,342,342,100.0
3504,35,4,530,530,100.0
3505,35,5,733,733,100.0
3507,35,7,720,720,100.0
3508,35,8,476,476,100.0
3601,36,1,225,225,100.0
3602,36,2,307,307,100.0
3603,36,3,240,240,100.0
3604,36,4,307,307,100.0
3605,36,5,265,265,100.0
3606,36,6,222,222,100.0
3607,36,7,181,181,100.0
3609,36,9,395,395,100.0
3610,36,10,281,281,100.0
3611,36,11,217,217,100.0
3612,36,12,167,167,100.0
3613,36,13,92,92,100.0
3614,36,14,279,279,100.0
3615,36,15,141,141,100.0
3616,36,16,110,110,100.0
3617,36,17,429,429,100.0
3618,36,18,488,488,100.0
3619,36,19,653,653,100.0
3620,36,20,705,705,100.0
3621,36,21,458,458,100.0
3622,36,22,629,629,100.0
3623,36,23,528,528,100.0
3624,36,24,578,578,100.0
3625,36,25,657,657,100.0
3626,36,26,612,612,100.0
3627,36,27,673,673,100.0
3702,37,2,319,319,100.0
3707,37,7,360,360,100.0
3716,37,16,20,20,100.0
3719,37,19,270,270,100.0
3721,37,21,290,290,100.0
3722,37,22,152,152,100.0
3815,38,15,193,193,100.0
3816,38,16,529,529,100.0
3822,38,22,125,125,100.0
