id,ward,precinct,total,Aaron M. Ortiz,Aaron M. Ortiz Percent
1119,11,19,14,14,100.0
1120,11,20,378,378,100.0
1121,11,21,549,549,100.0
1203,12,3,345,345,100.0
1204,12,4,90,90,100.0
1205,12,5,206,206,100.0
1208,12,8,218,218,100.0
1219,12,19,3,3,100.0
1221,12,21,84,84,100.0
1401,14,1,271,271,100.0
1402,14,2,255,255,100.0
1403,14,3,176,176,100.0
1404,14,4,92,92,100.0
1405,14,5,317,317,100.0
1406,14,6,389,389,100.0
1407,14,7,387,387,100.0
1408,14,8,358,358,100.0
1409,14,9,371,371,100.0
1410,14,10,231,231,100.0
1411,14,11,393,393,100.0
1412,14,12,248,248,100.0
1413,14,13,414,414,100.0
1414,14,14,224,224,100.0
1415,14,15,176,176,100.0
1505,15,5,27,27,100.0
1506,15,6,105,105,100.0
1507,15,7,121,121,100.0
1508,15,8,217,217,100.0
1509,15,9,239,239,100.0
1510,15,10,91,91,100.0
1511,15,11,189,189,100.0
1512,15,12,244,244,100.0
1513,15,13,186,186,100.0
1514,15,14,190,190,100.0
1520,15,20,39,39,100.0
1623,16,23,122,122,100.0
2216,22,16,294,294,100.0
2217,22,17,140,140,100.0
2218,22,18,291,291,100.0
2219,22,19,416,416,100.0
2307,23,7,231,231,100.0
2308,23,8,120,120,100.0
2309,23,9,369,369,100.0
2310,23,10,293,293,100.0
2311,23,11,183,183,100.0
2313,23,13,446,446,100.0
2314,23,14,171,171,100.0
2315,23,15,119,119,100.0
2316,23,16,72,72,100.0
2327,23,27,39,39,100.0
