id,ward,precinct,total,Kam Buckner,Kam Buckner Percent
0201,2,1,668,668,100.0
0202,2,2,830,830,100.0
0203,2,3,537,537,100.0
0204,2,4,569,569,100.0
0205,2,5,561,561,100.0
0206,2,6,785,785,100.0
0207,2,7,709,709,100.0
0302,3,2,27,27,100.0
0304,3,4,471,471,100.0
0312,3,12,629,629,100.0
0327,3,27,297,297,100.0
0402,4,2,316,316,100.0
0404,4,4,628,628,100.0
0405,4,5,317,317,100.0
0409,4,9,474,474,100.0
0413,4,13,400,400,100.0
0414,4,14,348,348,100.0
0415,4,15,350,350,100.0
0416,4,16,511,511,100.0
0417,4,17,690,690,100.0
0418,4,18,213,213,100.0
0420,4,20,513,513,100.0
0421,4,21,402,402,100.0
0423,4,23,366,366,100.0
0424,4,24,57,57,100.0
0501,5,1,389,389,100.0
0506,5,6,265,265,100.0
0508,5,8,188,188,100.0
0509,5,9,176,176,100.0
0510,5,10,271,271,100.0
0513,5,13,289,289,100.0
0524,5,24,148,148,100.0
0525,5,25,0,0,0.0
0701,7,1,510,510,100.0
0702,7,2,647,647,100.0
0709,7,9,0,0,0.0
0710,7,10,463,463,100.0
0711,7,11,200,200,100.0
0712,7,12,542,542,100.0
0713,7,13,383,383,100.0
0716,7,16,1,1,100.0
0801,8,1,236,236,100.0
0804,8,4,111,111,100.0
1001,10,1,61,61,100.0
2013,20,13,185,185,100.0
2014,20,14,418,418,100.0
2018,20,18,622,622,100.0
2019,20,19,353,353,100.0
3420,34,20,87,87,100.0
4201,42,1,264,264,100.0
4202,42,2,256,256,100.0
4203,42,3,722,722,100.0
4204,42,4,606,606,100.0
4205,42,5,825,825,100.0
4206,42,6,347,347,100.0
4207,42,7,570,570,100.0
4208,42,8,407,407,100.0
4209,42,9,640,640,100.0
4210,42,10,427,427,100.0
4211,42,11,75,75,100.0
4222,42,22,103,103,100.0
4223,42,23,562,562,100.0
