id,ward,precinct,total,Karen A. Yarbrough,Karen A. Yarbrough Percent,Tony Peraica,Tony Peraica Percent,Joseph Schreiner,Joseph Schreiner Percent
0101,1,1,854,758,88.76,74,8.67,22,2.58
0102,1,2,854,759,88.88,76,8.9,19,2.22
0103,1,3,928,792,85.34,111,11.96,25,2.69
0104,1,4,817,756,92.53,44,5.39,17,2.08
0105,1,5,879,788,89.65,70,7.96,21,2.39
0106,1,6,739,646,87.42,82,11.1,11,1.49
0107,1,7,895,791,88.38,81,9.05,23,2.57
0108,1,8,793,694,87.52,80,10.09,19,2.4
0109,1,9,441,364,82.54,61,13.83,16,3.63
0110,1,10,1051,916,87.16,113,10.75,22,2.09
0111,1,11,817,712,87.15,90,11.02,15,1.84
0112,1,12,386,340,88.08,40,10.36,6,1.55
0113,1,13,579,510,88.08,63,10.88,6,1.04
0114,1,14,544,449,82.54,70,12.87,25,4.6
0115,1,15,874,754,86.27,102,11.67,18,2.06
0116,1,16,897,770,85.84,114,12.71,13,1.45
0117,1,17,559,486,86.94,60,10.73,13,2.33
0118,1,18,790,696,88.1,81,10.25,13,1.65
0119,1,19,710,593,83.52,104,14.65,13,1.83
0120,1,20,716,624,87.15,79,11.03,13,1.82
0121,1,21,705,600,85.11,77,10.92,28,3.97
0122,1,22,985,835,84.77,131,13.3,19,1.93
0123,1,23,476,401,84.24,62,13.03,13,2.73
0124,1,24,1027,869,84.62,142,13.83,16,1.56
0125,1,25,927,773,83.39,127,13.7,27,2.91
0126,1,26,880,700,79.55,158,17.95,22,2.5
0201,2,1,832,601,72.24,214,25.72,17,2.04
0202,2,2,1014,775,76.43,223,21.99,16,1.58
0203,2,3,629,491,78.06,125,19.87,13,2.07
0204,2,4,686,529,77.11,143,20.85,14,2.04
0205,2,5,680,469,68.97,191,28.09,20,2.94
0206,2,6,974,725,74.44,232,23.82,17,1.75
0207,2,7,888,611,68.81,261,29.39,16,1.8
0208,2,8,688,468,68.02,209,30.38,11,1.6
0209,2,9,961,664,69.09,280,29.14,17,1.77
0210,2,10,476,320,67.23,136,28.57,20,4.2
0211,2,11,743,560,75.37,174,23.42,9,1.21
0212,2,12,649,485,74.73,144,22.19,20,3.08
0213,2,13,915,635,69.4,254,27.76,26,2.84
0214,2,14,547,418,76.42,117,21.39,12,2.19
0215,2,15,758,516,68.07,226,29.82,16,2.11
0216,2,16,829,584,70.45,230,27.74,15,1.81
0217,2,17,1177,876,74.43,273,23.19,28,2.38
0218,2,18,735,540,73.47,178,24.22,17,2.31
0219,2,19,393,292,74.3,91,23.16,10,2.54
0220,2,20,513,343,66.86,162,31.58,8,1.56
0221,2,21,160,103,64.38,55,34.38,2,1.25
0222,2,22,604,450,74.5,135,22.35,19,3.15
0223,2,23,657,505,76.86,139,21.16,13,1.98
0224,2,24,517,369,71.37,138,26.69,10,1.93
0225,2,25,802,585,72.94,189,23.57,28,3.49
0301,3,1,693,657,94.81,21,3.03,15,2.16
0302,3,2,693,671,96.83,15,2.16,7,1.01
0303,3,3,497,439,88.33,48,9.66,10,2.01
0304,3,4,511,491,96.09,13,2.54,7,1.37
0305,3,5,130,117,90.0,8,6.15,5,3.85
