ward,precinct,total,Bill Cunningham,Bill Cunningham Percent,Barbara Ruth Bellar,Barbara Ruth Bellar Percent
1718,17,18,20,20,100.0,0,0.0
1809,18,9,256,238,92.97,18,7.03
1819,18,19,19,16,84.21,3,15.79
1826,18,26,133,129,96.99,4,3.01
1832,18,32,462,449,97.19,13,2.81
1834,18,34,498,472,94.78,26,5.22
1901,19,1,440,338,76.82,102,23.18
1902,19,2,480,426,88.75,54,11.25
1903,19,3,384,231,60.16,153,39.84
1904,19,4,532,354,66.54,178,33.46
1905,19,5,487,413,84.8,74,15.2
1906,19,6,392,263,67.09,129,32.91
1907,19,7,474,381,80.38,93,19.62
1908,19,8,522,342,65.52,180,34.48
1909,19,9,294,208,70.75,86,29.25
1910,19,10,563,462,82.06,101,17.94
1911,19,11,475,293,61.68,182,38.32
1912,19,12,412,278,67.48,134,32.52
1913,19,13,604,566,93.71,38,6.29
1915,19,15,398,257,64.57,141,35.43
1916,19,16,503,335,66.6,168,33.4
1917,19,17,436,310,71.1,126,28.9
1918,19,18,515,397,77.09,118,22.91
1919,19,19,512,405,79.1,107,20.9
1921,19,21,451,285,63.19,166,36.81
1922,19,22,506,401,79.25,105,20.75
1923,19,23,505,384,76.04,121,23.96
1924,19,24,358,228,63.69,130,36.31
1925,19,25,464,328,70.69,136,29.31
1926,19,26,494,361,73.08,133,26.92
1927,19,27,471,416,88.32,55,11.68
1928,19,28,630,598,94.92,32,5.08
1929,19,29,418,273,65.31,145,34.69
1930,19,30,476,314,65.97,162,34.03
1932,19,32,458,343,74.89,115,25.11
1933,19,33,489,325,66.46,164,33.54
1934,19,34,448,343,76.56,105,23.44
1935,19,35,415,324,78.07,91,21.93
1936,19,36,669,603,90.13,66,9.87
1937,19,37,475,421,88.63,54,11.37
1938,19,38,426,380,89.2,46,10.8
1939,19,39,231,222,96.1,9,3.9
1941,19,41,495,345,69.7,150,30.3
1944,19,44,551,389,70.6,162,29.4
1945,19,45,453,334,73.73,119,26.27
1946,19,46,529,368,69.57,161,30.43
1950,19,50,407,318,78.13,89,21.87
1951,19,51,528,414,78.41,114,21.59
1952,19,52,360,227,63.06,133,36.94
1953,19,53,427,334,78.22,93,21.78
1954,19,54,400,251,62.75,149,37.25
1955,19,55,480,320,66.67,160,33.33
1956,19,56,512,388,75.78,124,24.22
1957,19,57,539,428,79.41,111,20.59
1958,19,58,431,273,63.34,158,36.66
2101,21,1,504,490,97.22,14,2.78
2103,21,3,487,471,96.71,16,3.29
2107,21,7,492,480,97.56,12,2.44
2108,21,8,491,472,96.13,19,3.87
2109,21,9,510,495,97.06,15,2.94
2113,21,13,462,442,95.67,20,4.33
2114,21,14,568,544,95.77,24,4.23
2115,21,15,170,161,94.71,9,5.29
2116,21,16,516,503,97.48,13,2.52
2118,21,18,584,567,97.09,17,2.91
2122,21,22,120,117,97.5,3,2.5
2126,21,26,17,17,100.0,0,0.0
2129,21,29,504,494,98.02,10,1.98
2132,21,32,471,458,97.24,13,2.76
2136,21,36,127,123,96.85,4,3.15
2142,21,42,204,196,96.08,8,3.92
2148,21,48,192,186,96.88,6,3.13
3449,34,49,73,71,97.26,2,2.74
