ward,precinct,total,Lou Lang,Lou Lang Percent,Vincent William Romano,Vincent William Romano Percent
4004,40,4,212,178,83.96,34,16.04
4010,40,10,347,279,80.4,68,19.6
4035,40,35,45,41,91.11,4,8.89
4039,40,39,83,66,79.52,17,20.48
5001,50,1,430,300,69.77,130,30.23
5002,50,2,286,197,68.88,89,31.12
5003,50,3,405,271,66.91,134,33.09
5004,50,4,463,370,79.91,93,20.09
5005,50,5,378,235,62.17,143,37.83
5006,50,6,460,357,77.61,103,22.39
5007,50,7,496,344,69.35,152,30.65
5008,50,8,68,57,83.82,11,16.18
5009,50,9,335,251,74.93,84,25.07
5010,50,10,402,267,66.42,135,33.58
5011,50,11,334,211,63.17,123,36.83
5012,50,12,194,119,61.34,75,38.66
5013,50,13,440,376,85.45,64,14.55
5014,50,14,143,88,61.54,55,38.46
5015,50,15,474,355,74.89,119,25.11
5016,50,16,161,111,68.94,50,31.06
5017,50,17,385,289,75.06,96,24.94
5018,50,18,98,71,72.45,27,27.55
5019,50,19,265,205,77.36,60,22.64
5020,50,20,416,304,73.08,112,26.92
5021,50,21,371,262,70.62,109,29.38
5022,50,22,369,269,72.9,100,27.1
5023,50,23,301,218,72.43,83,27.57
5025,50,25,338,242,71.6,96,28.4
5026,50,26,405,316,78.02,89,21.98
5027,50,27,133,91,68.42,42,31.58
5028,50,28,494,404,81.78,90,18.22
5029,50,29,362,282,77.9,80,22.1
5030,50,30,297,226,76.09,71,23.91
5031,50,31,413,359,86.92,54,13.08
5032,50,32,459,388,84.53,71,15.47
5033,50,33,355,233,65.63,122,34.37
5034,50,34,511,374,73.19,137,26.81
5035,50,35,479,371,77.45,108,22.55
5036,50,36,383,279,72.85,104,27.15
5037,50,37,398,302,75.88,96,24.12
5038,50,38,199,140,70.35,59,29.65
5039,50,39,316,223,70.57,93,29.43
5040,50,40,450,269,59.78,181,40.22
