ward,precinct,total,Deborah L. Mell,Deborah L. Mell Percent,A. Puccio-Johnson,A. Puccio-Johnson Percent
0116,1,16,18,14,77.78,4,22.22
0128,1,28,21,20,95.24,1,4.76
3003,30,3,281,215,76.51,66,23.49
3007,30,7,4,3,75.0,1,25.0
3008,30,8,393,308,78.37,85,21.63
3015,30,15,349,258,73.93,91,26.07
3018,30,18,166,135,81.33,31,18.67
3022,30,22,419,357,85.2,62,14.8
3023,30,23,26,17,65.38,9,34.62
3024,30,24,267,199,74.53,68,25.47
3025,30,25,167,119,71.26,48,28.74
3028,30,28,397,334,84.13,63,15.87
3032,30,32,294,239,81.29,55,18.71
3201,32,1,156,142,91.03,14,8.97
3203,32,3,293,247,84.3,46,15.7
3217,32,17,473,406,85.84,67,14.16
3226,32,26,148,119,80.41,29,19.59
3228,32,28,215,180,83.72,35,16.28
3243,32,43,426,359,84.27,67,15.73
3301,33,1,518,452,87.26,66,12.74
3302,33,2,313,268,85.62,45,14.38
3303,33,3,470,407,86.6,63,13.4
3304,33,4,511,422,82.58,89,17.42
3305,33,5,309,254,82.2,55,17.8
3306,33,6,480,431,89.79,49,10.21
3307,33,7,357,307,85.99,50,14.01
3309,33,9,523,416,79.54,107,20.46
3311,33,11,509,423,83.1,86,16.9
3312,33,12,540,463,85.74,77,14.26
3313,33,13,466,418,89.7,48,10.3
3314,33,14,233,194,83.26,39,16.74
3315,33,15,524,441,84.16,83,15.84
3316,33,16,686,567,82.65,119,17.35
3317,33,17,527,432,81.97,95,18.03
3318,33,18,355,308,86.76,47,13.24
3319,33,19,493,396,80.32,97,19.68
3320,33,20,501,426,85.03,75,14.97
3321,33,21,525,445,84.76,80,15.24
3322,33,22,524,451,86.07,73,13.93
3325,33,25,594,483,81.31,111,18.69
3326,33,26,396,329,83.08,67,16.92
3327,33,27,484,404,83.47,80,16.53
3328,33,28,403,343,85.11,60,14.89
3501,35,1,352,285,80.97,67,19.03
3504,35,4,414,308,74.4,106,25.6
3505,35,5,381,323,84.78,58,15.22
3506,35,6,322,254,78.88,68,21.12
3509,35,9,370,305,82.43,65,17.57
3520,35,20,422,372,88.15,50,11.85
3522,35,22,449,382,85.08,67,14.92
3523,35,23,431,359,83.29,72,16.71
3524,35,24,337,278,82.49,59,17.51
3526,35,26,375,304,81.07,71,18.93
3527,35,27,367,295,80.38,72,19.62
3529,35,29,370,316,85.41,54,14.59
3530,35,30,404,343,84.9,61,15.1
3531,35,31,448,361,80.58,87,19.42
3901,39,1,443,305,68.85,138,31.15
3906,39,6,2,2,100.0,0,0.0
3925,39,25,269,209,77.7,60,22.3
3928,39,28,473,362,76.53,111,23.47
3931,39,31,290,231,79.66,59,20.34
3934,39,34,480,369,76.88,111,23.13
3944,39,44,309,244,78.96,65,21.04
4501,45,1,352,262,74.43,90,25.57
4502,45,2,368,304,82.61,64,17.39
4503,45,3,391,313,80.05,78,19.95
4504,45,4,512,382,74.61,130,25.39
4505,45,5,462,339,73.38,123,26.62
4506,45,6,507,375,73.96,132,26.04
4507,45,7,565,392,69.38,173,30.62
4508,45,8,34,19,55.88,15,44.12
