ward,precinct,total,Mathias William Delort,Mathias William Delort Percent
0101,1,1,354,354,100.0
0102,1,2,326,326,100.0
0103,1,3,466,466,100.0
0104,1,4,397,397,100.0
0105,1,5,411,411,100.0
0106,1,6,350,350,100.0
0107,1,7,351,351,100.0
0108,1,8,322,322,100.0
0109,1,9,352,352,100.0
0110,1,10,400,400,100.0
0111,1,11,440,440,100.0
0112,1,12,392,392,100.0
0113,1,13,368,368,100.0
0114,1,14,404,404,100.0
0115,1,15,330,330,100.0
0116,1,16,451,451,100.0
0117,1,17,323,323,100.0
0118,1,18,364,364,100.0
0119,1,19,429,429,100.0
0120,1,20,306,306,100.0
0121,1,21,441,441,100.0
0122,1,22,211,211,100.0
0123,1,23,495,495,100.0
0124,1,24,316,316,100.0
0125,1,25,343,343,100.0
0126,1,26,228,228,100.0
0127,1,27,366,366,100.0
0128,1,28,345,345,100.0
0129,1,29,356,356,100.0
0130,1,30,340,340,100.0
0131,1,31,349,349,100.0
0132,1,32,345,345,100.0
0133,1,33,352,352,100.0
0134,1,34,409,409,100.0
0135,1,35,388,388,100.0
0136,1,36,425,425,100.0
0137,1,37,365,365,100.0
0138,1,38,348,348,100.0
0139,1,39,311,311,100.0
0140,1,40,343,343,100.0
0201,2,1,392,392,100.0
0202,2,2,296,296,100.0
0203,2,3,416,416,100.0
0204,2,4,380,380,100.0
0205,2,5,447,447,100.0
0206,2,6,380,380,100.0
0207,2,7,374,374,100.0
0208,2,8,426,426,100.0
0209,2,9,348,348,100.0
0210,2,10,320,320,100.0
0211,2,11,298,298,100.0
0212,2,12,388,388,100.0
0213,2,13,370,370,100.0
0214,2,14,409,409,100.0
0215,2,15,374,374,100.0
0216,2,16,351,351,100.0
0217,2,17,447,447,100.0
0218,2,18,313,313,100.0
0219,2,19,271,271,100.0
0220,2,20,384,384,100.0
0221,2,21,399,399,100.0
0222,2,22,366,366,100.0
0223,2,23,251,251,100.0
0224,2,24,334,334,100.0
0225,2,25,406,406,100.0
0226,2,26,350,350,100.0
0227,2,27,351,351,100.0
0228,2,28,443,443,100.0
0229,2,29,408,408,100.0
0230,2,30,335,335,100.0
0231,2,31,477,477,100.0
0232,2,32,324,324,100.0
0233,2,33,554,554,100.0
0234,2,34,280,280,100.0
0235,2,35,409,409,100.0
0236,2,36,276,276,100.0
0237,2,37,360,360,100.0
0238,2,38,338,338,100.0
0239,2,39,220,220,100.0
0240,2,40,470,470,100.0
0241,2,41,330,330,100.0
0242,2,42,450,450,100.0
0243,2,43,426,426,100.0
0244,2,44,247,247,100.0
0245,2,45,441,441,100.0
0246,2,46,241,241,100.0
0301,3,1,557,557,100.0
0302,3,2,515,515,100.0
0303,3,3,459,459,100.0
0304,3,4,524,524,100.0
0305,3,5,408,408,100.0
0306,3,6,452,452,100.0
0307,3,7,381,381,100.0
0308,3,8,401,401,100.0
0309,3,9,487,487,100.0
0310,3,10,342,342,100.0
0311,3,11,527,527,100.0
0312,3,12,488,488,100.0
0313,3,13,476,476,100.0
0314,3,14,421,421,100.0
0315,3,15,485,485,100.0
0316,3,16,483,483,100.0
0317,3,17,412,412,100.0
0318,3,18,654,654,100.0
0319,3,19,384,384,100.0
0320,3,20,432,432,100.0
0321,3,21,477,477,100.0
0322,3,22,470,470,100.0
0323,3,23,466,466,100.0
0324,3,24,522,522,100.0
0325,3,25,476,476,100.0
0326,3,26,456,456,100.0
0327,3,27,373,373,100.0
0328,3,28,351,351,100.0
0329,3,29,496,496,100.0
0330,3,30,479,479,100.0
0331,3,31,559,559,100.0
0332,3,32,442,442,100.0
0333,3,33,487,487,100.0
0334,3,34,484,484,100.0
0335,3,35,266,266,100.0
0336,3,36,349,349,100.0
0337,3,37,478,478,100.0
0338,3,38,418,418,100.0
0339,3,39,422,422,100.0
0340,3,40,503,503,100.0
0341,3,41,346,346,100.0
0401,4,1,591,591,100.0
0402,4,2,485,485,100.0
0403,4,3,450,450,100.0
0404,4,4,541,541,100.0
0405,4,5,462,462,100.0
0406,4,6,584,584,100.0
0407,4,7,518,518,100.0
0408,4,8,581,581,100.0
0409,4,9,573,573,100.0
0410,4,10,566,566,100.0
0411,4,11,561,561,100.0
0412,4,12,588,588,100.0
0413,4,13,378,378,100.0
0414,4,14,518,518,100.0
0415,4,15,541,541,100.0
0416,4,16,472,472,100.0
0417,4,17,492,492,100.0
0418,4,18,459,459,100.0
0419,4,19,575,575,100.0
0420,4,20,425,425,100.0
0421,4,21,551,551,100.0
0422,4,22,485,485,100.0
0423,4,23,631,631,100.0
0424,4,24,484,484,100.0
0425,4,25,422,422,100.0
0426,4,26,484,484,100.0
0427,4,27,524,524,100.0
0428,4,28,610,610,100.0
0429,4,29,474,474,100.0
0430,4,30,624,624,100.0
0431,4,31,485,485,100.0
0432,4,32,537,537,100.0
0433,4,33,546,546,100.0
0434,4,34,530,530,100.0
0435,4,35,690,690,100.0
0436,4,36,580,580,100.0
0437,4,37,421,421,100.0
0438,4,38,585,585,100.0
0501,5,1,447,447,100.0
0502,5,2,459,459,100.0
0503,5,3,414,414,100.0
0504,5,4,530,530,100.0
0505,5,5,530,530,100.0
0506,5,6,388,388,100.0
0507,5,7,457,457,100.0
0508,5,8,403,403,100.0
0509,5,9,497,497,100.0
0510,5,10,478,478,100.0
0511,5,11,439,439,100.0
0512,5,12,405,405,100.0
0513,5,13,477,477,100.0
0514,5,14,388,388,100.0
0515,5,15,438,438,100.0
0516,5,16,475,475,100.0
0517,5,17,472,472,100.0
0518,5,18,370,370,100.0
0519,5,19,385,385,100.0
0520,5,20,511,511,100.0
0521,5,21,411,411,100.0
0522,5,22,462,462,100.0
0523,5,23,559,559,100.0
0524,5,24,426,426,100.0
0525,5,25,436,436,100.0
0526,5,26,511,511,100.0
0527,5,27,375,375,100.0
0528,5,28,514,514,100.0
0529,5,29,587,587,100.0
0530,5,30,476,476,100.0
0531,5,31,455,455,100.0
0532,5,32,524,524,100.0
0533,5,33,505,505,100.0
0534,5,34,442,442,100.0
0535,5,35,448,448,100.0
0536,5,36,456,456,100.0
0537,5,37,646,646,100.0
0538,5,38,537,537,100.0
0539,5,39,354,354,100.0
0540,5,40,478,478,100.0
0601,6,1,472,472,100.0
0602,6,2,447,447,100.0
0603,6,3,462,462,100.0
0604,6,4,416,416,100.0
0605,6,5,405,405,100.0
0606,6,6,422,422,100.0
0607,6,7,449,449,100.0
0608,6,8,468,468,100.0
0609,6,9,469,469,100.0
0610,6,10,369,369,100.0
0611,6,11,484,484,100.0
0612,6,12,464,464,100.0
0613,6,13,341,341,100.0
0614,6,14,444,444,100.0
0615,6,15,491,491,100.0
0616,6,16,407,407,100.0
0617,6,17,374,374,100.0
0618,6,18,298,298,100.0
0619,6,19,443,443,100.0
0620,6,20,347,347,100.0
0621,6,21,364,364,100.0
0622,6,22,370,370,100.0
0623,6,23,357,357,100.0
0624,6,24,335,335,100.0
0625,6,25,326,326,100.0
0626,6,26,379,379,100.0
0627,6,27,317,317,100.0
0628,6,28,319,319,100.0
0629,6,29,471,471,100.0
0630,6,30,463,463,100.0
0631,6,31,434,434,100.0
0632,6,32,436,436,100.0
0633,6,33,434,434,100.0
0634,6,34,430,430,100.0
0635,6,35,409,409,100.0
0636,6,36,455,455,100.0
0637,6,37,436,436,100.0
0638,6,38,437,437,100.0
0639,6,39,461,461,100.0
0640,6,40,437,437,100.0
0641,6,41,467,467,100.0
0642,6,42,483,483,100.0
0643,6,43,417,417,100.0
0644,6,44,428,428,100.0
0645,6,45,459,459,100.0
0646,6,46,400,400,100.0
0647,6,47,373,373,100.0
0648,6,48,445,445,100.0
0701,7,1,382,382,100.0
0702,7,2,425,425,100.0
0703,7,3,419,419,100.0
0704,7,4,456,456,100.0
0705,7,5,406,406,100.0
0706,7,6,583,583,100.0
0707,7,7,435,435,100.0
0708,7,8,370,370,100.0
0709,7,9,693,693,100.0
0710,7,10,407,407,100.0
0711,7,11,488,488,100.0
0712,7,12,512,512,100.0
0713,7,13,306,306,100.0
0714,7,14,453,453,100.0
0715,7,15,439,439,100.0
0716,7,16,492,492,100.0
0717,7,17,451,451,100.0
0718,7,18,418,418,100.0
0719,7,19,414,414,100.0
0720,7,20,376,376,100.0
0721,7,21,460,460,100.0
0722,7,22,346,346,100.0
0723,7,23,425,425,100.0
0724,7,24,433,433,100.0
0725,7,25,347,347,100.0
0726,7,26,350,350,100.0
0727,7,27,379,379,100.0
0728,7,28,336,336,100.0
0729,7,29,374,374,100.0
0730,7,30,340,340,100.0
0731,7,31,428,428,100.0
0732,7,32,528,528,100.0
0733,7,33,512,512,100.0
0734,7,34,476,476,100.0
0735,7,35,424,424,100.0
0736,7,36,483,483,100.0
0737,7,37,471,471,100.0
0738,7,38,381,381,100.0
0739,7,39,418,418,100.0
0740,7,40,402,402,100.0
0741,7,41,425,425,100.0
0742,7,42,417,417,100.0
0743,7,43,428,428,100.0
0744,7,44,417,417,100.0
0745,7,45,448,448,100.0
0801,8,1,388,388,100.0
0802,8,2,507,507,100.0
0803,8,3,456,456,100.0
0804,8,4,431,431,100.0
0805,8,5,467,467,100.0
0806,8,6,479,479,100.0
0807,8,7,514,514,100.0
0808,8,8,393,393,100.0
0809,8,9,311,311,100.0
0810,8,10,504,504,100.0
0811,8,11,382,382,100.0
0812,8,12,401,401,100.0
0813,8,13,518,518,100.0
0814,8,14,377,377,100.0
0815,8,15,446,446,100.0
0816,8,16,185,185,100.0
0817,8,17,347,347,100.0
0818,8,18,447,447,100.0
0819,8,19,478,478,100.0
0820,8,20,459,459,100.0
0821,8,21,562,562,100.0
0822,8,22,430,430,100.0
0823,8,23,427,427,100.0
0824,8,24,256,256,100.0
0825,8,25,436,436,100.0
0826,8,26,415,415,100.0
0827,8,27,462,462,100.0
0828,8,28,493,493,100.0
0829,8,29,542,542,100.0
0830,8,30,456,456,100.0
0831,8,31,341,341,100.0
0832,8,32,357,357,100.0
0833,8,33,440,440,100.0
0834,8,34,404,404,100.0
0835,8,35,506,506,100.0
0836,8,36,457,457,100.0
0837,8,37,337,337,100.0
0838,8,38,324,324,100.0
0839,8,39,413,413,100.0
0840,8,40,336,336,100.0
0841,8,41,470,470,100.0
0842,8,42,568,568,100.0
0843,8,43,257,257,100.0
0844,8,44,340,340,100.0
