ward,precinct,total,Rudy Lozano,Rudy Lozano Percent,Silvana Tabares,Silvana Tabares Percent
1201,12,1,90,59,65.56,31,34.44
1202,12,2,90,47,52.22,43,47.78
1203,12,3,46,35,76.09,11,23.91
1204,12,4,27,15,55.56,12,44.44
1205,12,5,41,15,36.59,26,63.41
1206,12,6,85,54,63.53,31,36.47
1207,12,7,128,71,55.47,57,44.53
1210,12,10,92,51,55.43,41,44.57
1211,12,11,157,87,55.41,70,44.59
1212,12,12,97,44,45.36,53,54.64
1213,12,13,129,56,43.41,73,56.59
1215,12,15,84,67,79.76,17,20.24
1218,12,18,126,68,53.97,58,46.03
1219,12,19,27,13,48.15,14,51.85
1221,12,21,78,35,44.87,43,55.13
1222,12,22,81,53,65.43,28,34.57
1224,12,24,28,12,42.86,16,57.14
1407,14,7,131,55,41.98,76,58.02
1408,14,8,86,49,56.98,37,43.02
1412,14,12,118,69,58.47,49,41.53
1422,14,22,178,99,55.62,79,44.38
2201,22,1,57,41,71.93,16,28.07
2205,22,5,2,2,100.0,0,0.0
2208,22,8,68,44,64.71,24,35.29
2210,22,10,116,75,64.66,41,35.34
2212,22,12,101,67,66.34,34,33.66
2213,22,13,64,44,68.75,20,31.25
2214,22,14,67,49,73.13,18,26.87
2215,22,15,41,25,60.98,16,39.02
2216,22,16,118,86,72.88,32,27.12
2218,22,18,90,81,90.0,9,10.0
2222,22,22,59,41,69.49,18,30.51
2223,22,23,38,37,97.37,1,2.63
2224,22,24,84,68,80.95,16,19.05
2228,22,28,67,46,68.66,21,31.34
2301,23,1,186,32,17.2,154,82.8
2312,23,12,176,53,30.11,123,69.89
2313,23,13,183,51,27.87,132,72.13
2316,23,16,181,50,27.62,131,72.38
2327,23,27,214,62,28.97,152,71.03
2347,23,47,195,50,25.64,145,74.36
2433,24,33,91,63,69.23,28,30.77
2829,28,29,108,75,69.44,33,30.56
2834,28,34,37,24,64.86,13,35.14
