ward,precinct,total,Aicha Marie MacCarthy,Aicha Marie MacCarthy Percent
0106,1,6,8,8,100.0
0202,2,2,12,12,100.0
0203,2,3,76,76,100.0
0204,2,4,54,54,100.0
0205,2,5,67,67,100.0
0206,2,6,54,54,100.0
0209,2,9,67,67,100.0
0210,2,10,65,65,100.0
0212,2,12,44,44,100.0
0213,2,13,111,111,100.0
0215,2,15,45,45,100.0
0216,2,16,49,49,100.0
0217,2,17,71,71,100.0
0223,2,23,58,58,100.0
0225,2,25,78,78,100.0
0227,2,27,75,75,100.0
0228,2,28,26,26,100.0
0229,2,29,47,47,100.0
0232,2,32,28,28,100.0
0233,2,33,31,31,100.0
0234,2,34,95,95,100.0
0239,2,39,58,58,100.0
0241,2,41,34,34,100.0
0242,2,42,68,68,100.0
0245,2,45,83,83,100.0
0247,2,47,129,129,100.0
0248,2,48,85,85,100.0
0250,2,50,39,39,100.0
0251,2,51,48,48,100.0
0252,2,52,121,121,100.0
2207,22,7,73,73,100.0
2221,22,21,71,71,100.0
2401,24,1,93,93,100.0
2402,24,2,50,50,100.0
2403,24,3,43,43,100.0
2404,24,4,63,63,100.0
2405,24,5,70,70,100.0
2406,24,6,87,87,100.0
2407,24,7,60,60,100.0
2408,24,8,52,52,100.0
2409,24,9,57,57,100.0
2410,24,10,31,31,100.0
2411,24,11,93,93,100.0
2412,24,12,57,57,100.0
2413,24,13,47,47,100.0
2414,24,14,78,78,100.0
2415,24,15,49,49,100.0
2416,24,16,42,42,100.0
2417,24,17,44,44,100.0
2418,24,18,89,89,100.0
2419,24,19,126,126,100.0
2420,24,20,44,44,100.0
2421,24,21,32,32,100.0
2422,24,22,124,124,100.0
2423,24,23,86,86,100.0
2424,24,24,109,109,100.0
2425,24,25,59,59,100.0
2426,24,26,77,77,100.0
2427,24,27,99,99,100.0
2428,24,28,88,88,100.0
2429,24,29,88,88,100.0
2430,24,30,51,51,100.0
2431,24,31,70,70,100.0
2432,24,32,72,72,100.0
2434,24,34,63,63,100.0
2435,24,35,93,93,100.0
2436,24,36,92,92,100.0
2437,24,37,85,85,100.0
2438,24,38,81,81,100.0
2439,24,39,68,68,100.0
2440,24,40,85,85,100.0
2441,24,41,47,47,100.0
2442,24,42,40,40,100.0
2443,24,43,83,83,100.0
2445,24,45,40,40,100.0
2446,24,46,85,85,100.0
2447,24,47,63,63,100.0
2448,24,48,85,85,100.0
2449,24,49,144,144,100.0
2450,24,50,115,115,100.0
2503,25,3,22,22,100.0
2504,25,4,69,69,100.0
2510,25,10,36,36,100.0
2521,25,21,63,63,100.0
2525,25,25,11,11,100.0
2528,25,28,62,62,100.0
2529,25,29,59,59,100.0
2602,26,2,15,15,100.0
2610,26,10,42,42,100.0
2617,26,17,28,28,100.0
2633,26,33,0,0,0.0
2701,27,1,40,40,100.0
2702,27,2,57,57,100.0
2703,27,3,101,101,100.0
2707,27,7,46,46,100.0
2708,27,8,62,62,100.0
2714,27,14,94,94,100.0
2715,27,15,108,108,100.0
2716,27,16,23,23,100.0
2717,27,17,32,32,100.0
2719,27,19,104,104,100.0
2722,27,22,128,128,100.0
2723,27,23,77,77,100.0
2724,27,24,126,126,100.0
2725,27,25,37,37,100.0
2726,27,26,81,81,100.0
2727,27,27,59,59,100.0
2729,27,29,41,41,100.0
2731,27,31,62,62,100.0
2733,27,33,46,46,100.0
2734,27,34,142,142,100.0
2736,27,36,68,68,100.0
2744,27,44,125,125,100.0
2745,27,45,14,14,100.0
2801,28,1,59,59,100.0
2802,28,2,78,78,100.0
2803,28,3,34,34,100.0
2804,28,4,72,72,100.0
2805,28,5,61,61,100.0
2806,28,6,49,49,100.0
2807,28,7,38,38,100.0
2808,28,8,63,63,100.0
2809,28,9,61,61,100.0
2810,28,10,21,21,100.0
2811,28,11,36,36,100.0
2812,28,12,29,29,100.0
2813,28,13,31,31,100.0
2814,28,14,86,86,100.0
2815,28,15,61,61,100.0
2816,28,16,43,43,100.0
2817,28,17,57,57,100.0
2818,28,18,95,95,100.0
2819,28,19,76,76,100.0
2820,28,20,87,87,100.0
2821,28,21,77,77,100.0
2822,28,22,64,64,100.0
2823,28,23,109,109,100.0
2824,28,24,33,33,100.0
2825,28,25,46,46,100.0
2826,28,26,51,51,100.0
2827,28,27,86,86,100.0
2828,28,28,49,49,100.0
2830,28,30,38,38,100.0
2831,28,31,56,56,100.0
2832,28,32,57,57,100.0
2833,28,33,85,85,100.0
2835,28,35,51,51,100.0
2836,28,36,96,96,100.0
2837,28,37,109,109,100.0
2838,28,38,65,65,100.0
2839,28,39,55,55,100.0
2840,28,40,97,97,100.0
2841,28,41,40,40,100.0
2842,28,42,50,50,100.0
2843,28,43,91,91,100.0
2844,28,44,95,95,100.0
2845,28,45,61,61,100.0
2846,28,46,55,55,100.0
2847,28,47,49,49,100.0
2848,28,48,56,56,100.0
2849,28,49,61,61,100.0
2850,28,50,44,44,100.0
2851,28,51,56,56,100.0
2852,28,52,48,48,100.0
2853,28,53,63,63,100.0
2854,28,54,47,47,100.0
2855,28,55,36,36,100.0
2901,29,1,158,158,100.0
2903,29,3,140,140,100.0
2904,29,4,121,121,100.0
2905,29,5,87,87,100.0
2908,29,8,55,55,100.0
2911,29,11,89,89,100.0
2913,29,13,55,55,100.0
2914,29,14,121,121,100.0
2916,29,16,200,200,100.0
2918,29,18,92,92,100.0
2919,29,19,123,123,100.0
2920,29,20,121,121,100.0
2921,29,21,63,63,100.0
2922,29,22,79,79,100.0
2923,29,23,93,93,100.0
2926,29,26,94,94,100.0
2927,29,27,61,61,100.0
2928,29,28,107,107,100.0
2929,29,29,159,159,100.0
2931,29,31,67,67,100.0
2933,29,33,96,96,100.0
2934,29,34,62,62,100.0
2935,29,35,94,94,100.0
2937,29,37,89,89,100.0
2938,29,38,94,94,100.0
2940,29,40,139,139,100.0
2941,29,41,104,104,100.0
2942,29,42,132,132,100.0
2943,29,43,119,119,100.0
2944,29,44,89,89,100.0
2945,29,45,76,76,100.0
2946,29,46,68,68,100.0
2947,29,47,131,131,100.0
2948,29,48,72,72,100.0
3704,37,4,82,82,100.0
3705,37,5,109,109,100.0
3706,37,6,111,111,100.0
3707,37,7,100,100,100.0
