ward,precinct,total,Jacques A. Conway,Jacques A. Conway Percent,Danny K. Davis,Danny K. Davis Percent
0101,1,1,84,25,29.76,59,70.24
0106,1,6,63,13,20.63,50,79.37
0111,1,11,9,3,33.33,6,66.67
0144,1,44,13,5,38.46,8,61.54
0201,2,1,137,27,19.71,110,80.29
0202,2,2,17,5,29.41,12,70.59
0203,2,3,97,16,16.49,81,83.51
0204,2,4,95,7,7.37,88,92.63
0205,2,5,110,11,10.0,99,90.0
0206,2,6,77,17,22.08,60,77.92
0207,2,7,183,17,9.29,166,90.71
0208,2,8,150,20,13.33,130,86.67
0209,2,9,99,15,15.15,84,84.85
0210,2,10,106,10,9.43,96,90.57
0211,2,11,174,37,21.26,137,78.74
0212,2,12,82,21,25.61,61,74.39
0213,2,13,170,19,11.18,151,88.82
0214,2,14,6,1,16.67,5,83.33
0215,2,15,63,6,9.52,57,90.48
0216,2,16,73,16,21.92,57,78.08
0217,2,17,92,8,8.7,84,91.3
0218,2,18,104,21,20.19,83,79.81
0219,2,19,131,29,22.14,102,77.86
0220,2,20,228,27,11.84,201,88.16
0221,2,21,184,10,5.43,174,94.57
0222,2,22,190,38,20.0,152,80.0
0223,2,23,85,13,15.29,72,84.71
0224,2,24,66,11,16.67,55,83.33
0225,2,25,114,16,14.04,98,85.96
0226,2,26,121,21,17.36,100,82.64
0227,2,27,116,8,6.9,108,93.1
0228,2,28,50,15,30.0,35,70.0
0229,2,29,73,3,4.11,70,95.89
0230,2,30,100,27,27.0,73,73.0
0232,2,32,37,3,8.11,34,91.89
0233,2,33,53,5,9.43,48,90.57
0234,2,34,144,11,7.64,133,92.36
0235,2,35,93,19,20.43,74,79.57
0236,2,36,165,25,15.15,140,84.85
0237,2,37,87,21,24.14,66,75.86
0238,2,38,164,41,25.0,123,75.0
0239,2,39,93,15,16.13,78,83.87
0240,2,40,191,28,14.66,163,85.34
0241,2,41,47,1,2.13,46,97.87
0242,2,42,111,7,6.31,104,93.69
0243,2,43,149,27,18.12,122,81.88
0245,2,45,121,10,8.26,111,91.74
0247,2,47,178,17,9.55,161,90.45
0248,2,48,120,9,7.5,111,92.5
0249,2,49,87,19,21.84,68,78.16
0250,2,50,57,17,29.82,40,70.18
0251,2,51,71,6,8.45,65,91.55
0252,2,52,161,18,11.18,143,88.82
0253,2,53,63,15,23.81,48,76.19
0254,2,54,41,10,24.39,31,75.61
0301,3,1,138,9,6.52,129,93.48
0302,3,2,203,25,12.32,178,87.68
0303,3,3,110,27,24.55,83,75.45
0304,3,4,91,7,7.69,84,92.31
0306,3,6,16,0,0.0,16,100.0
0308,3,8,88,15,17.05,73,82.95
0309,3,9,121,14,11.57,107,88.43
0310,3,10,35,1,2.86,34,97.14
0311,3,11,104,11,10.58,93,89.42
0312,3,12,87,7,8.05,80,91.95
0314,3,14,119,3,2.52,116,97.48
0315,3,15,141,16,11.35,125,88.65
0316,3,16,96,10,10.42,86,89.58
0317,3,17,49,6,12.24,43,87.76
0318,3,18,61,6,9.84,55,90.16
0320,3,20,84,6,7.14,78,92.86
0321,3,21,36,5,13.89,31,86.11
0322,3,22,65,5,7.69,60,92.31
0323,3,23,82,3,3.66,79,96.34
0324,3,24,156,14,8.97,142,91.03
0325,3,25,67,10,14.93,57,85.07
0326,3,26,28,3,10.71,25,89.29
0327,3,27,107,9,8.41,98,91.59
0328,3,28,123,33,26.83,90,73.17
0329,3,29,121,15,12.4,106,87.6
0331,3,31,220,24,10.91,196,89.09
0332,3,32,88,9,10.23,79,89.77
0333,3,33,140,15,10.71,125,89.29
0335,3,35,109,8,7.34,101,92.66
0336,3,36,27,2,7.41,25,92.59
0337,3,37,45,4,8.89,41,91.11
0339,3,39,248,10,4.03,238,95.97
0340,3,40,128,16,12.5,112,87.5
0342,3,42,95,7,7.37,88,92.63
0343,3,43,41,3,7.32,38,92.68
0344,3,44,19,3,15.79,16,84.21
0345,3,45,165,25,15.15,140,84.85
0346,3,46,50,5,10.0,45,90.0
0347,3,47,60,11,18.33,49,81.67
0348,3,48,67,6,8.96,61,91.04
0349,3,49,45,6,13.33,39,86.67
0350,3,50,49,2,4.08,47,95.92
0404,4,4,168,18,10.71,150,89.29
0405,4,5,206,20,9.71,186,90.29
0406,4,6,82,2,2.44,80,97.56
0407,4,7,208,16,7.69,192,92.31
0410,4,10,157,11,7.01,146,92.99
0411,4,11,114,9,7.89,105,92.11
0414,4,14,79,9,11.39,70,88.61
0415,4,15,123,11,8.94,112,91.06
0425,4,25,216,16,7.41,200,92.59
