ward,precinct,total,Lisa Ann Marino,Lisa Ann Marino Percent,Pamela McLean Meyerson,Pamela McLean Meyerson Percent,Deborah J. Fortier,Deborah J. Fortier Percent,Jennifer A. Blanc,Jennifer A. Blanc Percent
2902,29,2,44,28,63.64,4,9.09,7,15.91,5,11.36
2906,29,6,78,38,48.72,18,23.08,5,6.41,17,21.79
2907,29,7,33,22,66.67,2,6.06,5,15.15,4,12.12
2909,29,9,44,27,61.36,9,20.45,5,11.36,3,6.82
2910,29,10,47,25,53.19,11,23.4,7,14.89,4,8.51
2912,29,12,122,48,39.34,40,32.79,21,17.21,13,10.66
2915,29,15,145,57,39.31,35,24.14,40,27.59,13,8.97
2917,29,17,99,40,40.4,21,21.21,21,21.21,17,17.17
2924,29,24,118,30,25.42,29,24.58,37,31.36,22,18.64
2925,29,25,108,84,77.78,5,4.63,14,12.96,5,4.63
2930,29,30,43,21,48.84,5,11.63,9,20.93,8,18.6
2932,29,32,37,21,56.76,7,18.92,3,8.11,6,16.22
2936,29,36,173,78,45.09,37,21.39,31,17.92,27,15.61
2939,29,39,50,34,68.0,5,10.0,7,14.0,4,8.0
3002,30,2,62,38,61.29,12,19.35,6,9.68,6,9.68
3006,30,6,86,53,61.63,17,19.77,6,6.98,10,11.63
3007,30,7,47,22,46.81,10,21.28,9,19.15,6,12.77
3008,30,8,81,38,46.91,30,37.04,1,1.23,12,14.81
3009,30,9,149,110,73.83,13,8.72,11,7.38,15,10.07
3010,30,10,46,30,65.22,5,10.87,3,6.52,8,17.39
3012,30,12,59,34,57.63,9,15.25,4,6.78,12,20.34
3013,30,13,109,62,56.88,25,22.94,9,8.26,13,11.93
3014,30,14,48,35,72.92,4,8.33,5,10.42,4,8.33
3017,30,17,29,20,68.97,3,10.34,1,3.45,5,17.24
3018,30,18,78,38,48.72,23,29.49,10,12.82,7,8.97
3025,30,25,22,8,36.36,7,31.82,3,13.64,4,18.18
3028,30,28,69,40,57.97,13,18.84,3,4.35,13,18.84
3030,30,30,68,40,58.82,6,8.82,9,13.24,13,19.12
3103,31,3,46,34,73.91,5,10.87,2,4.35,5,10.87
3108,31,8,50,30,60.0,7,14.0,6,12.0,7,14.0
3109,31,9,55,41,74.55,10,18.18,2,3.64,2,3.64
3115,31,15,23,20,86.96,2,8.7,1,4.35,0,0.0
3116,31,16,29,16,55.17,3,10.34,5,17.24,5,17.24
3118,31,18,2,1,50.0,0,0.0,1,50.0,0,0.0
3126,31,26,36,25,69.44,5,13.89,1,2.78,5,13.89
3129,31,29,34,25,73.53,4,11.76,3,8.82,2,5.88
3138,31,38,38,22,57.89,8,21.05,3,7.89,5,13.16
3143,31,43,36,20,55.56,9,25.0,1,2.78,6,16.67
3145,31,45,32,23,71.88,3,9.38,2,6.25,4,12.5
3511,35,11,1,1,100.0,0,0.0,0,0.0,0,0.0
3513,35,13,11,5,45.45,3,27.27,2,18.18,1,9.09
3533,35,33,24,14,58.33,6,25.0,3,12.5,1,4.17
3601,36,1,73,57,78.08,10,13.7,3,4.11,3,4.11
3602,36,2,90,61,67.78,12,13.33,13,14.44,4,4.44
3603,36,3,203,122,60.1,33,16.26,31,15.27,17,8.37
3604,36,4,36,25,69.44,4,11.11,1,2.78,6,16.67
3605,36,5,173,140,80.92,16,9.25,7,4.05,10,5.78
3606,36,6,74,50,67.57,14,18.92,2,2.7,8,10.81
3607,36,7,74,50,67.57,12,16.22,2,2.7,10,13.51
3608,36,8,89,66,74.16,12,13.48,7,7.87,4,4.49
3609,36,9,142,109,76.76,16,11.27,7,4.93,10,7.04
3610,36,10,79,51,64.56,12,15.19,9,11.39,7,8.86
3611,36,11,110,89,80.91,9,8.18,5,4.55,7,6.36
3612,36,12,78,58,74.36,10,12.82,6,7.69,4,5.13
3613,36,13,162,121,74.69,15,9.26,12,7.41,14,8.64
3614,36,14,115,85,73.91,14,12.17,7,6.09,9,7.83
3615,36,15,88,62,70.45,11,12.5,6,6.82,9,10.23
3616,36,16,191,140,73.3,26,13.61,15,7.85,10,5.24
3617,36,17,52,32,61.54,7,13.46,8,15.38,5,9.62
3618,36,18,108,85,78.7,11,10.19,3,2.78,9,8.33
3619,36,19,94,77,81.91,6,6.38,7,7.45,4,4.26
3620,36,20,143,117,81.82,10,6.99,7,4.9,9,6.29
3621,36,21,144,103,71.53,28,19.44,3,2.08,10,6.94
3622,36,22,158,111,70.25,22,13.92,17,10.76,8,5.06
3623,36,23,220,134,60.91,42,19.09,25,11.36,19,8.64
3624,36,24,106,65,61.32,20,18.87,14,13.21,7,6.6
3625,36,25,153,92,60.13,34,22.22,10,6.54,17,11.11
3626,36,26,76,53,69.74,11,14.47,5,6.58,7,9.21
3627,36,27,61,40,65.57,9,14.75,2,3.28,10,16.39
3628,36,28,61,49,80.33,4,6.56,5,8.2,3,4.92
3629,36,29,84,72,85.71,7,8.33,3,3.57,2,2.38
3630,36,30,101,67,66.34,22,21.78,4,3.96,8,7.92
3631,36,31,99,81,81.82,5,5.05,5,5.05,8,8.08
3632,36,32,73,54,73.97,12,16.44,0,0.0,7,9.59
3633,36,33,102,59,57.84,22,21.57,8,7.84,13,12.75
3634,36,34,43,27,62.79,8,18.6,4,9.3,4,9.3
3635,36,35,103,76,73.79,12,11.65,2,1.94,13,12.62
3636,36,36,67,40,59.7,14,20.9,10,14.93,3,4.48
3637,36,37,89,67,75.28,11,12.36,3,3.37,8,8.99
