ward,precinct,total,Nancy Schiavone,Nancy Schiavone Percent
3501,35,1,58,58,100.0
3502,35,2,44,44,100.0
3503,35,3,44,44,100.0
3504,35,4,56,56,100.0
3505,35,5,48,48,100.0
3506,35,6,57,57,100.0
3507,35,7,108,108,100.0
3508,35,8,93,93,100.0
3509,35,9,57,57,100.0
3510,35,10,88,88,100.0
3511,35,11,67,67,100.0
3512,35,12,117,117,100.0
3513,35,13,9,9,100.0
3514,35,14,79,79,100.0
3515,35,15,87,87,100.0
3516,35,16,83,83,100.0
3517,35,17,70,70,100.0
3518,35,18,56,56,100.0
3519,35,19,80,80,100.0
3520,35,20,47,47,100.0
3521,35,21,63,63,100.0
3522,35,22,12,12,100.0
3523,35,23,35,35,100.0
3524,35,24,26,26,100.0
3525,35,25,101,101,100.0
3526,35,26,58,58,100.0
3527,35,27,111,111,100.0
3528,35,28,81,81,100.0
3529,35,29,100,100,100.0
3530,35,30,160,160,100.0
3531,35,31,39,39,100.0
3532,35,32,32,32,100.0
3533,35,33,51,51,100.0
3534,35,34,97,97,100.0
3535,35,35,71,71,100.0
3536,35,36,72,72,100.0
