ward,precinct,total,Patricia Van Pelt Watkins,Patricia Van Pelt Watkins Percent,Annazette R. Collins,Annazette R. Collins Percent
0106,1,6,61,38,62.3,23,37.7
0108,1,8,67,39,58.21,28,41.79
0110,1,10,38,27,71.05,11,28.95
0112,1,12,49,27,55.1,22,44.9
0121,1,21,63,41,65.08,22,34.92
0125,1,25,46,26,56.52,20,43.48
0126,1,26,29,23,79.31,6,20.69
0131,1,31,50,35,70.0,15,30.0
0135,1,35,5,5,100.0,0,0.0
0137,1,37,69,49,71.01,20,28.99
0202,2,2,17,14,82.35,3,17.65
0203,2,3,96,47,48.96,49,51.04
0204,2,4,98,58,59.18,40,40.82
0205,2,5,110,56,50.91,54,49.09
0206,2,6,71,53,74.65,18,25.35
0209,2,9,94,59,62.77,35,37.23
0210,2,10,104,51,49.04,53,50.96
0212,2,12,83,51,61.45,32,38.55
0213,2,13,152,90,59.21,62,40.79
0215,2,15,61,24,39.34,37,60.66
0216,2,16,75,55,73.33,20,26.67
0217,2,17,96,57,59.38,39,40.63
0223,2,23,87,45,51.72,42,48.28
0225,2,25,113,70,61.95,43,38.05
0227,2,27,114,39,34.21,75,65.79
0228,2,28,50,34,68.0,16,32.0
0229,2,29,70,40,57.14,30,42.86
0232,2,32,39,21,53.85,18,46.15
0233,2,33,51,27,52.94,24,47.06
0234,2,34,138,61,44.2,77,55.8
0239,2,39,95,57,60.0,38,40.0
0241,2,41,42,22,52.38,20,47.62
0242,2,42,104,38,36.54,66,63.46
0245,2,45,122,64,52.46,58,47.54
0247,2,47,168,57,33.93,111,66.07
0248,2,48,121,58,47.93,63,52.07
0250,2,50,60,45,75.0,15,25.0
0251,2,51,68,37,54.41,31,45.59
0252,2,52,164,70,42.68,94,57.32
2207,22,7,115,58,50.43,57,49.57
2219,22,19,57,20,35.09,37,64.91
2221,22,21,118,45,38.14,73,61.86
2401,24,1,136,51,37.5,85,62.5
2402,24,2,67,28,41.79,39,58.21
2403,24,3,74,39,52.7,35,47.3
2404,24,4,87,42,48.28,45,51.72
2405,24,5,104,49,47.12,55,52.88
2406,24,6,120,59,49.17,61,50.83
2407,24,7,95,53,55.79,42,44.21
2408,24,8,82,33,40.24,49,59.76
2409,24,9,92,39,42.39,53,57.61
2410,24,10,85,39,45.88,46,54.12
2411,24,11,136,62,45.59,74,54.41
2412,24,12,84,31,36.9,53,63.1
2413,24,13,70,32,45.71,38,54.29
2414,24,14,119,50,42.02,69,57.98
2415,24,15,78,33,42.31,45,57.69
2416,24,16,5,2,40.0,3,60.0
2417,24,17,69,41,59.42,28,40.58
2418,24,18,131,54,41.22,77,58.78
2419,24,19,174,72,41.38,102,58.62
2420,24,20,72,45,62.5,27,37.5
2421,24,21,51,22,43.14,29,56.86
2422,24,22,172,80,46.51,92,53.49
2423,24,23,139,79,56.83,60,43.17
2424,24,24,163,66,40.49,97,59.51
2425,24,25,101,53,52.48,48,47.52
2426,24,26,106,56,52.83,50,47.17
2427,24,27,157,56,35.67,101,64.33
2428,24,28,122,52,42.62,70,57.38
2429,24,29,138,65,47.1,73,52.9
2430,24,30,82,36,43.9,46,56.1
2431,24,31,102,39,38.24,63,61.76
2432,24,32,112,60,53.57,52,46.43
2434,24,34,85,44,51.76,41,48.24
2435,24,35,147,72,48.98,75,51.02
2436,24,36,132,57,43.18,75,56.82
2437,24,37,112,55,49.11,57,50.89
2438,24,38,123,66,53.66,57,46.34
2439,24,39,94,45,47.87,49,52.13
2440,24,40,125,60,48.0,65,52.0
2441,24,41,53,23,43.4,30,56.6
2442,24,42,82,45,54.88,37,45.12
2443,24,43,120,58,48.33,62,51.67
2444,24,44,170,94,55.29,76,44.71
2445,24,45,65,20,30.77,45,69.23
2446,24,46,26,17,65.38,9,34.62
2447,24,47,81,32,39.51,49,60.49
2448,24,48,122,52,42.62,70,57.38
2449,24,49,213,107,50.23,106,49.77
2450,24,50,178,94,52.81,84,47.19
2503,25,3,50,36,72.0,14,28.0
2504,25,4,109,97,88.99,12,11.01
2510,25,10,48,40,83.33,8,16.67
2521,25,21,92,64,69.57,28,30.43
2525,25,25,69,47,68.12,22,31.88
2527,25,27,59,40,67.8,19,32.2
2528,25,28,112,87,77.68,25,22.32
2529,25,29,178,140,78.65,38,21.35
2607,26,7,1,1,100.0,0,0.0
2617,26,17,45,30,66.67,15,33.33
2633,26,33,0,0,0.0,0,0.0
2646,26,46,35,21,60.0,14,40.0
2701,27,1,65,51,78.46,14,21.54
2702,27,2,80,38,47.5,42,52.5
2703,27,3,130,60,46.15,70,53.85
2705,27,5,31,22,70.97,9,29.03
2706,27,6,38,33,86.84,5,13.16
2707,27,7,69,48,69.57,21,30.43
2708,27,8,86,35,40.7,51,59.3
2709,27,9,152,108,71.05,44,28.95
2710,27,10,205,134,65.37,71,34.63
2711,27,11,48,36,75.0,12,25.0
2712,27,12,62,46,74.19,16,25.81
2714,27,14,146,75,51.37,71,48.63
2715,27,15,158,78,49.37,80,50.63
2716,27,16,34,25,73.53,9,26.47
2717,27,17,52,37,71.15,15,28.85
2718,27,18,47,34,72.34,13,27.66
2719,27,19,157,94,59.87,63,40.13
2720,27,20,107,88,82.24,19,17.76
2721,27,21,110,87,79.09,23,20.91
2722,27,22,170,102,60.0,68,40.0
2723,27,23,98,54,55.1,44,44.9
2724,27,24,156,102,65.38,54,34.62
2725,27,25,55,20,36.36,35,63.64
2726,27,26,116,58,50.0,58,50.0
2727,27,27,85,49,57.65,36,42.35
2728,27,28,89,64,71.91,25,28.09
2729,27,29,50,38,76.0,12,24.0
2730,27,30,46,32,69.57,14,30.43
2731,27,31,79,53,67.09,26,32.91
2733,27,33,68,50,73.53,18,26.47
2734,27,34,200,135,67.5,65,32.5
2735,27,35,71,50,70.42,21,29.58
2736,27,36,102,54,52.94,48,47.06
2737,27,37,148,118,79.73,30,20.27
2740,27,40,61,44,72.13,17,27.87
2743,27,43,46,31,67.39,15,32.61
2744,27,44,177,91,51.41,86,48.59
2745,27,45,24,18,75.0,6,25.0
2801,28,1,54,26,48.15,28,51.85
2802,28,2,117,32,27.35,85,72.65
2803,28,3,60,26,43.33,34,56.67
2805,28,5,82,40,48.78,42,51.22
2806,28,6,56,21,37.5,35,62.5
2807,28,7,58,17,29.31,41,70.69
2809,28,9,83,31,37.35,52,62.65
2810,28,10,27,2,7.41,25,92.59
2811,28,11,49,21,42.86,28,57.14
2812,28,12,0,0,0.0,0,0.0
2813,28,13,52,20,38.46,32,61.54
2818,28,18,131,63,48.09,68,51.91
2820,28,20,128,50,39.06,78,60.94
2821,28,21,107,48,44.86,59,55.14
2822,28,22,85,32,37.65,53,62.35
2823,28,23,148,56,37.84,92,62.16
2824,28,24,51,21,41.18,30,58.82
2825,28,25,80,41,51.25,39,48.75
2826,28,26,78,23,29.49,55,70.51
2827,28,27,90,35,38.89,55,61.11
2828,28,28,59,22,37.29,37,62.71
2830,28,30,13,4,30.77,9,69.23
2831,28,31,80,25,31.25,55,68.75
2832,28,32,83,29,34.94,54,65.06
2833,28,33,116,37,31.9,79,68.1
2834,28,34,63,32,50.79,31,49.21
2835,28,35,69,29,42.03,40,57.97
2836,28,36,145,54,37.24,91,62.76
2837,28,37,164,52,31.71,112,68.29
2840,28,40,129,43,33.33,86,66.67
2842,28,42,38,18,47.37,20,52.63
2843,28,43,132,43,32.58,89,67.42
2844,28,44,122,52,42.62,70,57.38
2850,28,50,60,31,51.67,29,48.33
2851,28,51,73,26,35.62,47,64.38
2852,28,52,58,22,37.93,36,62.07
2854,28,54,67,19,28.36,48,71.64
2855,28,55,50,22,44.0,28,56.0
3202,32,2,87,60,68.97,27,31.03
3204,32,4,103,81,78.64,22,21.36
3205,32,5,48,33,68.75,15,31.25
3206,32,6,75,49,65.33,26,34.67
3214,32,14,55,36,65.45,19,34.55
3226,32,26,60,35,58.33,25,41.67
3228,32,28,38,23,60.53,15,39.47
3229,32,29,52,34,65.38,18,34.62
3231,32,31,80,61,76.25,19,23.75
3233,32,33,45,25,55.56,20,44.44
3234,32,34,48,33,68.75,15,31.25
3235,32,35,68,52,76.47,16,23.53
3236,32,36,73,55,75.34,18,24.66
3246,32,46,23,13,56.52,10,43.48
3251,32,51,72,56,77.78,16,22.22
3252,32,52,32,26,81.25,6,18.75
3702,37,2,0,0,0.0,0,0.0
3703,37,3,47,30,63.83,17,36.17
3704,37,4,100,45,45.0,55,55.0
3708,37,8,60,24,40.0,36,60.0
3712,37,12,65,26,40.0,39,60.0
