ward,precinct,total,Donne E. Trotter,Donne E. Trotter Percent
0601,6,1,202,202,100.0
0602,6,2,164,164,100.0
0603,6,3,147,147,100.0
0608,6,8,179,179,100.0
0609,6,9,134,134,100.0
0610,6,10,224,224,100.0
0613,6,13,97,97,100.0
0614,6,14,113,113,100.0
0616,6,16,169,169,100.0
0617,6,17,157,157,100.0
0619,6,19,79,79,100.0
0621,6,21,170,170,100.0
0622,6,22,146,146,100.0
0623,6,23,110,110,100.0
0624,6,24,144,144,100.0
0625,6,25,85,85,100.0
0626,6,26,141,141,100.0
0627,6,27,182,182,100.0
0628,6,28,258,258,100.0
0629,6,29,186,186,100.0
0631,6,31,156,156,100.0
0634,6,34,102,102,100.0
0635,6,35,130,130,100.0
0637,6,37,181,181,100.0
0638,6,38,136,136,100.0
0639,6,39,72,72,100.0
0640,6,40,194,194,100.0
0641,6,41,160,160,100.0
0643,6,43,137,137,100.0
0644,6,44,163,163,100.0
0645,6,45,200,200,100.0
0646,6,46,128,128,100.0
0647,6,47,150,150,100.0
0650,6,50,182,182,100.0
0651,6,51,141,141,100.0
0652,6,52,90,90,100.0
0653,6,53,123,123,100.0
0654,6,54,118,118,100.0
0657,6,57,129,129,100.0
0658,6,58,167,167,100.0
0659,6,59,132,132,100.0
0702,7,2,138,138,100.0
0704,7,4,79,79,100.0
0721,7,21,97,97,100.0
0722,7,22,69,69,100.0
0724,7,24,213,213,100.0
0725,7,25,222,222,100.0
0726,7,26,137,137,100.0
0736,7,36,120,120,100.0
0737,7,37,169,169,100.0
0738,7,38,186,186,100.0
0739,7,39,284,284,100.0
0743,7,43,118,118,100.0
0748,7,48,98,98,100.0
0801,8,1,158,158,100.0
0802,8,2,69,69,100.0
0803,8,3,213,213,100.0
0804,8,4,312,312,100.0
0805,8,5,335,335,100.0
0806,8,6,152,152,100.0
0807,8,7,115,115,100.0
0808,8,8,180,180,100.0
0809,8,9,202,202,100.0
0810,8,10,205,205,100.0
0811,8,11,130,130,100.0
0812,8,12,104,104,100.0
0814,8,14,89,89,100.0
0815,8,15,110,110,100.0
0816,8,16,169,169,100.0
0818,8,18,65,65,100.0
0819,8,19,183,183,100.0
0824,8,24,150,150,100.0
0825,8,25,130,130,100.0
0827,8,27,163,163,100.0
0829,8,29,131,131,100.0
0830,8,30,100,100,100.0
0831,8,31,87,87,100.0
0832,8,32,193,193,100.0
0833,8,33,181,181,100.0
0834,8,34,160,160,100.0
0835,8,35,185,185,100.0
0836,8,36,152,152,100.0
0837,8,37,143,143,100.0
0838,8,38,114,114,100.0
0839,8,39,149,149,100.0
0840,8,40,103,103,100.0
0841,8,41,112,112,100.0
0842,8,42,156,156,100.0
0843,8,43,5,5,100.0
0844,8,44,115,115,100.0
0845,8,45,85,85,100.0
0846,8,46,147,147,100.0
0847,8,47,162,162,100.0
0848,8,48,115,115,100.0
0849,8,49,179,179,100.0
0850,8,50,131,131,100.0
0851,8,51,177,177,100.0
0852,8,52,147,147,100.0
0853,8,53,148,148,100.0
0854,8,54,137,137,100.0
0855,8,55,79,79,100.0
0856,8,56,128,128,100.0
0858,8,58,163,163,100.0
0861,8,61,114,114,100.0
0862,8,62,194,194,100.0
0863,8,63,168,168,100.0
0864,8,64,115,115,100.0
0908,9,8,108,108,100.0
0909,9,9,171,171,100.0
0913,9,13,148,148,100.0
0923,9,23,88,88,100.0
0925,9,25,71,71,100.0
0928,9,28,34,34,100.0
0936,9,36,144,144,100.0
0937,9,37,87,87,100.0
0938,9,38,97,97,100.0
0942,9,42,55,55,100.0
0946,9,46,60,60,100.0
0947,9,47,161,161,100.0
1002,10,2,42,42,100.0
1003,10,3,74,74,100.0
1005,10,5,71,71,100.0
1006,10,6,123,123,100.0
1008,10,8,57,57,100.0
1009,10,9,52,52,100.0
1013,10,13,0,0,0.0
1015,10,15,27,27,100.0
1016,10,16,60,60,100.0
1017,10,17,61,61,100.0
1021,10,21,59,59,100.0
1024,10,24,59,59,100.0
1028,10,28,91,91,100.0
1029,10,29,91,91,100.0
1036,10,36,80,80,100.0
1040,10,40,61,61,100.0
1042,10,42,56,56,100.0
1046,10,46,8,8,100.0
1721,17,21,131,131,100.0
1754,17,54,33,33,100.0
2102,21,2,41,41,100.0
2137,21,37,8,8,100.0
2165,21,65,184,184,100.0
