ward,precinct,total,Toya T. Harvey,Toya T. Harvey Percent
0901,9,1,299,299,100.0
0902,9,2,271,271,100.0
0903,9,3,202,202,100.0
0904,9,4,229,229,100.0
0905,9,5,284,284,100.0
0906,9,6,281,281,100.0
0907,9,7,241,241,100.0
0908,9,8,293,293,100.0
0909,9,9,307,307,100.0
0910,9,10,233,233,100.0
0911,9,11,200,200,100.0
0913,9,13,13,13,100.0
0914,9,14,59,59,100.0
0915,9,15,319,319,100.0
0916,9,16,280,280,100.0
0917,9,17,202,202,100.0
0918,9,18,217,217,100.0
0919,9,19,280,280,100.0
0920,9,20,274,274,100.0
0921,9,21,264,264,100.0
0922,9,22,285,285,100.0
0926,9,26,324,324,100.0
0927,9,27,251,251,100.0
0928,9,28,180,180,100.0
0929,9,29,248,248,100.0
0930,9,30,231,231,100.0
0931,9,31,224,224,100.0
0932,9,32,308,308,100.0
0933,9,33,221,221,100.0
0934,9,34,223,223,100.0
0935,9,35,205,205,100.0
0937,9,37,376,376,100.0
0938,9,38,308,308,100.0
0939,9,39,341,341,100.0
0940,9,40,320,320,100.0
0941,9,41,243,243,100.0
0943,9,43,251,251,100.0
0944,9,44,271,271,100.0
0945,9,45,236,236,100.0
0946,9,46,292,292,100.0
1928,19,28,255,255,100.0
1943,19,43,67,67,100.0
2101,21,1,349,349,100.0
2102,21,2,81,81,100.0
2103,21,3,333,333,100.0
2105,21,5,332,332,100.0
2106,21,6,255,255,100.0
2107,21,7,297,297,100.0
2108,21,8,315,315,100.0
2109,21,9,348,348,100.0
2110,21,10,292,292,100.0
2111,21,11,279,279,100.0
2112,21,12,284,284,100.0
2113,21,13,225,225,100.0
2114,21,14,322,322,100.0
2116,21,16,286,286,100.0
2117,21,17,152,152,100.0
2118,21,18,337,337,100.0
2119,21,19,337,337,100.0
2120,21,20,20,20,100.0
2121,21,21,258,258,100.0
2122,21,22,264,264,100.0
2123,21,23,272,272,100.0
2124,21,24,318,318,100.0
2125,21,25,267,267,100.0
2127,21,27,322,322,100.0
2129,21,29,354,354,100.0
2132,21,32,276,276,100.0
2133,21,33,123,123,100.0
2134,21,34,139,139,100.0
2135,21,35,354,354,100.0
2136,21,36,280,280,100.0
2137,21,37,226,226,100.0
2138,21,38,281,281,100.0
2139,21,39,255,255,100.0
2140,21,40,270,270,100.0
2141,21,41,306,306,100.0
2142,21,42,324,324,100.0
2144,21,44,207,207,100.0
2145,21,45,272,272,100.0
2146,21,46,334,334,100.0
2148,21,48,194,194,100.0
2149,21,49,339,339,100.0
2150,21,50,241,241,100.0
2152,21,52,23,23,100.0
3401,34,1,353,353,100.0
3402,34,2,254,254,100.0
3403,34,3,318,318,100.0
3404,34,4,237,237,100.0
3405,34,5,284,284,100.0
3406,34,6,367,367,100.0
3407,34,7,368,368,100.0
3408,34,8,265,265,100.0
3409,34,9,187,187,100.0
3410,34,10,303,303,100.0
3411,34,11,280,280,100.0
3412,34,12,351,351,100.0
3413,34,13,312,312,100.0
3414,34,14,228,228,100.0
3415,34,15,274,274,100.0
3416,34,16,266,266,100.0
3418,34,18,234,234,100.0
3419,34,19,239,239,100.0
3420,34,20,384,384,100.0
3421,34,21,382,382,100.0
3422,34,22,334,334,100.0
3423,34,23,256,256,100.0
3424,34,24,287,287,100.0
3425,34,25,468,468,100.0
3426,34,26,337,337,100.0
3427,34,27,263,263,100.0
3428,34,28,196,196,100.0
3429,34,29,232,232,100.0
3430,34,30,307,307,100.0
3431,34,31,249,249,100.0
3432,34,32,318,318,100.0
3433,34,33,256,256,100.0
3434,34,34,337,337,100.0
3435,34,35,348,348,100.0
3436,34,36,282,282,100.0
3437,34,37,187,187,100.0
3438,34,38,147,147,100.0
3439,34,39,219,219,100.0
3440,34,40,347,347,100.0
3441,34,41,189,189,100.0
3442,34,42,310,310,100.0
3443,34,43,289,289,100.0
3444,34,44,300,300,100.0
3445,34,45,308,308,100.0
3446,34,46,217,217,100.0
3447,34,47,304,304,100.0
3448,34,48,341,341,100.0
3449,34,49,103,103,100.0
3450,34,50,259,259,100.0
3451,34,51,340,340,100.0
3452,34,52,248,248,100.0
3453,34,53,198,198,100.0
