ward,precinct,total,Stephanie Saltouros,Stephanie Saltouros Percent
3003,30,3,141,141,100.0
3015,30,15,313,313,100.0
3020,30,20,73,73,100.0
3032,30,32,250,250,100.0
3219,32,19,344,344,100.0
3221,32,21,375,375,100.0
3225,32,25,375,375,100.0
3302,33,2,507,507,100.0
3307,33,7,471,471,100.0
3318,33,18,603,603,100.0
3509,35,9,301,301,100.0
3522,35,22,463,463,100.0
3523,35,23,154,154,100.0
3529,35,29,289,289,100.0
3530,35,30,335,335,100.0
3531,35,31,374,374,100.0
3801,38,1,295,295,100.0
3831,38,31,294,294,100.0
3832,38,32,284,284,100.0
3841,38,41,279,279,100.0
3901,39,1,314,314,100.0
3902,39,2,236,236,100.0
3903,39,3,366,366,100.0
3904,39,4,274,274,100.0
3905,39,5,323,323,100.0
3906,39,6,309,309,100.0
3907,39,7,300,300,100.0
3908,39,8,315,315,100.0
3909,39,9,297,297,100.0
3910,39,10,179,179,100.0
3911,39,11,280,280,100.0
3912,39,12,442,442,100.0
3913,39,13,229,229,100.0
3914,39,14,356,356,100.0
3915,39,15,311,311,100.0
3916,39,16,250,250,100.0
3917,39,17,340,340,100.0
3918,39,18,294,294,100.0
3919,39,19,326,326,100.0
3920,39,20,339,339,100.0
3921,39,21,283,283,100.0
3922,39,22,274,274,100.0
3923,39,23,301,301,100.0
3924,39,24,341,341,100.0
3925,39,25,307,307,100.0
3926,39,26,256,256,100.0
3927,39,27,57,57,100.0
3928,39,28,417,417,100.0
3929,39,29,189,189,100.0
3930,39,30,432,432,100.0
3931,39,31,279,279,100.0
3932,39,32,93,93,100.0
3933,39,33,363,363,100.0
3934,39,34,346,346,100.0
3935,39,35,332,332,100.0
3936,39,36,71,71,100.0
3937,39,37,302,302,100.0
3938,39,38,184,184,100.0
3939,39,39,209,209,100.0
3940,39,40,285,285,100.0
3941,39,41,314,314,100.0
3942,39,42,293,293,100.0
3943,39,43,314,314,100.0
3944,39,44,231,231,100.0
3945,39,45,277,277,100.0
4001,40,1,300,300,100.0
4002,40,2,324,324,100.0
4003,40,3,521,521,100.0
4004,40,4,205,205,100.0
4005,40,5,422,422,100.0
4006,40,6,533,533,100.0
4007,40,7,419,419,100.0
4010,40,10,247,247,100.0
4011,40,11,431,431,100.0
4012,40,12,358,358,100.0
4013,40,13,382,382,100.0
4014,40,14,298,298,100.0
4015,40,15,333,333,100.0
4016,40,16,571,571,100.0
4017,40,17,315,315,100.0
4018,40,18,65,65,100.0
4019,40,19,438,438,100.0
4020,40,20,391,391,100.0
4021,40,21,316,316,100.0
4024,40,24,323,323,100.0
4025,40,25,521,521,100.0
4029,40,29,353,353,100.0
4030,40,30,307,307,100.0
4034,40,34,325,325,100.0
4038,40,38,276,276,100.0
4039,40,39,148,148,100.0
4101,41,1,235,235,100.0
4102,41,2,253,253,100.0
4103,41,3,281,281,100.0
4104,41,4,299,299,100.0
4105,41,5,340,340,100.0
4106,41,6,181,181,100.0
4107,41,7,287,287,100.0
4108,41,8,255,255,100.0
4110,41,10,311,311,100.0
4111,41,11,311,311,100.0
4112,41,12,305,305,100.0
4113,41,13,316,316,100.0
4114,41,14,204,204,100.0
4115,41,15,364,364,100.0
4116,41,16,249,249,100.0
4117,41,17,289,289,100.0
4118,41,18,237,237,100.0
4120,41,20,200,200,100.0
4121,41,21,303,303,100.0
4122,41,22,295,295,100.0
4123,41,23,241,241,100.0
4124,41,24,221,221,100.0
4126,41,26,282,282,100.0
4130,41,30,288,288,100.0
4131,41,31,301,301,100.0
4132,41,32,238,238,100.0
4133,41,33,239,239,100.0
4134,41,34,235,235,100.0
4135,41,35,329,329,100.0
4136,41,36,282,282,100.0
4137,41,37,321,321,100.0
4138,41,38,266,266,100.0
4139,41,39,306,306,100.0
4140,41,40,267,267,100.0
4141,41,41,281,281,100.0
4142,41,42,249,249,100.0
4143,41,43,298,298,100.0
4144,41,44,254,254,100.0
4145,41,45,261,261,100.0
4146,41,46,308,308,100.0
4147,41,47,165,165,100.0
4501,45,1,298,298,100.0
4502,45,2,366,366,100.0
4503,45,3,334,334,100.0
4504,45,4,356,356,100.0
4505,45,5,64,64,100.0
4507,45,7,398,398,100.0
4508,45,8,342,342,100.0
4509,45,9,130,130,100.0
4510,45,10,204,204,100.0
4511,45,11,239,239,100.0
4512,45,12,310,310,100.0
4513,45,13,288,288,100.0
4514,45,14,414,414,100.0
4515,45,15,444,444,100.0
4516,45,16,283,283,100.0
4517,45,17,402,402,100.0
4518,45,18,330,330,100.0
4519,45,19,165,165,100.0
4520,45,20,247,247,100.0
4521,45,21,259,259,100.0
4522,45,22,280,280,100.0
4523,45,23,257,257,100.0
4524,45,24,217,217,100.0
4525,45,25,191,191,100.0
4526,45,26,144,144,100.0
4527,45,27,267,267,100.0
4528,45,28,249,249,100.0
4529,45,29,204,204,100.0
4530,45,30,300,300,100.0
4531,45,31,262,262,100.0
4532,45,32,273,273,100.0
4533,45,33,240,240,100.0
4534,45,34,326,326,100.0
4535,45,35,319,319,100.0
4536,45,36,313,313,100.0
4537,45,37,299,299,100.0
4538,45,38,276,276,100.0
4539,45,39,279,279,100.0
4540,45,40,281,281,100.0
4541,45,41,252,252,100.0
4542,45,42,256,256,100.0
4543,45,43,282,282,100.0
4544,45,44,278,278,100.0
4545,45,45,179,179,100.0
4546,45,46,196,196,100.0
4547,45,47,198,198,100.0
4548,45,48,219,219,100.0
4701,47,1,329,329,100.0
4702,47,2,430,430,100.0
4703,47,3,417,417,100.0
4704,47,4,473,473,100.0
4705,47,5,498,498,100.0
4706,47,6,569,569,100.0
4707,47,7,415,415,100.0
4708,47,8,453,453,100.0
4709,47,9,56,56,100.0
4710,47,10,624,624,100.0
4712,47,12,502,502,100.0
4713,47,13,352,352,100.0
4714,47,14,422,422,100.0
4716,47,16,454,454,100.0
4717,47,17,460,460,100.0
4720,47,20,468,468,100.0
4721,47,21,446,446,100.0
4722,47,22,471,471,100.0
4725,47,25,552,552,100.0
4726,47,26,647,647,100.0
4727,47,27,431,431,100.0
4728,47,28,432,432,100.0
4729,47,29,531,531,100.0
4730,47,30,583,583,100.0
4731,47,31,472,472,100.0
4732,47,32,610,610,100.0
4733,47,33,286,286,100.0
4734,47,34,489,489,100.0
4735,47,35,454,454,100.0
4736,47,36,573,573,100.0
4737,47,37,465,465,100.0
4738,47,38,459,459,100.0
4739,47,39,478,478,100.0
4740,47,40,238,238,100.0
4742,47,42,254,254,100.0
4743,47,43,429,429,100.0
4745,47,45,467,467,100.0
4746,47,46,436,436,100.0
4747,47,47,523,523,100.0
4748,47,48,27,27,100.0
5023,50,23,172,172,100.0
5024,50,24,23,23,100.0
5026,50,26,4,4,100.0
5030,50,30,30,30,100.0
5031,50,31,47,47,100.0
