ward,precinct,total,Colleen Reardon Daly,Colleen Reardon Daly Percent
3003,30,3,141,141,100.0
3015,30,15,315,315,100.0
3020,30,20,71,71,100.0
3032,30,32,252,252,100.0
3219,32,19,345,345,100.0
3221,32,21,384,384,100.0
3225,32,25,374,374,100.0
3302,33,2,504,504,100.0
3307,33,7,480,480,100.0
3318,33,18,600,600,100.0
3509,35,9,307,307,100.0
3522,35,22,465,465,100.0
3523,35,23,155,155,100.0
3529,35,29,284,284,100.0
3530,35,30,331,331,100.0
3531,35,31,375,375,100.0
3801,38,1,288,288,100.0
3831,38,31,306,306,100.0
3832,38,32,285,285,100.0
3841,38,41,284,284,100.0
3901,39,1,349,349,100.0
3902,39,2,248,248,100.0
3903,39,3,363,363,100.0
3904,39,4,327,327,100.0
3905,39,5,325,325,100.0
3906,39,6,318,318,100.0
3907,39,7,312,312,100.0
3908,39,8,315,315,100.0
3909,39,9,302,302,100.0
3910,39,10,179,179,100.0
3911,39,11,284,284,100.0
3912,39,12,449,449,100.0
3913,39,13,226,226,100.0
3914,39,14,354,354,100.0
3915,39,15,358,358,100.0
3916,39,16,243,243,100.0
3917,39,17,353,353,100.0
3918,39,18,296,296,100.0
3919,39,19,332,332,100.0
3920,39,20,357,357,100.0
3921,39,21,293,293,100.0
3922,39,22,268,268,100.0
3923,39,23,323,323,100.0
3924,39,24,366,366,100.0
3925,39,25,310,310,100.0
3926,39,26,274,274,100.0
3927,39,27,60,60,100.0
3928,39,28,417,417,100.0
3929,39,29,190,190,100.0
3930,39,30,427,427,100.0
3931,39,31,276,276,100.0
3932,39,32,94,94,100.0
3933,39,33,365,365,100.0
3934,39,34,348,348,100.0
3935,39,35,330,330,100.0
3936,39,36,75,75,100.0
3937,39,37,348,348,100.0
3938,39,38,193,193,100.0
3939,39,39,220,220,100.0
3940,39,40,311,311,100.0
3941,39,41,339,339,100.0
3942,39,42,360,360,100.0
3943,39,43,332,332,100.0
3944,39,44,250,250,100.0
3945,39,45,308,308,100.0
4001,40,1,290,290,100.0
4002,40,2,324,324,100.0
4003,40,3,519,519,100.0
4004,40,4,199,199,100.0
4005,40,5,426,426,100.0
4006,40,6,531,531,100.0
4007,40,7,424,424,100.0
4010,40,10,248,248,100.0
4011,40,11,427,427,100.0
4012,40,12,359,359,100.0
4013,40,13,385,385,100.0
4014,40,14,293,293,100.0
4015,40,15,329,329,100.0
4016,40,16,565,565,100.0
4017,40,17,317,317,100.0
4018,40,18,66,66,100.0
4019,40,19,434,434,100.0
4020,40,20,388,388,100.0
4021,40,21,318,318,100.0
4024,40,24,319,319,100.0
4025,40,25,517,517,100.0
4029,40,29,357,357,100.0
4030,40,30,299,299,100.0
4034,40,34,324,324,100.0
4038,40,38,278,278,100.0
4039,40,39,146,146,100.0
4101,41,1,264,264,100.0
4102,41,2,275,275,100.0
4103,41,3,301,301,100.0
4104,41,4,321,321,100.0
4105,41,5,368,368,100.0
4106,41,6,210,210,100.0
4107,41,7,318,318,100.0
4108,41,8,286,286,100.0
4110,41,10,343,343,100.0
4111,41,11,343,343,100.0
4112,41,12,304,304,100.0
4113,41,13,341,341,100.0
4114,41,14,240,240,100.0
4115,41,15,411,411,100.0
4116,41,16,272,272,100.0
4117,41,17,319,319,100.0
4118,41,18,264,264,100.0
4120,41,20,209,209,100.0
4121,41,21,337,337,100.0
4122,41,22,342,342,100.0
4123,41,23,261,261,100.0
4124,41,24,226,226,100.0
4126,41,26,307,307,100.0
4130,41,30,306,306,100.0
4131,41,31,336,336,100.0
4132,41,32,258,258,100.0
4133,41,33,261,261,100.0
4134,41,34,265,265,100.0
4135,41,35,371,371,100.0
4136,41,36,295,295,100.0
4137,41,37,370,370,100.0
4138,41,38,283,283,100.0
