ward,precinct,total,Yes,Yes Percent,No,No Percent
0101,1,1,547,354,64.72,193,35.28
0102,1,2,432,272,62.96,160,37.04
0103,1,3,588,398,67.69,190,32.31
0104,1,4,561,383,68.27,178,31.73
0105,1,5,605,413,68.26,192,31.74
0106,1,6,518,334,64.48,184,35.52
0107,1,7,380,237,62.37,143,37.63
0108,1,8,426,291,68.31,135,31.69
0109,1,9,365,241,66.03,124,33.97
0110,1,10,700,467,66.71,233,33.29
0111,1,11,644,439,68.17,205,31.83
0112,1,12,617,424,68.72,193,31.28
0113,1,13,239,148,61.92,91,38.08
0114,1,14,496,349,70.36,147,29.64
0115,1,15,459,294,64.05,165,35.95
0116,1,16,618,412,66.67,206,33.33
0117,1,17,440,278,63.18,162,36.82
0118,1,18,492,327,66.46,165,33.54
0119,1,19,536,363,67.72,173,32.28
0120,1,20,424,289,68.16,135,31.84
0121,1,21,719,498,69.26,221,30.74
0122,1,22,335,232,69.25,103,30.75
0123,1,23,750,495,66.0,255,34.0
0124,1,24,434,264,60.83,170,39.17
0125,1,25,522,363,69.54,159,30.46
0126,1,26,312,204,65.38,108,34.62
0127,1,27,536,344,64.18,192,35.82
0128,1,28,101,52,51.49,49,48.51
0129,1,29,643,427,66.41,216,33.59
0130,1,30,547,368,67.28,179,32.72
0131,1,31,482,284,58.92,198,41.08
0132,1,32,505,332,65.74,173,34.26
0133,1,33,609,418,68.64,191,31.36
0134,1,34,419,284,67.78,135,32.22
0135,1,35,649,447,68.88,202,31.12
0136,1,36,552,370,67.03,182,32.97
0137,1,37,538,372,69.14,166,30.86
0138,1,38,501,337,67.27,164,32.73
0139,1,39,467,312,66.81,155,33.19
0140,1,40,499,323,64.73,176,35.27
0141,1,41,303,182,60.07,121,39.93
0142,1,42,175,122,69.71,53,30.29
0143,1,43,325,218,67.08,107,32.92
0144,1,44,480,321,66.88,159,33.13
0201,2,1,601,375,62.4,226,37.6
0202,2,2,431,268,62.18,163,37.82
0203,2,3,611,414,67.76,197,32.24
0204,2,4,484,334,69.01,150,30.99
0205,2,5,656,440,67.07,216,32.93
0206,2,6,536,337,62.87,199,37.13
0207,2,7,501,325,64.87,176,35.13
0208,2,8,622,396,63.67,226,36.33
0209,2,9,499,302,60.52,197,39.48
0210,2,10,435,251,57.7,184,42.3
0211,2,11,577,354,61.35,223,38.65
0212,2,12,469,265,56.5,204,43.5
0213,2,13,449,288,64.14,161,35.86
0214,2,14,576,386,67.01,190,32.99
0215,2,15,524,340,64.89,184,35.11
0216,2,16,485,314,64.74,171,35.26
0217,2,17,637,424,66.56,213,33.44
0218,2,18,512,325,63.48,187,36.52
0219,2,19,386,227,58.81,159,41.19
0220,2,20,619,383,61.87,236,38.13
0221,2,21,545,387,71.01,158,28.99
0222,2,22,563,351,62.34,212,37.66
0223,2,23,376,238,63.3,138,36.7
0224,2,24,478,283,59.21,195,40.79
0225,2,25,589,409,69.44,180,30.56
0226,2,26,480,274,57.08,206,42.92
0227,2,27,483,273,56.52,210,43.48
0228,2,28,606,383,63.2,223,36.8
0229,2,29,608,391,64.31,217,35.69
0230,2,30,450,272,60.44,178,39.56
0231,2,31,625,414,66.24,211,33.76
0232,2,32,437,264,60.41,173,39.59
0233,2,33,799,480,60.08,319,39.92
0234,2,34,425,278,65.41,147,34.59
0235,2,35,716,425,59.36,291,40.64
0236,2,36,581,347,59.72,234,40.28
0237,2,37,470,305,64.89,165,35.11
0238,2,38,489,282,57.67,207,42.33
0239,2,39,340,204,60.0,136,40.0
0240,2,40,719,413,57.44,306,42.56
0241,2,41,551,342,62.07,209,37.93
0242,2,42,587,330,56.22,257,43.78
0243,2,43,713,431,60.45,282,39.55
0244,2,44,332,190,57.23,142,42.77
0245,2,45,605,356,58.84,249,41.16
0246,2,46,306,183,59.8,123,40.2
0301,3,1,577,236,40.9,341,59.1
0302,3,2,529,283,53.5,246,46.5
0303,3,3,354,175,49.44,179,50.56
0304,3,4,512,229,44.73,283,55.27
0305,3,5,268,97,36.19,171,63.81
0306,3,6,680,441,64.85,239,35.15
0307,3,7,268,138,51.49,130,48.51
0308,3,8,357,133,37.25,224,62.75
0309,3,9,454,190,41.85,264,58.15
0310,3,10,172,71,41.28,101,58.72
0311,3,11,454,178,39.21,276,60.79
0312,3,12,462,205,44.37,257,55.63
0313,3,13,597,390,65.33,207,34.67
0314,3,14,547,345,63.07,202,36.93
0315,3,15,340,138,40.59,202,59.41
0316,3,16,363,141,38.84,222,61.16
0317,3,17,699,409,58.51,290,41.49
0318,3,18,664,310,46.69,354,53.31
0319,3,19,596,391,65.6,205,34.4
0320,3,20,494,213,43.12,281,56.88
0321,3,21,552,351,63.59,201,36.41
0322,3,22,695,438,63.02,257,36.98
0323,3,23,391,163,41.69,228,58.31
