ward,precinct,total,John J. Cullerton,John J. Cullerton Percent
0128,1,28,116,116,100.0
0142,1,42,52,52,100.0
0220,2,20,59,59,100.0
0222,2,22,497,497,100.0
0224,2,24,430,430,100.0
0226,2,26,417,417,100.0
0228,2,28,525,525,100.0
0230,2,30,386,386,100.0
0231,2,31,515,515,100.0
0233,2,33,651,651,100.0
0235,2,35,602,602,100.0
0237,2,37,438,438,100.0
0238,2,38,133,133,100.0
0244,2,44,290,290,100.0
2709,27,9,0,0,0.0
2712,27,12,284,284,100.0
2746,27,46,303,303,100.0
3201,32,1,396,396,100.0
3205,32,5,29,29,100.0
3207,32,7,532,532,100.0
3208,32,8,607,607,100.0
3209,32,9,460,460,100.0
3210,32,10,496,496,100.0
3213,32,13,514,514,100.0
3215,32,15,484,484,100.0
3216,32,16,505,505,100.0
3218,32,18,438,438,100.0
3219,32,19,515,515,100.0
3221,32,21,528,528,100.0
3223,32,23,537,537,100.0
3224,32,24,360,360,100.0
3225,32,25,515,515,100.0
3227,32,27,463,463,100.0
3229,32,29,131,131,100.0
3230,32,30,498,498,100.0
3233,32,33,241,241,100.0
3234,32,34,67,67,100.0
3236,32,36,14,14,100.0
3237,32,37,284,284,100.0
3238,32,38,458,458,100.0
3239,32,39,527,527,100.0
3240,32,40,551,551,100.0
3241,32,41,523,523,100.0
3242,32,42,453,453,100.0
3303,33,3,107,107,100.0
3305,33,5,97,97,100.0
3308,33,8,631,631,100.0
3310,33,10,457,457,100.0
3320,33,20,61,61,100.0
3323,33,23,540,540,100.0
3324,33,24,627,627,100.0
4302,43,2,549,549,100.0
4304,43,4,562,562,100.0
4306,43,6,403,403,100.0
4308,43,8,366,366,100.0
4309,43,9,501,501,100.0
4312,43,12,362,362,100.0
4313,43,13,493,493,100.0
4314,43,14,479,479,100.0
4315,43,15,488,488,100.0
4316,43,16,594,594,100.0
4317,43,17,379,379,100.0
4318,43,18,576,576,100.0
4319,43,19,563,563,100.0
4320,43,20,563,563,100.0
4321,43,21,539,539,100.0
4322,43,22,361,361,100.0
4324,43,24,372,372,100.0
4325,43,25,390,390,100.0
4326,43,26,329,329,100.0
4327,43,27,465,465,100.0
4328,43,28,633,633,100.0
4329,43,29,477,477,100.0
4330,43,30,548,548,100.0
4331,43,31,487,487,100.0
4332,43,32,518,518,100.0
4333,43,33,463,463,100.0
4334,43,34,361,361,100.0
4336,43,36,294,294,100.0
4337,43,37,575,575,100.0
4338,43,38,347,347,100.0
4339,43,39,485,485,100.0
4340,43,40,370,370,100.0
4341,43,41,641,641,100.0
4342,43,42,497,497,100.0
4343,43,43,427,427,100.0
4344,43,44,471,471,100.0
4346,43,46,297,297,100.0
4401,44,1,853,853,100.0
4402,44,2,538,538,100.0
4403,44,3,321,321,100.0
4404,44,4,466,466,100.0
4405,44,5,657,657,100.0
4406,44,6,701,701,100.0
4407,44,7,348,348,100.0
4408,44,8,779,779,100.0
4409,44,9,551,551,100.0
4410,44,10,556,556,100.0
4411,44,11,588,588,100.0
4412,44,12,580,580,100.0
4413,44,13,453,453,100.0
4414,44,14,512,512,100.0
4415,44,15,491,491,100.0
4416,44,16,617,617,100.0
4417,44,17,749,749,100.0
4418,44,18,609,609,100.0
4419,44,19,674,674,100.0
4420,44,20,611,611,100.0
4421,44,21,720,720,100.0
4422,44,22,575,575,100.0
4423,44,23,563,563,100.0
4424,44,24,394,394,100.0
4425,44,25,557,557,100.0
4426,44,26,684,684,100.0
4427,44,27,662,662,100.0
4428,44,28,541,541,100.0
4429,44,29,577,577,100.0
4430,44,30,678,678,100.0
4431,44,31,478,478,100.0
4432,44,32,610,610,100.0
4433,44,33,628,628,100.0
4434,44,34,612,612,100.0
4435,44,35,648,648,100.0
4436,44,36,597,597,100.0
4437,44,37,627,627,100.0
4438,44,38,548,548,100.0
4439,44,39,585,585,100.0
4440,44,40,493,493,100.0
4441,44,41,716,716,100.0
4603,46,3,619,619,100.0
4605,46,5,690,690,100.0
4607,46,7,531,531,100.0
4609,46,9,583,583,100.0
4610,46,10,852,852,100.0
4611,46,11,484,484,100.0
4613,46,13,502,502,100.0
4615,46,15,515,515,100.0
4617,46,17,584,584,100.0
4618,46,18,578,578,100.0
4619,46,19,370,370,100.0
4624,46,24,616,616,100.0
4626,46,26,262,262,100.0
4627,46,27,672,672,100.0
4628,46,28,483,483,100.0
4629,46,29,381,381,100.0
4630,46,30,554,554,100.0
4631,46,31,545,545,100.0
4633,46,33,629,629,100.0
4634,46,34,610,610,100.0
4635,46,35,580,580,100.0
4636,46,36,494,494,100.0
4638,46,38,568,568,100.0
4639,46,39,509,509,100.0
4701,47,1,355,355,100.0
4702,47,2,518,518,100.0
4703,47,3,477,477,100.0
4704,47,4,564,564,100.0
4705,47,5,110,110,100.0
4706,47,6,652,652,100.0
4707,47,7,472,472,100.0
4708,47,8,501,501,100.0
4709,47,9,500,500,100.0
4711,47,11,513,513,100.0
4712,47,12,565,565,100.0
4713,47,13,523,523,100.0
4714,47,14,464,464,100.0
4716,47,16,521,521,100.0
4717,47,17,519,519,100.0
4718,47,18,490,490,100.0
4721,47,21,514,514,100.0
4724,47,24,548,548,100.0
4725,47,25,629,629,100.0
4727,47,27,500,500,100.0
4728,47,28,37,37,100.0
4729,47,29,587,587,100.0
4733,47,33,502,502,100.0
4735,47,35,511,511,100.0
4739,47,39,523,523,100.0
4740,47,40,528,528,100.0
4741,47,41,85,85,100.0
4743,47,43,484,484,100.0
4744,47,44,496,496,100.0
4746,47,46,492,492,100.0
4747,47,47,608,608,100.0
4748,47,48,41,41,100.0
