ward,precinct,total,Martin A. Sandoval,Martin A. Sandoval Percent
1202,12,2,290,290,100.0
1206,12,6,324,324,100.0
1207,12,7,314,314,100.0
1210,12,10,345,345,100.0
1211,12,11,342,342,100.0
1212,12,12,337,337,100.0
1213,12,13,69,69,100.0
1214,12,14,311,311,100.0
1215,12,15,255,255,100.0
1216,12,16,302,302,100.0
1217,12,17,200,200,100.0
1218,12,18,287,287,100.0
1220,12,20,389,389,100.0
1222,12,22,280,280,100.0
1301,13,1,238,238,100.0
1302,13,2,233,233,100.0
1303,13,3,250,250,100.0
1304,13,4,270,270,100.0
1305,13,5,344,344,100.0
1306,13,6,261,261,100.0
1307,13,7,221,221,100.0
1308,13,8,230,230,100.0
1309,13,9,308,308,100.0
1310,13,10,243,243,100.0
1311,13,11,305,305,100.0
1312,13,12,258,258,100.0
1313,13,13,274,274,100.0
1314,13,14,294,294,100.0
1315,13,15,413,413,100.0
1316,13,16,209,209,100.0
1317,13,17,234,234,100.0
1318,13,18,205,205,100.0
1319,13,19,331,331,100.0
1320,13,20,151,151,100.0
1321,13,21,291,291,100.0
1322,13,22,304,304,100.0
1323,13,23,212,212,100.0
1324,13,24,286,286,100.0
1325,13,25,300,300,100.0
1326,13,26,280,280,100.0
1327,13,27,266,266,100.0
1328,13,28,232,232,100.0
1329,13,29,219,219,100.0
1330,13,30,244,244,100.0
1331,13,31,297,297,100.0
1332,13,32,223,223,100.0
1333,13,33,269,269,100.0
1334,13,34,329,329,100.0
1335,13,35,263,263,100.0
1336,13,36,190,190,100.0
1337,13,37,315,315,100.0
1338,13,38,227,227,100.0
1339,13,39,300,300,100.0
1340,13,40,286,286,100.0
1341,13,41,330,330,100.0
1342,13,42,245,245,100.0
1343,13,43,281,281,100.0
1344,13,44,279,279,100.0
1345,13,45,297,297,100.0
1346,13,46,353,353,100.0
1347,13,47,329,329,100.0
1348,13,48,223,223,100.0
1401,14,1,34,34,100.0
1403,14,3,323,323,100.0
1406,14,6,25,25,100.0
1410,14,10,0,0,0.0
1411,14,11,193,193,100.0
1415,14,15,350,350,100.0
1418,14,18,93,93,100.0
1422,14,22,284,284,100.0
1423,14,23,68,68,100.0
1506,15,6,286,286,100.0
1509,15,9,36,36,100.0
1510,15,10,224,224,100.0
1511,15,11,147,147,100.0
1512,15,12,39,39,100.0
1815,18,15,343,343,100.0
1843,18,43,225,225,100.0
1846,18,46,207,207,100.0
2204,22,4,99,99,100.0
2205,22,5,4,4,100.0
2207,22,7,52,52,100.0
2210,22,10,388,388,100.0
2213,22,13,177,177,100.0
2214,22,14,216,216,100.0
2215,22,15,204,204,100.0
2216,22,16,255,255,100.0
2217,22,17,48,48,100.0
2218,22,18,150,150,100.0
2219,22,19,2,2,100.0
2222,22,22,272,272,100.0
2301,23,1,261,261,100.0
2302,23,2,280,280,100.0
2304,23,4,322,322,100.0
2305,23,5,321,321,100.0
2306,23,6,225,225,100.0
2307,23,7,251,251,100.0
2308,23,8,353,353,100.0
2309,23,9,268,268,100.0
2310,23,10,353,353,100.0
2311,23,11,324,324,100.0
2312,23,12,256,256,100.0
2313,23,13,285,285,100.0
2314,23,14,37,37,100.0
2315,23,15,280,280,100.0
2316,23,16,274,274,100.0
2317,23,17,76,76,100.0
2318,23,18,224,224,100.0
2320,23,20,158,158,100.0
2321,23,21,263,263,100.0
2322,23,22,206,206,100.0
2323,23,23,258,258,100.0
2324,23,24,102,102,100.0
2325,23,25,18,18,100.0
2326,23,26,186,186,100.0
2327,23,27,219,219,100.0
2328,23,28,285,285,100.0
2329,23,29,248,248,100.0
2330,23,30,341,341,100.0
2332,23,32,298,298,100.0
2333,23,33,323,323,100.0
2334,23,34,297,297,100.0
2335,23,35,180,180,100.0
2336,23,36,269,269,100.0
2337,23,37,173,173,100.0
2338,23,38,254,254,100.0
2339,23,39,335,335,100.0
2416,24,16,358,358,100.0
