ward,precinct,total,Michael P. McAuliffe,Michael P. McAuliffe Percent
3802,38,2,391,391,100.0
3807,38,7,87,87,100.0
3812,38,12,323,323,100.0
3817,38,17,47,47,100.0
3820,38,20,317,317,100.0
3824,38,24,1,1,100.0
3828,38,28,371,371,100.0
4101,41,1,331,331,100.0
4102,41,2,368,368,100.0
4103,41,3,186,186,100.0
4104,41,4,366,366,100.0
4105,41,5,392,392,100.0
4107,41,7,415,415,100.0
4108,41,8,374,374,100.0
4110,41,10,401,401,100.0
4111,41,11,396,396,100.0
4113,41,13,414,414,100.0
4115,41,15,449,449,100.0
4116,41,16,326,326,100.0
4117,41,17,342,342,100.0
4118,41,18,335,335,100.0
4120,41,20,265,265,100.0
4121,41,21,355,355,100.0
4122,41,22,410,410,100.0
4123,41,23,377,377,100.0
4125,41,25,212,212,100.0
4126,41,26,343,343,100.0
4127,41,27,275,275,100.0
4131,41,31,413,413,100.0
4133,41,33,346,346,100.0
4134,41,34,322,322,100.0
4135,41,35,439,439,100.0
4136,41,36,345,345,100.0
4137,41,37,400,400,100.0
4140,41,40,408,408,100.0
4141,41,41,382,382,100.0
4142,41,42,335,335,100.0
4143,41,43,375,375,100.0
4144,41,44,402,402,100.0
4145,41,45,335,335,100.0
4146,41,46,387,387,100.0
