ward,precinct,total,Christian L. Mitchell,Christian L. Mitchell Percent
0202,2,2,342,342,100.0
0210,2,10,337,337,100.0
0211,2,11,483,483,100.0
0213,2,13,395,395,100.0
0218,2,18,453,453,100.0
0219,2,19,311,311,100.0
0223,2,23,286,286,100.0
0227,2,27,295,295,100.0
0229,2,29,343,343,100.0
0234,2,34,347,347,100.0
0242,2,42,248,248,100.0
0302,3,2,17,17,100.0
0304,3,4,508,508,100.0
0311,3,11,215,215,100.0
0312,3,12,180,180,100.0
0319,3,19,514,514,100.0
0321,3,21,154,154,100.0
0327,3,27,366,366,100.0
0330,3,30,391,391,100.0
0331,3,31,276,276,100.0
0403,4,3,382,382,100.0
0404,4,4,634,634,100.0
0406,4,6,145,145,100.0
0407,4,7,560,560,100.0
0408,4,8,494,494,100.0
0411,4,11,370,370,100.0
0412,4,12,548,548,100.0
0415,4,15,112,112,100.0
0418,4,18,454,454,100.0
0419,4,19,366,366,100.0
0423,4,23,68,68,100.0
0424,4,24,452,452,100.0
0426,4,26,450,450,100.0
0428,4,28,408,408,100.0
0429,4,29,415,415,100.0
0430,4,30,637,637,100.0
0432,4,32,543,543,100.0
0433,4,33,481,481,100.0
0434,4,34,93,93,100.0
0435,4,35,569,569,100.0
0436,4,36,310,310,100.0
0438,4,38,361,361,100.0
0504,5,4,633,633,100.0
0505,5,5,393,393,100.0
0506,5,6,345,345,100.0
0510,5,10,340,340,100.0
0513,5,13,362,362,100.0
0514,5,14,110,110,100.0
0515,5,15,427,427,100.0
0516,5,16,415,415,100.0
0517,5,17,208,208,100.0
0521,5,21,259,259,100.0
0528,5,28,226,226,100.0
0530,5,30,138,138,100.0
0536,5,36,245,245,100.0
0701,7,1,300,300,100.0
0702,7,2,326,326,100.0
0703,7,3,363,363,100.0
0704,7,4,351,351,100.0
0710,7,10,397,397,100.0
0711,7,11,38,38,100.0
0715,7,15,333,333,100.0
0716,7,16,6,6,100.0
0717,7,17,0,0,0.0
0719,7,19,324,324,100.0
0720,7,20,248,248,100.0
0721,7,21,25,25,100.0
0723,7,23,332,332,100.0
0724,7,24,284,284,100.0
0725,7,25,252,252,100.0
0728,7,28,10,10,100.0
0730,7,30,41,41,100.0
0731,7,31,217,217,100.0
0733,7,33,22,22,100.0
0801,8,1,28,28,100.0
0802,8,2,224,224,100.0
0821,8,21,41,41,100.0
0842,8,42,447,447,100.0
1018,10,18,204,204,100.0
1027,10,27,292,292,100.0
1034,10,34,174,174,100.0
1036,10,36,0,0,0.0
2005,20,5,390,390,100.0
2009,20,9,502,502,100.0
2016,20,16,400,400,100.0
2022,20,22,433,433,100.0
2024,20,24,136,136,100.0
4201,42,1,400,400,100.0
4202,42,2,551,551,100.0
4204,42,4,957,957,100.0
4206,42,6,439,439,100.0
4207,42,7,588,588,100.0
4208,42,8,415,415,100.0
4211,42,11,290,290,100.0
4213,42,13,386,386,100.0
4219,42,19,214,214,100.0
4224,42,24,472,472,100.0
4226,42,26,656,656,100.0
4228,42,28,522,522,100.0
4229,42,29,509,509,100.0
4230,42,30,378,378,100.0
4231,42,31,553,553,100.0
4234,42,34,386,386,100.0
4235,42,35,649,649,100.0
4240,42,40,564,564,100.0
4335,43,35,509,509,100.0
