ward,precinct,total,Justin Q. Slaughter,Justin Q. Slaughter Percent
0902,9,2,51,51,100.0
0910,9,10,265,265,100.0
0917,9,17,84,84,100.0
0920,9,20,329,329,100.0
0921,9,21,277,277,100.0
0927,9,27,291,291,100.0
0930,9,30,259,259,100.0
1914,19,14,416,416,100.0
1920,19,20,315,315,100.0
1931,19,31,294,294,100.0
1940,19,40,358,358,100.0
1942,19,42,306,306,100.0
1943,19,43,513,513,100.0
1947,19,47,527,527,100.0
1948,19,48,417,417,100.0
1949,19,49,453,453,100.0
2102,21,2,88,88,100.0
2105,21,5,364,364,100.0
2106,21,6,283,283,100.0
2110,21,10,299,299,100.0
2111,21,11,307,307,100.0
2112,21,12,305,305,100.0
2117,21,17,253,253,100.0
2119,21,19,352,352,100.0
2120,21,20,67,67,100.0
2121,21,21,274,274,100.0
2122,21,22,218,218,100.0
2123,21,23,291,291,100.0
2124,21,24,338,338,100.0
2125,21,25,283,283,100.0
2127,21,27,327,327,100.0
2133,21,33,279,279,100.0
2134,21,34,150,150,100.0
2135,21,35,388,388,100.0
2136,21,36,224,224,100.0
2137,21,37,251,251,100.0
2138,21,38,310,310,100.0
2139,21,39,279,279,100.0
2140,21,40,302,302,100.0
2141,21,41,339,339,100.0
2142,21,42,210,210,100.0
2143,21,43,7,7,100.0
2144,21,44,224,224,100.0
2145,21,45,304,304,100.0
2146,21,46,373,373,100.0
2148,21,48,191,191,100.0
2149,21,49,373,373,100.0
2150,21,50,259,259,100.0
2152,21,52,24,24,100.0
3401,34,1,360,360,100.0
3402,34,2,146,146,100.0
3405,34,5,290,290,100.0
3407,34,7,379,379,100.0
3408,34,8,269,269,100.0
3410,34,10,332,332,100.0
3412,34,12,356,356,100.0
3413,34,13,327,327,100.0
3415,34,15,262,262,100.0
3417,34,17,416,416,100.0
3419,34,19,353,353,100.0
3420,34,20,136,136,100.0
3421,34,21,402,402,100.0
3425,34,25,499,499,100.0
3429,34,29,257,257,100.0
3431,34,31,43,43,100.0
3432,34,32,326,326,100.0
3434,34,34,352,352,100.0
3435,34,35,379,379,100.0
3440,34,40,363,363,100.0
3443,34,43,313,313,100.0
3444,34,44,330,330,100.0
3445,34,45,345,345,100.0
3446,34,46,238,238,100.0
3447,34,47,322,322,100.0
3448,34,48,361,361,100.0
3449,34,49,271,271,100.0
3451,34,51,155,155,100.0
3452,34,52,265,265,100.0
