ward,precinct,total,Camille Lilly,Camille Lilly Percent
2901,29,1,470,470,100.0
2904,29,4,380,380,100.0
2905,29,5,294,294,100.0
2907,29,7,375,375,100.0
2909,29,9,400,400,100.0
2910,29,10,479,479,100.0
2912,29,12,442,442,100.0
2913,29,13,377,377,100.0
2915,29,15,413,413,100.0
2917,29,17,320,320,100.0
2923,29,23,372,372,100.0
2924,29,24,262,262,100.0
2925,29,25,429,429,100.0
2926,29,26,360,360,100.0
2927,29,27,322,322,100.0
2930,29,30,206,206,100.0
2933,29,33,265,265,100.0
2935,29,35,275,275,100.0
2936,29,36,51,51,100.0
2937,29,37,348,348,100.0
2940,29,40,402,402,100.0
2941,29,41,278,278,100.0
2943,29,43,448,448,100.0
2944,29,44,458,458,100.0
3718,37,18,268,268,100.0
3729,37,29,154,154,100.0
3735,37,35,330,330,100.0
3737,37,37,332,332,100.0
