ward,precinct,total,Stanley S. Moore,Stanley S. Moore Percent
0601,6,1,404,404,100.0
0602,6,2,380,380,100.0
0603,6,3,398,398,100.0
0608,6,8,357,357,100.0
0613,6,13,276,276,100.0
0614,6,14,331,331,100.0
0616,6,16,181,181,100.0
0619,6,19,51,51,100.0
0629,6,29,381,381,100.0
0631,6,31,373,373,100.0
0634,6,34,372,372,100.0
0635,6,35,336,336,100.0
0636,6,36,422,422,100.0
0637,6,37,376,376,100.0
0638,6,38,378,378,100.0
0641,6,41,363,363,100.0
0642,6,42,354,354,100.0
0643,6,43,137,137,100.0
0644,6,44,346,346,100.0
0645,6,45,373,373,100.0
0646,6,46,245,245,100.0
0701,7,1,324,324,100.0
0702,7,2,331,331,100.0
0703,7,3,372,372,100.0
0704,7,4,348,348,100.0
0705,7,5,284,284,100.0
0706,7,6,427,427,100.0
0707,7,7,331,331,100.0
0708,7,8,281,281,100.0
0709,7,9,598,598,100.0
0710,7,10,383,383,100.0
0711,7,11,366,366,100.0
0712,7,12,308,308,100.0
0713,7,13,213,213,100.0
0714,7,14,367,367,100.0
0715,7,15,329,329,100.0
0716,7,16,263,263,100.0
0717,7,17,281,281,100.0
0718,7,18,301,301,100.0
0719,7,19,326,326,100.0
0720,7,20,253,253,100.0
0721,7,21,254,254,100.0
0722,7,22,293,293,100.0
0723,7,23,343,343,100.0
0724,7,24,279,279,100.0
0725,7,25,270,270,100.0
0726,7,26,277,277,100.0
0727,7,27,270,270,100.0
0728,7,28,251,251,100.0
0729,7,29,281,281,100.0
0730,7,30,231,231,100.0
0731,7,31,227,227,100.0
0732,7,32,456,456,100.0
0733,7,33,448,448,100.0
0734,7,34,415,415,100.0
0735,7,35,373,373,100.0
0736,7,36,410,410,100.0
0737,7,37,363,363,100.0
0738,7,38,282,282,100.0
0739,7,39,314,314,100.0
0740,7,40,290,290,100.0
0741,7,41,345,345,100.0
0742,7,42,291,291,100.0
0743,7,43,344,344,100.0
0744,7,44,285,285,100.0
0745,7,45,311,311,100.0
0746,7,46,144,144,100.0
0803,8,3,391,391,100.0
0804,8,4,420,420,100.0
0805,8,5,400,400,100.0
0806,8,6,372,372,100.0
0807,8,7,411,411,100.0
0808,8,8,353,353,100.0
0809,8,9,132,132,100.0
0810,8,10,470,470,100.0
0811,8,11,296,296,100.0
0812,8,12,317,317,100.0
0815,8,15,319,319,100.0
0817,8,17,321,321,100.0
0819,8,19,390,390,100.0
0822,8,22,325,325,100.0
0823,8,23,305,305,100.0
0824,8,24,226,226,100.0
0825,8,25,354,354,100.0
0827,8,27,403,403,100.0
0828,8,28,88,88,100.0
0829,8,29,412,412,100.0
0830,8,30,370,370,100.0
0831,8,31,271,271,100.0
0832,8,32,297,297,100.0
0833,8,33,340,340,100.0
0834,8,34,344,344,100.0
0835,8,35,396,396,100.0
0836,8,36,392,392,100.0
0837,8,37,305,305,100.0
0838,8,38,232,232,100.0
0839,8,39,357,357,100.0
0840,8,40,275,275,100.0
0841,8,41,413,413,100.0
0844,8,44,243,243,100.0
0846,8,46,294,294,100.0
0847,8,47,286,286,100.0
0848,8,48,337,337,100.0
0849,8,49,345,345,100.0
0850,8,50,366,366,100.0
0851,8,51,387,387,100.0
