ward,precinct,total,James H. Taylor Sr.,James H. Taylor Sr. Percent,Brian Woodworth,Brian Woodworth Percent
0501,5,1,4,2,50.0,2,50.0
0504,5,4,1,0,0.0,1,100.0
0506,5,6,3,2,66.67,1,33.33
0507,5,7,1,1,100.0,0,0.0
0511,5,11,15,5,33.33,10,66.67
0514,5,14,3,1,33.33,2,66.67
0521,5,21,0,0,0.0,0,0.0
0524,5,24,2,0,0.0,2,100.0
0526,5,26,1,0,0.0,1,100.0
0528,5,28,1,0,0.0,1,100.0
0529,5,29,1,0,0.0,1,100.0
0531,5,31,0,0,0.0,0,0.0
0532,5,32,7,4,57.14,3,42.86
0534,5,34,2,2,100.0,0,0.0
0536,5,36,6,2,33.33,4,66.67
0537,5,37,9,5,55.56,4,44.44
0540,5,40,1,0,0.0,1,100.0
0543,5,43,2,1,50.0,1,50.0
0544,5,44,3,1,33.33,2,66.67
0546,5,46,8,3,37.5,5,62.5
0547,5,47,0,0,0.0,0,0.0
0701,7,1,5,2,40.0,3,60.0
0702,7,2,2,1,50.0,1,50.0
0703,7,3,1,0,0.0,1,100.0
0704,7,4,4,3,75.0,1,25.0
0705,7,5,0,0,0.0,0,0.0
0706,7,6,0,0,0.0,0,0.0
0707,7,7,1,1,100.0,0,0.0
0708,7,8,0,0,0.0,0,0.0
0709,7,9,4,2,50.0,2,50.0
0710,7,10,2,2,100.0,0,0.0
0711,7,11,1,0,0.0,1,100.0
0712,7,12,2,0,0.0,2,100.0
0713,7,13,0,0,0.0,0,0.0
0714,7,14,3,1,33.33,2,66.67
0715,7,15,0,0,0.0,0,0.0
0716,7,16,1,0,0.0,1,100.0
0717,7,17,0,0,0.0,0,0.0
0718,7,18,3,1,33.33,2,66.67
0719,7,19,3,2,66.67,1,33.33
0720,7,20,0,0,0.0,0,0.0
0721,7,21,1,1,100.0,0,0.0
0722,7,22,0,0,0.0,0,0.0
0723,7,23,4,2,50.0,2,50.0
0724,7,24,1,0,0.0,1,100.0
0725,7,25,4,4,100.0,0,0.0
0726,7,26,1,0,0.0,1,100.0
0727,7,27,1,1,100.0,0,0.0
0728,7,28,0,0,0.0,0,0.0
0729,7,29,0,0,0.0,0,0.0
0730,7,30,0,0,0.0,0,0.0
0731,7,31,1,1,100.0,0,0.0
0732,7,32,3,2,66.67,1,33.33
0733,7,33,0,0,0.0,0,0.0
0734,7,34,2,1,50.0,1,50.0
0735,7,35,3,0,0.0,3,100.0
0736,7,36,1,0,0.0,1,100.0
0737,7,37,2,1,50.0,1,50.0
0738,7,38,2,1,50.0,1,50.0
0739,7,39,2,2,100.0,0,0.0
0740,7,40,2,0,0.0,2,100.0
0741,7,41,2,2,100.0,0,0.0
0742,7,42,3,2,66.67,1,33.33
0743,7,43,0,0,0.0,0,0.0
0744,7,44,7,3,42.86,4,57.14
0745,7,45,8,3,37.5,5,62.5
0746,7,46,2,2,100.0,0,0.0
0747,7,47,0,0,0.0,0,0.0
0748,7,48,1,1,100.0,0,0.0
0749,7,49,3,1,33.33,2,66.67
0804,8,4,0,0,0.0,0,0.0
0807,8,7,1,0,0.0,1,100.0
0815,8,15,1,1,100.0,0,0.0
0821,8,21,2,1,50.0,1,50.0
0825,8,25,0,0,0.0,0,0.0
0827,8,27,2,1,50.0,1,50.0
0828,8,28,2,2,100.0,0,0.0
0832,8,32,3,3,100.0,0,0.0
0836,8,36,1,0,0.0,1,100.0
0839,8,39,1,1,100.0,0,0.0
0842,8,42,1,1,100.0,0,0.0
0844,8,44,2,1,50.0,1,50.0
0846,8,46,1,1,100.0,0,0.0
0857,8,57,1,1,100.0,0,0.0
0860,8,60,5,3,60.0,2,40.0
