ward,precinct,total,Diane S. Shapiro,Diane S. Shapiro Percent
4601,46,1,35,35,100.0
4602,46,2,12,12,100.0
4603,46,3,12,12,100.0
4604,46,4,6,6,100.0
4605,46,5,14,14,100.0
4606,46,6,13,13,100.0
4607,46,7,17,17,100.0
4608,46,8,22,22,100.0
4609,46,9,18,18,100.0
4610,46,10,10,10,100.0
4611,46,11,12,12,100.0
4612,46,12,8,8,100.0
4613,46,13,22,22,100.0
4614,46,14,6,6,100.0
4615,46,15,34,34,100.0
4616,46,16,12,12,100.0
4617,46,17,58,58,100.0
4618,46,18,40,40,100.0
4619,46,19,9,9,100.0
4620,46,20,16,16,100.0
4621,46,21,10,10,100.0
4622,46,22,16,16,100.0
4623,46,23,7,7,100.0
4624,46,24,14,14,100.0
4625,46,25,27,27,100.0
4626,46,26,9,9,100.0
4627,46,27,28,28,100.0
4628,46,28,40,40,100.0
4629,46,29,29,29,100.0
4630,46,30,28,28,100.0
4631,46,31,25,25,100.0
4632,46,32,12,12,100.0
4633,46,33,23,23,100.0
4634,46,34,14,14,100.0
4635,46,35,18,18,100.0
4636,46,36,26,26,100.0
4637,46,37,7,7,100.0
4638,46,38,11,11,100.0
4639,46,39,25,25,100.0
4640,46,40,13,13,100.0
4641,46,41,9,9,100.0
4642,46,42,7,7,100.0
4643,46,43,26,26,100.0
4644,46,44,12,12,100.0
4645,46,45,13,13,100.0
