ward,precinct,total,PROCO ''JOE'' MORENO,PROCO ''JOE'' MORENO Percent,DANIEL LA SPATA,DANIEL LA SPATA Percent
0101,1,1,321,135,42.06,186,57.94
0102,1,2,246,99,40.24,147,59.76
0103,1,3,298,107,35.91,191,64.09
0104,1,4,288,126,43.75,162,56.25
0105,1,5,275,104,37.82,171,62.18
0106,1,6,278,128,46.04,150,53.96
0107,1,7,230,73,31.74,157,68.26
0108,1,8,264,152,57.58,112,42.42
0109,1,9,274,124,45.26,150,54.74
0110,1,10,277,118,42.6,159,57.4
0111,1,11,309,104,33.66,205,66.34
0112,1,12,343,96,27.99,247,72.01
0113,1,13,155,57,36.77,98,63.23
0114,1,14,292,157,53.77,135,46.23
0115,1,15,248,94,37.9,154,62.1
0116,1,16,355,127,35.77,228,64.23
0117,1,17,276,72,26.09,204,73.91
0118,1,18,298,119,39.93,179,60.07
0119,1,19,326,103,31.6,223,68.4
0120,1,20,231,72,31.17,159,68.83
0121,1,21,305,113,37.05,192,62.95
0122,1,22,191,77,40.31,114,59.69
0123,1,23,406,109,26.85,297,73.15
0124,1,24,236,102,43.22,134,56.78
0125,1,25,259,80,30.89,179,69.11
0126,1,26,192,82,42.71,110,57.29
0127,1,27,294,118,40.14,176,59.86
0128,1,28,106,70,66.04,36,33.96
0129,1,29,388,148,38.14,240,61.86
0130,1,30,323,131,40.56,192,59.44
0131,1,31,303,162,53.47,141,46.53
0132,1,32,300,108,36.0,192,64.0
0133,1,33,340,128,37.65,212,62.35
0134,1,34,227,52,22.91,175,77.09
0135,1,35,376,136,36.17,240,63.83
0136,1,36,290,97,33.45,193,66.55
0137,1,37,284,117,41.2,167,58.8
0138,1,38,254,120,47.24,134,52.76
0139,1,39,242,107,44.21,135,55.79
0140,1,40,323,195,60.37,128,39.63
0141,1,41,211,56,26.54,155,73.46
0142,1,42,98,26,26.53,72,73.47
0143,1,43,177,70,39.55,107,60.45
0144,1,44,252,64,25.4,188,74.6
