id,ward,precinct,total,GREGORY I. MITCHELL,GREGORY I. MITCHELL Percent,CHARLES KYLE,CHARLES KYLE Percent,JEDIDIAH L. BROWN,JEDIDIAH L. BROWN Percent
0701,7,1,224,133,59.38,43,19.2,48,21.43
0702,7,2,182,108,59.34,35,19.23,39,21.43
0703,7,3,267,176,65.92,50,18.73,41,15.36
0704,7,4,247,141,57.09,83,33.6,23,9.31
0705,7,5,222,121,54.5,50,22.52,51,22.97
0706,7,6,312,173,55.45,61,19.55,78,25.0
0707,7,7,188,92,48.94,52,27.66,44,23.4
0708,7,8,213,126,59.15,57,26.76,30,14.08
0709,7,9,422,244,57.82,50,11.85,128,30.33
0710,7,10,252,136,53.97,53,21.03,63,25.0
0711,7,11,209,84,40.19,57,27.27,68,32.54
0712,7,12,209,118,56.46,41,19.62,50,23.92
0713,7,13,159,72,45.28,26,16.35,61,38.36
0714,7,14,240,136,56.67,46,19.17,58,24.17
0715,7,15,229,131,57.21,42,18.34,56,24.45
0716,7,16,157,71,45.22,32,20.38,54,34.39
0717,7,17,161,87,54.04,25,15.53,49,30.43
0718,7,18,195,129,66.15,38,19.49,28,14.36
0719,7,19,222,142,63.96,35,15.77,45,20.27
0720,7,20,146,84,57.53,27,18.49,35,23.97
0721,7,21,158,84,53.16,29,18.35,45,28.48
0722,7,22,197,108,54.82,20,10.15,69,35.03
0723,7,23,260,187,71.92,27,10.38,46,17.69
0724,7,24,192,134,69.79,23,11.98,35,18.23
0725,7,25,153,112,73.2,17,11.11,24,15.69
0726,7,26,190,144,75.79,16,8.42,30,15.79
0727,7,27,185,143,77.3,15,8.11,27,14.59
0728,7,28,162,114,70.37,21,12.96,27,16.67
0729,7,29,185,138,74.59,16,8.65,31,16.76
0730,7,30,146,102,69.86,18,12.33,26,17.81
0731,7,31,142,103,72.54,10,7.04,29,20.42
0732,7,32,369,313,84.82,13,3.52,43,11.65
0733,7,33,349,306,87.68,18,5.16,25,7.16
0734,7,34,310,250,80.65,15,4.84,45,14.52
0735,7,35,240,179,74.58,14,5.83,47,19.58
0736,7,36,296,246,83.11,13,4.39,37,12.5
0737,7,37,276,237,85.87,17,6.16,22,7.97
0738,7,38,207,149,71.98,8,3.86,50,24.15
0739,7,39,239,169,70.71,18,7.53,52,21.76
0740,7,40,224,180,80.36,5,2.23,39,17.41
0741,7,41,218,151,69.27,8,3.67,59,27.06
0742,7,42,207,141,68.12,18,8.7,48,23.19
0743,7,43,228,148,64.91,9,3.95,71,31.14
0744,7,44,175,127,72.57,3,1.71,45,25.71
0745,7,45,184,121,65.76,10,5.43,53,28.8
0746,7,46,130,94,72.31,10,7.69,26,20.0
