ward,precinct,total,PATRICK DALEY THOMPSON,PATRICK DALEY THOMPSON Percent,DAVID MIHALYFY,DAVID MIHALYFY Percent
1101,11,1,321,235,73.21,86,26.79
1102,11,2,13,6,46.15,7,53.85
1103,11,3,245,113,46.12,132,53.88
1104,11,4,247,179,72.47,68,27.53
1105,11,5,351,198,56.41,153,43.59
1106,11,6,378,238,62.96,140,37.04
1107,11,7,227,140,61.67,87,38.33
1108,11,8,288,196,68.06,92,31.94
1109,11,9,254,156,61.42,98,38.58
1110,11,10,302,228,75.5,74,24.5
1111,11,11,299,193,64.55,106,35.45
1112,11,12,507,439,86.59,68,13.41
1113,11,13,419,354,84.49,65,15.51
1114,11,14,192,145,75.52,47,24.48
1115,11,15,135,98,72.59,37,27.41
1116,11,16,220,168,76.36,52,23.64
1117,11,17,360,225,62.5,135,37.5
1118,11,18,276,228,82.61,48,17.39
1119,11,19,382,207,54.19,175,45.81
1120,11,20,235,196,83.4,39,16.6
1121,11,21,478,396,82.85,82,17.15
1122,11,22,387,259,66.93,128,33.07
1123,11,23,216,184,85.19,32,14.81
1124,11,24,443,395,89.16,48,10.84
1125,11,25,402,280,69.65,122,30.35
1126,11,26,401,293,73.07,108,26.93
1127,11,27,102,68,66.67,34,33.33
1128,11,28,138,119,86.23,19,13.77
1129,11,29,428,367,85.75,61,14.25
1130,11,30,146,109,74.66,37,25.34
1131,11,31,350,293,83.71,57,16.29
1132,11,32,184,160,86.96,24,13.04
1133,11,33,320,216,67.5,104,32.5
1134,11,34,145,116,80.0,29,20.0
1135,11,35,110,98,89.09,12,10.91
1136,11,36,129,103,79.84,26,20.16
1137,11,37,98,69,70.41,29,29.59
1138,11,38,135,70,51.85,65,48.15
