id,ward,precinct,total,MARTY QUINN,MARTY QUINN Percent,DAVID J. KRUPA,DAVID J. KRUPA Percent
1301,13,1,257,202,78.6,55,21.4
1302,13,2,254,215,84.65,39,15.35
1303,13,3,191,161,84.29,30,15.71
1304,13,4,302,239,79.14,63,20.86
1305,13,5,292,263,90.07,29,9.93
1306,13,6,302,243,80.46,59,19.54
1307,13,7,182,166,91.21,16,8.79
1308,13,8,212,181,85.38,31,14.62
1309,13,9,231,197,85.28,34,14.72
1310,13,10,298,245,82.21,53,17.79
1311,13,11,323,253,78.33,70,21.67
1312,13,12,214,181,84.58,33,15.42
1313,13,13,264,228,86.36,36,13.64
1314,13,14,210,178,84.76,32,15.24
1315,13,15,339,313,92.33,26,7.67
1316,13,16,147,136,92.52,11,7.48
1317,13,17,245,207,84.49,38,15.51
1318,13,18,239,202,84.52,37,15.48
1319,13,19,278,255,91.73,23,8.27
1320,13,20,199,178,89.45,21,10.55
1321,13,21,370,321,86.76,49,13.24
1322,13,22,329,270,82.07,59,17.93
1323,13,23,171,159,92.98,12,7.02
1324,13,24,247,200,80.97,47,19.03
1325,13,25,217,188,86.64,29,13.36
1326,13,26,241,185,76.76,56,23.24
1327,13,27,265,237,89.43,28,10.57
1328,13,28,174,159,91.38,15,8.62
1329,13,29,202,174,86.14,28,13.86
1330,13,30,184,169,91.85,15,8.15
1331,13,31,339,287,84.66,52,15.34
1332,13,32,280,245,87.5,35,12.5
1333,13,33,307,237,77.2,70,22.8
1334,13,34,288,257,89.24,31,10.76
1335,13,35,246,223,90.65,23,9.35
1336,13,36,148,127,85.81,21,14.19
1337,13,37,290,249,85.86,41,14.14
1338,13,38,273,233,85.35,40,14.65
1339,13,39,249,229,91.97,20,8.03
1340,13,40,247,213,86.23,34,13.77
1341,13,41,259,230,88.8,29,11.2
1342,13,42,333,266,79.88,67,20.12
1343,13,43,251,213,84.86,38,15.14
1344,13,44,367,354,96.46,13,3.54
1345,13,45,372,312,83.87,60,16.13
1346,13,46,308,271,87.99,37,12.01
1347,13,47,284,263,92.61,21,7.39
1348,13,48,285,245,85.96,40,14.04
