id,ward,precinct,total,CARRIE M. AUSTIN,CARRIE M. AUSTIN Percent,PRESTON BROWN JR,PRESTON BROWN JR Percent
3401,34,1,257,142,55.25,115,44.75
3402,34,2,248,131,52.82,117,47.18
3403,34,3,231,139,60.17,92,39.83
3404,34,4,143,78,54.55,65,45.45
3405,34,5,195,112,57.44,83,42.56
3406,34,6,256,144,56.25,112,43.75
3407,34,7,281,175,62.28,106,37.72
3408,34,8,173,100,57.8,73,42.2
3409,34,9,167,106,63.47,61,36.53
3410,34,10,245,130,53.06,115,46.94
3411,34,11,168,90,53.57,78,46.43
3412,34,12,287,131,45.64,156,54.36
3413,34,13,234,108,46.15,126,53.85
3414,34,14,178,106,59.55,72,40.45
3415,34,15,193,108,55.96,85,44.04
3416,34,16,191,94,49.21,97,50.79
3417,34,17,293,160,54.61,133,45.39
3418,34,18,178,99,55.62,79,44.38
3419,34,19,253,140,55.34,113,44.66
3420,34,20,308,181,58.77,127,41.23
3421,34,21,296,170,57.43,126,42.57
3422,34,22,269,137,50.93,132,49.07
3423,34,23,195,98,50.26,97,49.74
3424,34,24,204,107,52.45,97,47.55
3425,34,25,340,197,57.94,143,42.06
3426,34,26,257,149,57.98,108,42.02
3427,34,27,183,91,49.73,92,50.27
3428,34,28,130,80,61.54,50,38.46
3429,34,29,182,112,61.54,70,38.46
3430,34,30,268,142,52.99,126,47.01
3431,34,31,191,100,52.36,91,47.64
3432,34,32,216,103,47.69,113,52.31
3433,34,33,181,107,59.12,74,40.88
3434,34,34,260,156,60.0,104,40.0
3435,34,35,268,110,41.04,158,58.96
3436,34,36,257,138,53.7,119,46.3
3437,34,37,122,53,43.44,69,56.56
3438,34,38,98,53,54.08,45,45.92
3439,34,39,131,77,58.78,54,41.22
3440,34,40,253,110,43.48,143,56.52
3441,34,41,150,59,39.33,91,60.67
3442,34,42,233,130,55.79,103,44.21
3443,34,43,261,144,55.17,117,44.83
3444,34,44,259,145,55.98,114,44.02
3445,34,45,252,142,56.35,110,43.65
3446,34,46,168,96,57.14,72,42.86
3447,34,47,210,112,53.33,98,46.67
3448,34,48,277,159,57.4,118,42.6
3449,34,49,229,115,50.22,114,49.78
3450,34,50,173,85,49.13,88,50.87
3451,34,51,277,164,59.21,113,40.79
3452,34,52,205,125,60.98,80,39.02
3453,34,53,126,66,52.38,60,47.62
