id,ward,precinct,total,Robin Kelly,Robin Kelly Percent,Marcus Lewis,Marcus Lewis Percent
0501,5,1,229,181,79.04,48,20.96
0506,5,6,227,187,82.38,40,17.62
0510,5,10,51,39,76.47,12,23.53
0511,5,11,198,172,86.87,26,13.13
0514,5,14,271,238,87.82,33,12.18
0518,5,18,124,114,91.94,10,8.06
0523,5,23,508,451,88.78,57,11.22
0525,5,25,224,199,88.84,25,11.16
0526,5,26,261,219,83.91,42,16.09
0528,5,28,317,278,87.7,39,12.3
0529,5,29,296,247,83.45,49,16.55
0531,5,31,190,156,82.11,34,17.89
0532,5,32,331,286,86.4,45,13.6
0535,5,35,58,47,81.03,11,18.97
0536,5,36,104,80,76.92,24,23.08
0537,5,37,343,303,88.34,40,11.66
0538,5,38,232,185,79.74,47,20.26
0540,5,40,213,180,84.51,33,15.49
0541,5,41,188,170,90.43,18,9.57
0701,7,1,112,85,75.89,27,24.11
0702,7,2,195,159,81.54,36,18.46
0703,7,3,258,218,84.5,40,15.5
0704,7,4,239,205,85.77,34,14.23
0705,7,5,199,148,74.37,51,25.63
0706,7,6,290,242,83.45,48,16.55
0707,7,7,191,151,79.06,40,20.94
0708,7,8,135,109,80.74,26,19.26
0709,7,9,385,313,81.3,72,18.7
0710,7,10,254,210,82.68,44,17.32
0711,7,11,206,165,80.1,41,19.9
0712,7,12,191,140,73.3,51,26.7
0713,7,13,154,125,81.17,29,18.83
0714,7,14,221,172,77.83,49,22.17
0715,7,15,217,187,86.18,30,13.82
0716,7,16,156,109,69.87,47,30.13
0717,7,17,201,156,77.61,45,22.39
0718,7,18,149,123,82.55,26,17.45
0719,7,19,180,151,83.89,29,16.11
0720,7,20,142,112,78.87,30,21.13
0721,7,21,138,106,76.81,32,23.19
0722,7,22,175,142,81.14,33,18.86
0723,7,23,226,190,84.07,36,15.93
0724,7,24,160,130,81.25,30,18.75
0725,7,25,167,131,78.44,36,21.56
0726,7,26,183,156,85.25,27,14.75
0727,7,27,172,148,86.05,24,13.95
0728,7,28,133,104,78.2,29,21.8
0729,7,29,170,151,88.82,19,11.18
0730,7,30,140,112,80.0,28,20.0
0731,7,31,139,110,79.14,29,20.86
0732,7,32,336,283,84.23,53,15.77
0733,7,33,331,270,81.57,61,18.43
0734,7,34,292,244,83.56,48,16.44
0735,7,35,227,181,79.74,46,20.26
0736,7,36,288,236,81.94,52,18.06
0737,7,37,232,199,85.78,33,14.22
0738,7,38,175,139,79.43,36,20.57
0739,7,39,205,172,83.9,33,16.1
0740,7,40,211,176,83.41,35,16.59
0741,7,41,204,166,81.37,38,18.63
0742,7,42,195,153,78.46,42,21.54
0743,7,43,212,171,80.66,41,19.34
0744,7,44,187,155,82.89,32,17.11
0745,7,45,190,152,80.0,38,20.0
0746,7,46,103,88,85.44,15,14.56
0804,8,4,179,150,83.8,29,16.2
0805,8,5,6,5,83.33,1,16.67
0807,8,7,294,240,81.63,54,18.37
0809,8,9,171,143,83.63,28,16.37
0817,8,17,217,177,81.57,40,18.43
0827,8,27,227,194,85.46,33,14.54
0828,8,28,237,194,81.86,43,18.14
0832,8,32,213,185,86.85,28,13.15
0836,8,36,244,203,83.2,41,16.8
0839,8,39,244,211,86.48,33,13.52
0842,8,42,269,231,85.87,38,14.13
0846,8,46,176,149,84.66,27,15.34
0849,8,49,6,3,50.0,3,50.0
0850,8,50,97,87,89.69,10,10.31
0853,8,53,110,99,90.0,11,10.0
0901,9,1,217,188,86.64,29,13.36
0902,9,2,201,168,83.58,33,16.42
0903,9,3,126,100,79.37,26,20.63
0904,9,4,179,144,80.45,35,19.55
0905,9,5,207,174,84.06,33,15.94
0906,9,6,222,183,82.43,39,17.57
0907,9,7,140,119,85.0,21,15.0
0908,9,8,185,152,82.16,33,17.84
0909,9,9,246,209,84.96,37,15.04
0910,9,10,184,147,79.89,37,20.11
0911,9,11,147,120,81.63,27,18.37
0913,9,13,283,247,87.28,36,12.72
0914,9,14,275,234,85.09,41,14.91
0915,9,15,160,121,75.63,39,24.38
0916,9,16,234,204,87.18,30,12.82
0917,9,17,139,114,82.01,25,17.99
0918,9,18,158,124,78.48,34,21.52
0919,9,19,199,174,87.44,25,12.56
0920,9,20,201,168,83.58,33,16.42
0921,9,21,192,150,78.13,42,21.88
0922,9,22,239,206,86.19,33,13.81
0926,9,26,167,131,78.44,36,21.56
0927,9,27,176,150,85.23,26,14.77
0928,9,28,92,74,80.43,18,19.57
0929,9,29,120,101,84.17,19,15.83
0930,9,30,159,130,81.76,29,18.24
0931,9,31,152,123,80.92,29,19.08
0932,9,32,223,198,88.79,25,11.21
0933,9,33,154,129,83.77,25,16.23
0934,9,34,161,134,83.23,27,16.77
0935,9,35,231,197,85.28,34,14.72
0937,9,37,309,258,83.5,51,16.5
0938,9,38,208,172,82.69,36,17.31
0939,9,39,232,198,85.34,34,14.66
0940,9,40,274,227,82.85,47,17.15
0941,9,41,180,148,82.22,32,17.78
0943,9,43,151,118,78.15,33,21.85
0944,9,44,211,164,77.73,47,22.27
0945,9,45,160,131,81.88,29,18.13
0946,9,46,223,175,78.48,48,21.52
1001,10,1,178,139,78.09,39,21.91
1002,10,2,165,136,82.42,29,17.58
1003,10,3,155,118,76.13,37,23.87
1004,10,4,127,102,80.31,25,19.69
1005,10,5,134,96,71.64,38,28.36
1006,10,6,136,113,83.09,23,16.91
1007,10,7,115,91,79.13,24,20.87
1008,10,8,88,66,75.0,22,25.0
1009,10,9,152,117,76.97,35,23.03
1010,10,10,175,138,78.86,37,21.14
1011,10,11,226,186,82.3,40,17.7
1012,10,12,116,95,81.9,21,18.1
1013,10,13,178,121,67.98,57,32.02
1014,10,14,223,185,82.96,38,17.04
1015,10,15,415,353,85.06,62,14.94
1016,10,16,106,80,75.47,26,24.53
1017,10,17,259,210,81.08,49,18.92
1018,10,18,100,75,75.0,25,25.0
1019,10,19,181,150,82.87,31,17.13
1020,10,20,200,140,70.0,60,30.0
1021,10,21,184,140,76.09,44,23.91
1022,10,22,106,80,75.47,26,24.53
1023,10,23,161,136,84.47,25,15.53
1024,10,24,158,117,74.05,41,25.95
1025,10,25,58,44,75.86,14,24.14
1026,10,26,128,96,75.0,32,25.0
1027,10,27,151,119,78.81,32,21.19
1028,10,28,212,159,75.0,53,25.0
1029,10,29,182,139,76.37,43,23.63
1030,10,30,161,130,80.75,31,19.25
1031,10,31,133,105,78.95,28,21.05
1032,10,32,174,138,79.31,36,20.69
1033,10,33,139,110,79.14,29,20.86
1034,10,34,120,96,80.0,24,20.0
1035,10,35,196,160,81.63,36,18.37
1036,10,36,44,38,86.36,6,13.64
3402,34,2,35,28,80.0,7,20.0
3404,34,4,156,131,83.97,25,16.03
3418,34,18,146,121,82.88,25,17.12
3422,34,22,87,79,90.8,8,9.2
3423,34,23,190,160,84.21,30,15.79
3424,34,24,197,165,83.76,32,16.24
3427,34,27,176,144,81.82,32,18.18
3428,34,28,120,102,85.0,18,15.0
3430,34,30,144,128,88.89,16,11.11
3436,34,36,209,166,79.43,43,20.57
3437,34,37,119,99,83.19,20,16.81
3438,34,38,91,74,81.32,17,18.68
3439,34,39,142,121,85.21,21,14.79
3441,34,41,108,87,80.56,21,19.44
3453,34,53,128,112,87.5,16,12.5
