ward,precinct,total,Kimberly A. Lightford,Kimberly A. Lightford Percent
2801,28,1,99,99,100.0
2812,28,12,132,132,100.0
2814,28,14,148,148,100.0
2831,28,31,232,232,100.0
2839,28,39,104,104,100.0
2841,28,41,112,112,100.0
2842,28,42,109,109,100.0
2843,28,43,172,172,100.0
2902,29,2,268,268,100.0
2903,29,3,229,229,100.0
2906,29,6,136,136,100.0
2908,29,8,164,164,100.0
2911,29,11,109,109,100.0
2914,29,14,210,210,100.0
2916,29,16,197,197,100.0
2918,29,18,189,189,100.0
2919,29,19,207,207,100.0
2920,29,20,212,212,100.0
2921,29,21,232,232,100.0
2922,29,22,175,175,100.0
2928,29,28,264,264,100.0
2934,29,34,154,154,100.0
2942,29,42,237,237,100.0
3701,37,1,157,157,100.0
3705,37,5,187,187,100.0
3706,37,6,187,187,100.0
3709,37,9,175,175,100.0
3710,37,10,216,216,100.0
3711,37,11,92,92,100.0
3714,37,14,176,176,100.0
3715,37,15,192,192,100.0
3716,37,16,189,189,100.0
3717,37,17,130,130,100.0
3720,37,20,136,136,100.0
3722,37,22,53,53,100.0
3723,37,23,179,179,100.0
3724,37,24,174,174,100.0
3725,37,25,164,164,100.0
3726,37,26,226,226,100.0
3727,37,27,159,159,100.0
3729,37,29,68,68,100.0
3730,37,30,144,144,100.0
3731,37,31,177,177,100.0
3732,37,32,149,149,100.0
3733,37,33,202,202,100.0
3734,37,34,168,168,100.0
3736,37,36,146,146,100.0
3738,37,38,203,203,100.0
3739,37,39,157,157,100.0
3740,37,40,192,192,100.0
3741,37,41,166,166,100.0
