id,ward,precinct,total,Curtis J. Tarver II,Curtis J. Tarver II Percent
0401,4,1,379,379,100.0
0405,4,5,349,349,100.0
0409,4,9,372,372,100.0
0410,4,10,388,388,100.0
0415,4,15,257,257,100.0
0422,4,22,286,286,100.0
0423,4,23,297,297,100.0
0427,4,27,379,379,100.0
0431,4,31,331,331,100.0
0434,4,34,202,202,100.0
0501,5,1,180,180,100.0
0503,5,3,261,261,100.0
0507,5,7,255,255,100.0
0508,5,8,298,298,100.0
0509,5,9,347,347,100.0
0511,5,11,263,263,100.0
0514,5,14,198,198,100.0
0517,5,17,108,108,100.0
0518,5,18,260,260,100.0
0519,5,19,249,249,100.0
0520,5,20,326,326,100.0
0521,5,21,167,167,100.0
0522,5,22,327,327,100.0
0523,5,23,421,421,100.0
0524,5,24,302,302,100.0
0525,5,25,249,249,100.0
0526,5,26,233,233,100.0
0527,5,27,281,281,100.0
0528,5,28,148,148,100.0
0529,5,29,255,255,100.0
0531,5,31,159,159,100.0
0532,5,32,282,282,100.0
0533,5,33,256,256,100.0
0534,5,34,315,315,100.0
0535,5,35,319,319,100.0
0537,5,37,308,308,100.0
0538,5,38,184,184,100.0
0539,5,39,212,212,100.0
0540,5,40,167,167,100.0
0541,5,41,139,139,100.0
0705,7,5,163,163,100.0
0706,7,6,243,243,100.0
0707,7,7,153,153,100.0
0708,7,8,113,113,100.0
0709,7,9,308,308,100.0
0711,7,11,158,158,100.0
0712,7,12,148,148,100.0
0713,7,13,120,120,100.0
0714,7,14,179,179,100.0
0716,7,16,101,101,100.0
0717,7,17,150,150,100.0
0718,7,18,124,124,100.0
0721,7,21,91,91,100.0
0722,7,22,131,131,100.0
0725,7,25,16,16,100.0
0732,7,32,167,167,100.0
0733,7,33,286,286,100.0
0734,7,34,259,259,100.0
0735,7,35,204,204,100.0
0737,7,37,178,178,100.0
0746,7,46,81,81,100.0
1001,10,1,142,142,100.0
1004,10,4,100,100,100.0
1006,10,6,112,112,100.0
1007,10,7,98,98,100.0
1008,10,8,73,73,100.0
1010,10,10,146,146,100.0
1011,10,11,202,202,100.0
1012,10,12,97,97,100.0
1014,10,14,190,190,100.0
1019,10,19,167,167,100.0
1020,10,20,178,178,100.0
1021,10,21,124,124,100.0
1022,10,22,90,90,100.0
1023,10,23,124,124,100.0
1025,10,25,42,42,100.0
1026,10,26,119,119,100.0
1028,10,28,184,184,100.0
1029,10,29,162,162,100.0
1030,10,30,131,131,100.0
1031,10,31,121,121,100.0
1032,10,32,145,145,100.0
1033,10,33,126,126,100.0
1034,10,34,34,34,100.0
1035,10,35,159,159,100.0
1036,10,36,32,32,100.0
2024,20,24,147,147,100.0
2026,20,26,190,190,100.0
2034,20,34,289,289,100.0
