id,ward,precinct,total,John G. Mulroe,John G. Mulroe Percent
3003,30,3,83,83,100.0
3015,30,15,217,217,100.0
3020,30,20,38,38,100.0
3032,30,32,147,147,100.0
3219,32,19,153,153,100.0
3221,32,21,210,210,100.0
3225,32,25,137,137,100.0
3302,33,2,317,317,100.0
3307,33,7,276,276,100.0
3318,33,18,299,299,100.0
3509,35,9,175,175,100.0
3522,35,22,254,254,100.0
3523,35,23,93,93,100.0
3529,35,29,169,169,100.0
3530,35,30,178,178,100.0
3531,35,31,198,198,100.0
3801,38,1,149,149,100.0
3831,38,31,215,215,100.0
3832,38,32,156,156,100.0
3841,38,41,211,211,100.0
3901,39,1,192,192,100.0
3902,39,2,133,133,100.0
3903,39,3,250,250,100.0
3904,39,4,177,177,100.0
3905,39,5,191,191,100.0
3906,39,6,178,178,100.0
3907,39,7,155,155,100.0
3908,39,8,177,177,100.0
3909,39,9,141,141,100.0
3910,39,10,101,101,100.0
3911,39,11,162,162,100.0
3912,39,12,238,238,100.0
3913,39,13,136,136,100.0
3914,39,14,180,180,100.0
3915,39,15,181,181,100.0
3916,39,16,119,119,100.0
3917,39,17,196,196,100.0
3918,39,18,163,163,100.0
3919,39,19,204,204,100.0
3920,39,20,232,232,100.0
3921,39,21,169,169,100.0
3922,39,22,128,128,100.0
3923,39,23,211,211,100.0
3924,39,24,202,202,100.0
3925,39,25,136,136,100.0
3926,39,26,144,144,100.0
3927,39,27,27,27,100.0
3928,39,28,262,262,100.0
3929,39,29,121,121,100.0
3930,39,30,212,212,100.0
3931,39,31,182,182,100.0
3932,39,32,64,64,100.0
3933,39,33,170,170,100.0
3934,39,34,209,209,100.0
3935,39,35,177,177,100.0
3936,39,36,46,46,100.0
3937,39,37,166,166,100.0
3938,39,38,123,123,100.0
3939,39,39,149,149,100.0
3940,39,40,182,182,100.0
3941,39,41,219,219,100.0
3942,39,42,201,201,100.0
3943,39,43,170,170,100.0
3944,39,44,143,143,100.0
3945,39,45,178,178,100.0
4001,40,1,184,184,100.0
4002,40,2,177,177,100.0
4003,40,3,291,291,100.0
4004,40,4,90,90,100.0
4005,40,5,227,227,100.0
4006,40,6,320,320,100.0
4007,40,7,234,234,100.0
4010,40,10,134,134,100.0
4011,40,11,250,250,100.0
4012,40,12,197,197,100.0
4013,40,13,175,175,100.0
4014,40,14,163,163,100.0
4015,40,15,187,187,100.0
4016,40,16,339,339,100.0
4017,40,17,191,191,100.0
4018,40,18,42,42,100.0
4019,40,19,251,251,100.0
4020,40,20,176,176,100.0
4021,40,21,196,196,100.0
4024,40,24,168,168,100.0
4025,40,25,307,307,100.0
4029,40,29,219,219,100.0
4030,40,30,176,176,100.0
4034,40,34,177,177,100.0
4038,40,38,162,162,100.0
4039,40,39,55,55,100.0
4101,41,1,180,180,100.0
4102,41,2,187,187,100.0
4103,41,3,173,173,100.0
4104,41,4,222,222,100.0
4105,41,5,230,230,100.0
4106,41,6,129,129,100.0
4107,41,7,191,191,100.0
4108,41,8,197,197,100.0
4110,41,10,265,265,100.0
4111,41,11,203,203,100.0
4112,41,12,149,149,100.0
4113,41,13,177,177,100.0
4114,41,14,157,157,100.0
4115,41,15,239,239,100.0
4116,41,16,182,182,100.0
4117,41,17,179,179,100.0
4118,41,18,175,175,100.0
4120,41,20,132,132,100.0
4121,41,21,196,196,100.0
4122,41,22,240,240,100.0
4123,41,23,154,154,100.0
4124,41,24,147,147,100.0
4126,41,26,193,193,100.0
4130,41,30,157,157,100.0
4131,41,31,209,209,100.0
4132,41,32,168,168,100.0
4133,41,33,164,164,100.0
4134,41,34,179,179,100.0
4135,41,35,223,223,100.0
4136,41,36,176,176,100.0
4137,41,37,220,220,100.0
4138,41,38,167,167,100.0
4139,41,39,222,222,100.0
4140,41,40,195,195,100.0
4141,41,41,163,163,100.0
4142,41,42,189,189,100.0
4143,41,43,173,173,100.0
4144,41,44,198,198,100.0
4145,41,45,184,184,100.0
4146,41,46,230,230,100.0
4147,41,47,92,92,100.0
4501,45,1,188,188,100.0
4502,45,2,198,198,100.0
4503,45,3,205,205,100.0
4504,45,4,242,242,100.0
4505,45,5,49,49,100.0
4507,45,7,300,300,100.0
4508,45,8,180,180,100.0
4509,45,9,127,127,100.0
4510,45,10,114,114,100.0
4511,45,11,145,145,100.0
4512,45,12,159,159,100.0
4513,45,13,201,201,100.0
4514,45,14,291,291,100.0
4515,45,15,296,296,100.0
4516,45,16,176,176,100.0
4517,45,17,206,206,100.0
4518,45,18,188,188,100.0
4519,45,19,90,90,100.0
4520,45,20,119,119,100.0
4521,45,21,151,151,100.0
4522,45,22,129,129,100.0
4523,45,23,139,139,100.0
4524,45,24,127,127,100.0
4525,45,25,118,118,100.0
4526,45,26,77,77,100.0
4527,45,27,175,175,100.0
4528,45,28,114,114,100.0
4529,45,29,95,95,100.0
4530,45,30,166,166,100.0
4531,45,31,169,169,100.0
4532,45,32,161,161,100.0
4533,45,33,148,148,100.0
4534,45,34,211,211,100.0
4535,45,35,214,214,100.0
4536,45,36,199,199,100.0
4537,45,37,166,166,100.0
4538,45,38,179,179,100.0
4539,45,39,161,161,100.0
4540,45,40,149,149,100.0
4541,45,41,165,165,100.0
4542,45,42,203,203,100.0
4543,45,43,164,164,100.0
4544,45,44,209,209,100.0
4545,45,45,106,106,100.0
4546,45,46,109,109,100.0
4547,45,47,106,106,100.0
4548,45,48,119,119,100.0
4701,47,1,171,171,100.0
4702,47,2,245,245,100.0
4703,47,3,212,212,100.0
4704,47,4,280,280,100.0
4705,47,5,259,259,100.0
4706,47,6,266,266,100.0
4707,47,7,240,240,100.0
4708,47,8,265,265,100.0
4709,47,9,24,24,100.0
4710,47,10,360,360,100.0
4712,47,12,267,267,100.0
4713,47,13,215,215,100.0
4714,47,14,231,231,100.0
4716,47,16,268,268,100.0
4717,47,17,272,272,100.0
4720,47,20,266,266,100.0
4721,47,21,270,270,100.0
4722,47,22,306,306,100.0
4725,47,25,276,276,100.0
4726,47,26,354,354,100.0
4727,47,27,226,226,100.0
4728,47,28,252,252,100.0
4729,47,29,271,271,100.0
4730,47,30,328,328,100.0
4731,47,31,291,291,100.0
4732,47,32,356,356,100.0
4733,47,33,131,131,100.0
4734,47,34,323,323,100.0
4735,47,35,271,271,100.0
4736,47,36,318,318,100.0
4737,47,37,260,260,100.0
4738,47,38,250,250,100.0
4739,47,39,272,272,100.0
4740,47,40,154,154,100.0
4742,47,42,170,170,100.0
4743,47,43,218,218,100.0
4745,47,45,267,267,100.0
4746,47,46,244,244,100.0
4747,47,47,274,274,100.0
4748,47,48,28,28,100.0
5023,50,23,86,86,100.0
5024,50,24,15,15,100.0
5026,50,26,13,13,100.0
5030,50,30,32,32,100.0
5031,50,31,40,40,100.0
