id,ward,precinct,total,Tim Egan,Tim Egan Percent
0201,2,1,201,201,100.0
0202,2,2,151,151,100.0
0203,2,3,218,218,100.0
0204,2,4,203,203,100.0
0205,2,5,250,250,100.0
0206,2,6,193,193,100.0
0207,2,7,138,138,100.0
0208,2,8,211,211,100.0
0209,2,9,133,133,100.0
0210,2,10,119,119,100.0
0211,2,11,193,193,100.0
0212,2,12,200,200,100.0
0213,2,13,197,197,100.0
0214,2,14,259,259,100.0
0215,2,15,188,188,100.0
0216,2,16,208,208,100.0
0217,2,17,279,279,100.0
0218,2,18,191,191,100.0
0219,2,19,90,90,100.0
0220,2,20,207,207,100.0
0221,2,21,232,232,100.0
0222,2,22,211,211,100.0
0223,2,23,136,136,100.0
0224,2,24,163,163,100.0
0225,2,25,213,213,100.0
0226,2,26,164,164,100.0
0227,2,27,144,144,100.0
0228,2,28,192,192,100.0
0229,2,29,214,214,100.0
0230,2,30,169,169,100.0
0231,2,31,253,253,100.0
0232,2,32,133,133,100.0
0233,2,33,323,323,100.0
0234,2,34,181,181,100.0
0235,2,35,196,196,100.0
0236,2,36,175,175,100.0
0237,2,37,212,212,100.0
0238,2,38,157,157,100.0
0239,2,39,112,112,100.0
0240,2,40,174,174,100.0
0241,2,41,174,174,100.0
0242,2,42,179,179,100.0
0243,2,43,196,196,100.0
0244,2,44,129,129,100.0
0245,2,45,206,206,100.0
0246,2,46,119,119,100.0
