id,ward,precinct,total,John P. Daley,John P. Daley Percent
1101,11,1,244,244,100.0
1102,11,2,14,14,100.0
1103,11,3,182,182,100.0
1104,11,4,177,177,100.0
1105,11,5,288,288,100.0
1106,11,6,249,249,100.0
1107,11,7,223,223,100.0
1108,11,8,208,208,100.0
1109,11,9,192,192,100.0
1110,11,10,207,207,100.0
1111,11,11,197,197,100.0
1112,11,12,320,320,100.0
1113,11,13,249,249,100.0
1114,11,14,117,117,100.0
1115,11,15,92,92,100.0
1116,11,16,151,151,100.0
1117,11,17,317,317,100.0
1118,11,18,188,188,100.0
1119,11,19,271,271,100.0
1120,11,20,172,172,100.0
1121,11,21,349,349,100.0
1122,11,22,264,264,100.0
1123,11,23,170,170,100.0
1124,11,24,369,369,100.0
1125,11,25,280,280,100.0
1126,11,26,267,267,100.0
1127,11,27,76,76,100.0
1128,11,28,92,92,100.0
1129,11,29,290,290,100.0
1130,11,30,102,102,100.0
1131,11,31,233,233,100.0
1132,11,32,109,109,100.0
1133,11,33,237,237,100.0
1134,11,34,79,79,100.0
1135,11,35,41,41,100.0
1136,11,36,75,75,100.0
1137,11,37,47,47,100.0
1138,11,38,101,101,100.0
