ward,precinct,total,Stephanie D. Coleman,Stephanie D. Coleman Percent
1601,16,1,187,187,100.0
1602,16,2,147,147,100.0
1603,16,3,128,128,100.0
1604,16,4,134,134,100.0
1605,16,5,81,81,100.0
1606,16,6,138,138,100.0
1607,16,7,138,138,100.0
1608,16,8,76,76,100.0
1609,16,9,136,136,100.0
1610,16,10,114,114,100.0
1611,16,11,116,116,100.0
1612,16,12,112,112,100.0
1613,16,13,130,130,100.0
1614,16,14,103,103,100.0
1615,16,15,134,134,100.0
1616,16,16,127,127,100.0
1617,16,17,138,138,100.0
1618,16,18,100,100,100.0
1619,16,19,143,143,100.0
1620,16,20,105,105,100.0
1621,16,21,121,121,100.0
1622,16,22,112,112,100.0
1623,16,23,131,131,100.0
1624,16,24,69,69,100.0
1625,16,25,138,138,100.0
1626,16,26,100,100,100.0
1627,16,27,109,109,100.0
1628,16,28,128,128,100.0
1629,16,29,99,99,100.0
1630,16,30,80,80,100.0
1631,16,31,151,151,100.0
1632,16,32,155,155,100.0
1633,16,33,84,84,100.0
1634,16,34,136,136,100.0
1635,16,35,179,179,100.0
1636,16,36,93,93,100.0
