ward,precinct,total,MARY O'CONNOR,MARY O'CONNOR Percent,MAURITA E. GAVIN,MAURITA E. GAVIN Percent
4101,41,1,314,165,52.55,149,47.45
4102,41,2,346,176,50.87,170,49.13
4103,41,3,222,107,48.2,115,51.8
4104,41,4,313,190,60.7,123,39.3
4105,41,5,313,166,53.04,147,46.96
4106,41,6,259,153,59.07,106,40.93
4107,41,7,371,167,45.01,204,54.99
4108,41,8,281,122,43.42,159,56.58
4109,41,9,250,116,46.4,134,53.6
4110,41,10,233,123,52.79,110,47.21
4111,41,11,286,145,50.7,141,49.3
4112,41,12,220,112,50.91,108,49.09
4113,41,13,158,91,57.59,67,42.41
4114,41,14,274,165,60.22,109,39.78
4115,41,15,282,157,55.67,125,44.33
4116,41,16,251,146,58.17,105,41.83
4117,41,17,315,176,55.87,139,44.13
4118,41,18,244,117,47.95,127,52.05
4119,41,19,270,176,65.19,94,34.81
4120,41,20,345,147,42.61,198,57.39
4121,41,21,302,153,50.66,149,49.34
4122,41,22,233,100,42.92,133,57.08
4123,41,23,209,123,58.85,86,41.15
4124,41,24,234,92,39.32,142,60.68
4125,41,25,68,43,63.24,25,36.76
4126,41,26,108,47,43.52,61,56.48
4127,41,27,55,31,56.36,24,43.64
4128,41,28,110,75,68.18,35,31.82
4129,41,29,74,40,54.05,34,45.95
4130,41,30,308,164,53.25,144,46.75
4131,41,31,325,185,56.92,140,43.08
4132,41,32,188,61,32.45,127,67.55
4133,41,33,194,74,38.14,120,61.86
4134,41,34,232,88,37.93,144,62.07
4135,41,35,352,176,50.0,176,50.0
4136,41,36,335,155,46.27,180,53.73
4137,41,37,347,150,43.23,197,56.77
4138,41,38,262,120,45.8,142,54.2
4139,41,39,175,103,58.86,72,41.14
4140,41,40,333,155,46.55,178,53.45
4141,41,41,299,165,55.18,134,44.82
4142,41,42,373,211,56.57,162,43.43
4143,41,43,251,118,47.01,133,52.99
4144,41,44,237,118,49.79,119,50.21
4145,41,45,222,114,51.35,108,48.65
4146,41,46,233,123,52.79,110,47.21
4147,41,47,220,125,56.82,95,43.18
4148,41,48,100,69,69.0,31,31.0
4149,41,49,363,197,54.27,166,45.73
4150,41,50,287,104,36.24,183,63.76
4151,41,51,196,115,58.67,81,41.33
4152,41,52,386,205,53.11,181,46.89
4153,41,53,295,134,45.42,161,54.58
4154,41,54,189,115,60.85,74,39.15
4155,41,55,256,66,25.78,190,74.22
4156,41,56,360,191,53.06,169,46.94
4157,41,57,200,132,66.0,68,34.0
