ward,precinct,total,Mike Fricilone,Mike Fricilone Percent,Arthur J. Jones,Arthur J. Jones Percent,Catherine A. O'Shea,Catherine A. O'Shea Percent
1101,11,1,26,15,57.69,5,19.23,6,23.08
1104,11,4,10,5,50.0,2,20.0,3,30.0
1105,11,5,16,7,43.75,2,12.5,7,43.75
1108,11,8,15,6,40.0,2,13.33,7,46.67
1109,11,9,11,4,36.36,2,18.18,5,45.45
1110,11,10,14,8,57.14,4,28.57,2,14.29
1111,11,11,27,14,51.85,3,11.11,10,37.04
1112,11,12,18,8,44.44,1,5.56,9,50.0
1113,11,13,24,11,45.83,1,4.17,12,50.0
1115,11,15,5,4,80.0,0,0.0,1,20.0
1116,11,16,13,8,61.54,2,15.38,3,23.08
1117,11,17,17,7,41.18,3,17.65,7,41.18
1118,11,18,11,7,63.64,2,18.18,2,18.18
1119,11,19,17,6,35.29,3,17.65,8,47.06
1120,11,20,16,9,56.25,4,25.0,3,18.75
1121,11,21,17,7,41.18,3,17.65,7,41.18
1122,11,22,19,12,63.16,2,10.53,5,26.32
1123,11,23,6,1,16.67,1,16.67,4,66.67
1124,11,24,13,5,38.46,2,15.38,6,46.15
1125,11,25,25,14,56.0,4,16.0,7,28.0
1126,11,26,12,9,75.0,1,8.33,2,16.67
1127,11,27,3,3,100.0,0,0.0,0,0.0
1128,11,28,11,8,72.73,0,0.0,3,27.27
1129,11,29,17,12,70.59,4,23.53,1,5.88
1131,11,31,21,7,33.33,0,0.0,14,66.67
1132,11,32,11,7,63.64,2,18.18,2,18.18
1137,11,37,0,0,0.0,0,0.0,0,0.0
1201,12,1,8,3,37.5,1,12.5,4,50.0
1203,12,3,9,4,44.44,1,11.11,4,44.44
1204,12,4,11,7,63.64,0,0.0,4,36.36
1205,12,5,3,1,33.33,0,0.0,2,66.67
1208,12,8,0,0,0.0,0,0.0,0,0.0
1209,12,9,7,5,71.43,1,14.29,1,14.29
1219,12,19,4,2,50.0,1,25.0,1,25.0
1223,12,23,10,3,30.0,4,40.0,3,30.0
1301,13,1,19,11,57.89,3,15.79,5,26.32
1302,13,2,9,4,44.44,2,22.22,3,33.33
1303,13,3,6,5,83.33,1,16.67,0,0.0
1304,13,4,19,8,42.11,3,15.79,8,42.11
1305,13,5,10,0,0.0,6,60.0,4,40.0
1306,13,6,12,2,16.67,1,8.33,9,75.0
1307,13,7,5,4,80.0,1,20.0,0,0.0
1308,13,8,10,5,50.0,0,0.0,5,50.0
1309,13,9,4,2,50.0,1,25.0,1,25.0
1310,13,10,13,7,53.85,2,15.38,4,30.77
1311,13,11,23,10,43.48,6,26.09,7,30.43
1312,13,12,15,6,40.0,2,13.33,7,46.67
1313,13,13,8,3,37.5,1,12.5,4,50.0
