ward,precinct,total,Sargis Sangari,Sargis Sangari Percent
4004,40,4,2,2,100.0
4009,40,9,12,12,100.0
4010,40,10,7,7,100.0
4018,40,18,12,12,100.0
4022,40,22,9,9,100.0
4025,40,25,0,0,0.0
4026,40,26,9,9,100.0
4027,40,27,9,9,100.0
4028,40,28,3,3,100.0
4031,40,31,8,8,100.0
4033,40,33,5,5,100.0
4035,40,35,11,11,100.0
4036,40,36,13,13,100.0
4037,40,37,6,6,100.0
4039,40,39,7,7,100.0
4101,41,1,35,35,100.0
4102,41,2,36,36,100.0
4104,41,4,25,25,100.0
4105,41,5,41,41,100.0
4107,41,7,44,44,100.0
4108,41,8,43,43,100.0
4110,41,10,28,28,100.0
4111,41,11,24,24,100.0
4113,41,13,42,42,100.0
4115,41,15,25,25,100.0
4117,41,17,10,10,100.0
4118,41,18,28,28,100.0
4120,41,20,22,22,100.0
4123,41,23,31,31,100.0
4125,41,25,25,25,100.0
4128,41,28,28,28,100.0
4129,41,29,14,14,100.0
4131,41,31,37,37,100.0
4133,41,33,6,6,100.0
4134,41,34,30,30,100.0
4136,41,36,29,29,100.0
4137,41,37,37,37,100.0
4140,41,40,49,49,100.0
4141,41,41,32,32,100.0
4142,41,42,33,33,100.0
4143,41,43,38,38,100.0
4144,41,44,38,38,100.0
4145,41,45,18,18,100.0
4403,44,3,5,5,100.0
4404,44,4,16,16,100.0
4407,44,7,13,13,100.0
4424,44,24,8,8,100.0
4435,44,35,12,12,100.0
4601,46,1,11,11,100.0
4602,46,2,6,6,100.0
4604,46,4,6,6,100.0
4605,46,5,0,0,0.0
4606,46,6,3,3,100.0
4607,46,7,17,17,100.0
4608,46,8,7,7,100.0
4609,46,9,8,8,100.0
4611,46,11,9,9,100.0
4612,46,12,10,10,100.0
4613,46,13,9,9,100.0
4614,46,14,6,6,100.0
4615,46,15,11,11,100.0
4616,46,16,4,4,100.0
4617,46,17,9,9,100.0
4618,46,18,27,27,100.0
4620,46,20,4,4,100.0
4621,46,21,8,8,100.0
4622,46,22,2,2,100.0
4623,46,23,7,7,100.0
4624,46,24,11,11,100.0
4625,46,25,3,3,100.0
4626,46,26,9,9,100.0
4627,46,27,9,9,100.0
4629,46,29,4,4,100.0
4632,46,32,13,13,100.0
4634,46,34,8,8,100.0
4635,46,35,4,4,100.0
4637,46,37,5,5,100.0
4638,46,38,1,1,100.0
4640,46,40,4,4,100.0
4715,47,15,4,4,100.0
4719,47,19,3,3,100.0
4723,47,23,3,3,100.0
4730,47,30,3,3,100.0
4801,48,1,6,6,100.0
4802,48,2,2,2,100.0
4803,48,3,13,13,100.0
4804,48,4,6,6,100.0
4805,48,5,4,4,100.0
4806,48,6,10,10,100.0
4807,48,7,0,0,0.0
4808,48,8,6,6,100.0
4809,48,9,18,18,100.0
4810,48,10,6,6,100.0
4811,48,11,3,3,100.0
4812,48,12,13,13,100.0
4813,48,13,20,20,100.0
4814,48,14,11,11,100.0
4815,48,15,8,8,100.0
4816,48,16,11,11,100.0
4817,48,17,16,16,100.0
4818,48,18,7,7,100.0
4819,48,19,14,14,100.0
4820,48,20,9,9,100.0
4821,48,21,16,16,100.0
4822,48,22,20,20,100.0
4823,48,23,13,13,100.0
4824,48,24,19,19,100.0
4825,48,25,6,6,100.0
4826,48,26,2,2,100.0
4827,48,27,10,10,100.0
4828,48,28,22,22,100.0
4829,48,29,4,4,100.0
4830,48,30,5,5,100.0
4831,48,31,18,18,100.0
4832,48,32,4,4,100.0
4833,48,33,12,12,100.0
4834,48,34,2,2,100.0
4835,48,35,14,14,100.0
4836,48,36,4,4,100.0
4837,48,37,3,3,100.0
4838,48,38,6,6,100.0
4839,48,39,5,5,100.0
4840,48,40,6,6,100.0
4841,48,41,10,10,100.0
4842,48,42,5,5,100.0
