id,ward,precinct,total,Steve Boulton,Steve Boulton Percent
3201,32,1,11,11,100.0
3202,32,2,8,8,100.0
3203,32,3,8,8,100.0
3204,32,4,6,6,100.0
3205,32,5,8,8,100.0
3206,32,6,5,5,100.0
3207,32,7,10,10,100.0
3208,32,8,12,12,100.0
3209,32,9,9,9,100.0
3210,32,10,10,10,100.0
3211,32,11,5,5,100.0
3212,32,12,2,2,100.0
3213,32,13,13,13,100.0
3214,32,14,5,5,100.0
3215,32,15,10,10,100.0
3216,32,16,6,6,100.0
3217,32,17,7,7,100.0
3218,32,18,7,7,100.0
3219,32,19,9,9,100.0
3220,32,20,2,2,100.0
3221,32,21,9,9,100.0
3222,32,22,3,3,100.0
3223,32,23,12,12,100.0
3224,32,24,10,10,100.0
3225,32,25,6,6,100.0
3226,32,26,2,2,100.0
3227,32,27,14,14,100.0
3228,32,28,2,2,100.0
3229,32,29,6,6,100.0
3230,32,30,13,13,100.0
3231,32,31,11,11,100.0
3232,32,32,4,4,100.0
3233,32,33,0,0,0.0
3234,32,34,4,4,100.0
3235,32,35,9,9,100.0
3236,32,36,7,7,100.0
3237,32,37,10,10,100.0
3238,32,38,6,6,100.0
3239,32,39,13,13,100.0
3240,32,40,11,11,100.0
3241,32,41,13,13,100.0
3242,32,42,9,9,100.0
3243,32,43,7,7,100.0
