ward,precinct,total,PAT DOWELL,PAT DOWELL Percent,JASMINE ROBERSON (WRITE-IN),JASMINE ROBERSON (WRITE-IN) Percent,DON DAVIS (WRITE-IN),DON DAVIS (WRITE-IN) Percent
0301,3,1,405,399,98.52,0,0.0,6,1.48
0302,3,2,501,499,99.6,0,0.0,2,0.4
0303,3,3,325,325,100.0,0,0.0,0,0.0
0304,3,4,362,359,99.17,0,0.0,3,0.83
0305,3,5,96,96,100.0,0,0.0,0,0.0
0306,3,6,396,396,100.0,0,0.0,0,0.0
0307,3,7,256,255,99.61,0,0.0,1,0.39
0308,3,8,321,320,99.69,1,0.31,0,0.0
0309,3,9,191,191,100.0,0,0.0,0,0.0
0310,3,10,286,283,98.95,1,0.35,2,0.7
0311,3,11,521,488,93.67,6,1.15,27,5.18
0312,3,12,440,432,98.18,6,1.36,2,0.45
0313,3,13,630,630,100.0,0,0.0,0,0.0
0314,3,14,566,566,100.0,0,0.0,0,0.0
0315,3,15,361,359,99.45,1,0.28,1,0.28
0316,3,16,275,273,99.27,1,0.36,1,0.36
0317,3,17,120,120,100.0,0,0.0,0,0.0
0318,3,18,119,115,96.64,0,0.0,4,3.36
0319,3,19,651,649,99.69,0,0.0,2,0.31
0320,3,20,463,462,99.78,0,0.0,1,0.22
0321,3,21,339,339,100.0,0,0.0,0,0.0
0322,3,22,313,311,99.36,0,0.0,2,0.64
0323,3,23,242,242,100.0,0,0.0,0,0.0
0324,3,24,81,81,100.0,0,0.0,0,0.0
0325,3,25,612,612,100.0,0,0.0,0,0.0
0326,3,26,224,222,99.11,0,0.0,2,0.89
0327,3,27,533,532,99.81,0,0.0,1,0.19
