ward,precinct,total,CORNELL DANTZLER,CORNELL DANTZLER Percent,RONNIE L. MOSLEY,RONNIE L. MOSLEY Percent
2101,21,1,506,262,51.78,244,48.22
2102,21,2,169,62,36.69,107,63.31
2103,21,3,552,302,54.71,250,45.29
2104,21,4,448,219,48.88,229,51.12
2105,21,5,483,266,55.07,217,44.93
2106,21,6,391,199,50.9,192,49.1
2107,21,7,582,344,59.11,238,40.89
2108,21,8,522,224,42.91,298,57.09
2109,21,9,165,94,56.97,71,43.03
2110,21,10,525,283,53.9,242,46.1
2111,21,11,601,406,67.55,195,32.45
2112,21,12,226,121,53.54,105,46.46
2113,21,13,379,175,46.17,204,53.83
2114,21,14,643,451,70.14,192,29.86
2115,21,15,591,347,58.71,244,41.29
2116,21,16,557,176,31.6,381,68.4
2117,21,17,370,178,48.11,192,51.89
2118,21,18,567,287,50.62,280,49.38
2119,21,19,481,214,44.49,267,55.51
2120,21,20,400,169,42.25,231,57.75
2121,21,21,613,243,39.64,370,60.36
2122,21,22,657,417,63.47,240,36.53
2123,21,23,466,183,39.27,283,60.73
2124,21,24,409,136,33.25,273,66.75
2125,21,25,337,119,35.31,218,64.69
2126,21,26,393,128,32.57,265,67.43
2127,21,27,559,175,31.31,384,68.69
2128,21,28,522,156,29.89,366,70.11
2129,21,29,549,167,30.42,382,69.58
